1; 2017-01-29; 0; 10; DATE
2; 2; 16; 17; CARDINAL
2; 1; 44; 45; CARDINAL
2; KSLA News; 60; 69; ORG
2; 12; 70; 72; CARDINAL
2; Shreveport; 73; 83; GPE
2; Louisiana News Weather & Sports; 86; 117; ORG
3; Sunday; 131; 137; DATE
3; Shreveport; 141; 151; GPE
4; Sunday; 131; 137; DATE
4; Shreveport; 141; 151; GPE
6; Jeff Ferrell; 11; 23; PERSON
6; KSLA News; 24; 33; ORG
6; 12 ) NEWLINE; 34; 46; DATE
8; Jeff Ferrell; 11; 23; PERSON
8; KSLA News; 24; 33; ORG
8; 12 ) NEWLINE; 34; 46; DATE
9; Shreveport; 48; 58; GPE
9; Shreveport; 115; 125; GPE
9; early Sunday morning; 191; 211; TIME
9; Shreveport; 236; 246; GPE
10; Three; 0; 5; CARDINAL
11; early Sunday morning; 57; 77; TIME
11; Shreveport; 102; 112; GPE
12; Three; 0; 5; CARDINAL
13; One; 0; 3; CARDINAL
13; the County Market; 31; 48; ORG
13; Shreveport; 60; 70; GPE
13; early Sunday; 71; 83; DATE
14; 2; 0; 1; CARDINAL
15; KSLA News; 11; 20; ORG
15; 12 ) NEWLINE; 21; 33; DATE
16; One; 0; 3; CARDINAL
16; the County Market; 31; 48; ORG
16; Shreveport; 60; 70; GPE
16; early Sunday; 71; 83; DATE
16; 2; 86; 87; CARDINAL
17; KSLA News; 11; 20; ORG
17; 12 ) NEWLINE; 21; 33; DATE
18; 1 a.m.; 88; 94; TIME
18; Jan. 29; 95; 102; DATE
18; Interstate 20; 106; 119; FAC
18; Jewella Avenue; 123; 137; FAC
18; Shreveport; 141; 151; GPE
19; 1 a.m.; 88; 94; TIME
19; Jan. 29; 95; 102; DATE
19; Interstate 20; 106; 119; FAC
19; Jewella Avenue; 123; 137; FAC
19; Shreveport; 141; 151; GPE
20; Shreveport; 0; 10; GPE
20; Clarke Boulevard; 50; 66; FAC
20; Avon Avenue; 75; 86; FAC
20; Alto Vista Street; 91; 108; FAC
21; 6:15 p.m. Jan. 29; 51; 68; TIME
22; Google Maps; 11; 22; ORG
23; Jan. 29; 101; 108; DATE
23; Clarke Boulevard; 112; 128; FAC
23; Shreveport; 132; 142; GPE
24; Rashad Johnson; 11; 25; PERSON
24; KSLA News; 26; 35; ORG
24; 12; 36; 38; CARDINAL
25; Jan. 29; 101; 108; DATE
25; Clarke Boulevard; 112; 128; FAC
25; Shreveport; 132; 142; GPE
26; Clarke Boulevard; 15; 31; FAC
26; Avon Avenue; 40; 51; FAC
26; Alto Vista Street; 56; 73; FAC
27; Calumet Lubricants; 21; 39; ORG
27; Hearne Avenue; 63; 76; FAC
28; KSLA News; 29; 38; ORG
28; 12; 39; 41; CARDINAL
29; 19-year - old; 15; 28; DATE
30; One; 0; 3; CARDINAL
33; Shreveport Fire Department; 2; 28; ORG
33; Clarke; 81; 87; ORG
33; 6:15 p.m.; 91; 100; TIME
33; Sunday; 101; 107; DATE
34; Two minutes later; 0; 17; TIME
34; Shreveport; 20; 30; GPE
35; dozen; 24; 29; CARDINAL
36; 3; 32; 33; CARDINAL
37; at least the fifth; 16; 34; DATE
37; one day; 38; 45; DATE
37; Shreveport; 49; 59; GPE
38; Two; 0; 3; CARDINAL
38; five; 26; 30; CARDINAL
38; 4; 54; 55; CARDINAL
38; earlier Sunday; 75; 89; DATE
39; 2017; 10; 14; DATE
39; KSLA; 15; 19; GPE
