1; 2017-01-30; 0; 10; DATE
2; Report Provides First Details; 0; 29; ORG
4; Four; 0; 4; CARDINAL
4; Instagram; 71; 80; GPE
4; Saturday evening; 92; 108; TIME
4; Talcott Avenue; 134; 148; FAC
4; Joey Maddox; 160; 171; PERSON
4; 19; 174; 176; DATE
4; Pierce Montie 's; 192; 208; PERSON
5; Montie; 0; 6; PERSON
5; 15; 9; 11; CARDINAL
5; Kel; 31; 34; NORP
5; Maddox; 111; 117; PERSON
5; Monday; 158; 164; DATE
5; first; 183; 188; ORDINAL
6; Maddox; 0; 6; ORG
6; Montie; 110; 116; PERSON
7; Maddox; 33; 39; PERSON
8; Montie; 59; 65; PERSON
9; Montie; 0; 6; PERSON
10; Connecticut Children 's; 63; 86; ORG
10; Medical Center; 87; 101; FAC
10; Monday; 102; 108; DATE
11; Maddox; 0; 6; PERSON
11; two; 15; 18; CARDINAL
11; a moment earlier; 32; 48; TIME
11; Montie; 59; 65; PERSON
11; Montie; 113; 119; PERSON
12; One; 0; 3; CARDINAL
13; 911; 2; 5; CARDINAL
13; Montie; 23; 29; PERSON
13; Vernon; 49; 55; GPE
13; EMS; 67; 70; ORG
14; Montie; 25; 31; PERSON
14; Maddox; 97; 103; PERSON
15; Maddox; 0; 6; ORG
15; two; 24; 27; CARDINAL
15; Montie; 48; 54; PERSON
15; John F. O'Brien; 131; 146; PERSON
15; Rockville; 150; 159; GPE
16; Maddox; 0; 6; PERSON
16; Montie; 27; 33; PERSON
16; about two weeks; 54; 69; DATE
18; One; 0; 3; CARDINAL
20; Maddox; 3; 9; PERSON
20; Monday; 25; 31; DATE
20; Superior Court; 35; 49; ORG
20; Rockville; 53; 62; GPE
20; Tolland State 's; 65; 81; ORG
20; Matthew C. Gedansky; 91; 110; PERSON
21; Gedansky; 46; 54; ORG
22; Maddox; 27; 33; PERSON
22; Montie; 38; 44; PERSON
22; Rockville Superior Court; 58; 82; ORG
22; Carl E. Taylor; 89; 103; PERSON
22; Maddox; 108; 114; PERSON
22; 99,000; 128; 134; MONEY
23; O'Brien; 0; 7; ORG
23; Maddox; 29; 35; PERSON
24; O'Brien; 0; 7; PERSON
24; Maddox; 49; 55; PERSON
25; O'Brien; 67; 74; PERSON
26; Maddox; 13; 19; PERSON
26; Montie; 24; 30; PERSON
26; Maddox; 59; 65; PERSON
26; Montie; 97; 103; PERSON
27; Maddox; 25; 31; PERSON
28; Kevin Hutton; 0; 12; PERSON
28; Montie; 15; 21; PERSON
29; Montie; 30; 36; PERSON
30; O'Brien; 27; 34; PERSON
30; Vernon; 49; 55; GPE
30; 15-year - olds; 95; 109; DATE
31; Maddox; 20; 26; PERSON
31; first; 35; 40; ORDINAL
31; first; 60; 65; ORDINAL
32; Maddox; 0; 6; ORG
32; Superior Court; 37; 51; ORG
32; Manchester; 55; 65; GPE
32; Rockville; 70; 79; GPE
