1; 2017-01-23; 0; 10; DATE
2; Government Hill; 48; 63; LOC
3; Government Hill; 69; 84; LOC
3; early Saturday morning; 85; 107; TIME
3; Jesus; 111; 116; PERSON
3; Oropeza; 124; 131; PERSON
4; Jesus; 0; 5; PERSON
4; JJ; 8; 10; PERSON
4; Oropeza; 13; 20; PERSON
5; Felicia Smith NEWLINE Felicia Smith; 15; 50; PERSON
5; Oropeza; 53; 60; PERSON
5; Government Hill; 93; 108; LOC
5; around midnight; 125; 140; TIME
5; Friday; 141; 147; DATE
5; the Tesoro Gas Station; 195; 217; ORG
6; that hour; 63; 72; TIME
7; Oropeza; 47; 54; PERSON
7; Smith; 98; 103; PERSON
8; Government Hill; 13; 28; LOC
8; Stephanie Manning; 38; 55; PERSON
9; Oropeza; 27; 34; PERSON
9; two; 48; 51; CARDINAL
9; midnight; 97; 105; TIME
10; two; 27; 30; CARDINAL
10; Manning; 127; 134; GPE
13; one; 29; 32; CARDINAL
13; two; 40; 43; CARDINAL
13; Oropeza; 92; 99; PERSON
14; two; 4; 7; CARDINAL
14; Oropeza; 49; 56; PERSON
15; Oropeza; 67; 74; PERSON
16; Manning; 46; 53; GPE
18; two; 63; 66; CARDINAL
20; NEWLINE Family; 2; 16; WORK_OF_ART
20; Oropeza; 30; 37; PERSON
20; two; 165; 168; CARDINAL
22; Smith; 0; 5; ORG
24; Smith; 0; 5; ORG
25; Oropeza; 36; 43; PERSON
26; Government Hill; 21; 36; ORG
26; James Maloney; 46; 59; PERSON
28; Channel 2; 85; 94; ORG
31; CPR; 82; 85; ORG
36; just a few minutes after midnight; 65; 98; TIME
37; Oropeza; 0; 7; PERSON
38; K9; 87; 89; GPE
39; Cattherine Rhetta; 0; 17; PERSON
39; Oropeza; 35; 42; PERSON
43; last night; 50; 60; TIME
