1; 2017-02-27; 0; 10; DATE
2; Baldwin City Police Department; 0; 30; ORG
2; second; 38; 44; ORDINAL
2; Feb. 7; 64; 70; DATE
3; Baldwin City; 0; 12; GPE
4; Feb. 7; 46; 52; DATE
4; Douglas County City; 79; 98; GPE
4; the Baldwin City Police Department; 101; 135; ORG
4; second; 146; 152; ORDINAL
5; one; 49; 52; CARDINAL
5; Deer Ridge Court; 128; 144; ORG
6; Baldwin City Police; 0; 19; GPE
6; Greg Neis; 26; 35; PERSON
6; two; 134; 137; CARDINAL
7; Neis; 0; 4; ORG
7; Monday; 10; 16; DATE
7; Brandon Blake; 40; 53; PERSON
8; Neis; 0; 4; ORG
9; The Baldwin City Police Department; 0; 34; ORG
9; one; 55; 58; CARDINAL
9; two; 66; 69; CARDINAL
9; 9-mm gunshot; 141; 153; QUANTITY
9; Shawnee Mission Health; 173; 195; ORG
9; Kansas Highway 7; 213; 229; FAC
9; Lenexa; 233; 239; ORG
10; Neis; 0; 4; ORG
11; Baldwin City; 0; 12; GPE
11; second; 54; 60; ORDINAL
11; Wyandotte County; 61; 77; GPE
12; Lenexa; 13; 19; ORG
12; Edwardsville; 61; 73; PERSON
12; Lenexa; 92; 98; PERSON
12; Wyandotte County; 149; 165; GPE
12; Neis; 168; 172; ORG
13; Wyandotte County; 5; 21; GPE
13; Baldwin City; 116; 128; GPE
13; the same night; 143; 157; TIME
13; Baldwin City; 175; 187; GPE
13; Neis; 201; 205; ORG
14; Baldwin City; 34; 46; GPE
14; Neis; 56; 60; ORG
14; Edwardsville; 80; 92; PERSON
14; Blake; 131; 136; ORG
15; Neis; 0; 4; ORG
16; Blake; 66; 71; ORG
17; Edwardsville; 105; 117; PERSON
17; Feb. 14; 138; 145; DATE
18; Wyandotte County; 29; 45; GPE
18; Neis; 60; 64; ORG
19; The Baldwin City Police Department; 0; 34; ORG
19; Blake; 69; 74; ORG
19; Neis; 87; 91; ORG
20; Blake; 14; 19; ORG
20; Edwardsville; 100; 112; PERSON
20; Baldwin City; 124; 136; GPE
21; Douglas County District; 4; 27; GPE
21; two; 127; 130; CARDINAL
21; Wyandotte County; 131; 147; GPE
21; Neis; 154; 158; ORG
22; 2017; 10; 14; DATE
23; The Lawrence Journal - World; 0; 28; ORG
