1; 2017-01-10; 0; 10; DATE
2; Fort Lauderdale; 10; 25; GPE
3; Fort Lauderdale; 63; 78; GPE
3; Tuesday; 128; 135; DATE
4; 5:20 a.m.; 74; 83; TIME
4; Tuesday; 84; 91; DATE
4; 2000; 112; 116; DATE
4; Northwest 29th Terrace; 126; 148; ORG
4; Fort Lauderdale; 151; 166; ORG
4; Keven Dupree; 177; 189; PERSON
5; Ericka Joseph; 102; 115; PERSON
5; 46; 118; 120; DATE
5; Akili Joseph; 155; 167; PERSON
6; Joseph; 0; 6; PERSON
6; Marine; 19; 25; ORG
6; Colombia; 98; 106; GPE
6; Tuesday; 110; 117; DATE
6; the holidays; 137; 149; DATE
6; Tony Williams; 157; 170; PERSON
6; Joseph; 173; 179; PERSON
7; Akili; 0; 5; PERSON
7; Tuesday; 36; 43; DATE
7; Williams; 83; 91; PERSON
8; Williams; 39; 47; PERSON
10; Ericka Joseph; 0; 13; PERSON
10; Akili Joseph; 18; 30; PERSON
10; Tonya Williams; 31; 45; PERSON
10; Ericka Joseph; 81; 94; PERSON
10; Akili; 127; 132; PERSON
10; two; 142; 145; CARDINAL
10; Fort Lauderdale; 173; 188; GPE
10; Tuesday; 194; 201; DATE
12; Ericka Joseph; 26; 39; PERSON
12; Akili; 72; 77; PERSON
12; two; 87; 90; CARDINAL
12; Fort Lauderdale; 118; 133; GPE
12; Tuesday; 139; 146; DATE
14; Tonya Williams; 2; 16; PERSON
15; Tonya Williams; 2; 16; PERSON
15; NEWLINE Crime; 28; 41; ORG
17; Williams; 31; 39; PERSON
19; 954 - 356; 31; 40; CARDINAL
19; Twitter; 51; 58; GPE
