1; 2017-02-13; 0; 10; DATE
2; four; 21; 25; CARDINAL
2; 14-year - old; 48; 61; DATE
3; Sabino Paez; 0; 11; PERSON
3; 17; 14; 16; CARDINAL
3; Alicianna Baca; 19; 33; PERSON
3; 17; 36; 38; CARDINAL
3; Ismael; 41; 47; GPE
3; 18; 57; 59; CARDINAL
3; Anthony Lalo Castrillo IV NEWLINE Sabino Paez; 80; 125; PERSON
3; 17; 128; 130; CARDINAL
3; Alicianna Baca; 133; 147; PERSON
3; 17; 150; 152; CARDINAL
3; Ismael; 155; 161; GPE
3; 18; 171; 173; CARDINAL
3; Anthony Lalo Castrillo IV NEWLINE LAS CRUCES; 194; 238; PERSON
4; New Mexico - Police; 0; 19; ORG
4; two; 29; 32; CARDINAL
4; two; 47; 50; CARDINAL
4; the February 5 , 2017; 71; 92; DATE
4; 14-year - old; 114; 127; DATE
5; Sabino Paez; 0; 11; PERSON
5; 17; 14; 16; CARDINAL
5; Alicianna Baca; 19; 33; PERSON
5; 17; 36; 38; CARDINAL
5; Ismael; 41; 47; GPE
5; 18; 57; 59; CARDINAL
5; Anthony Lalo Castrillo IV; 80; 105; PERSON
5; 4200; 172; 176; CARDINAL
5; Charles Street; 186; 200; FAC
6; Castrillo; 18; 27; ORG
6; one; 50; 53; CARDINAL
6; Armed Robbery and Conspiracy; 63; 91; PERSON
7; Paez; 12; 16; GPE
7; one; 62; 65; CARDINAL
7; Aggravated Battery Causing Great Bodily Harm; 75; 119; ORG
8; Castrillo; 7; 16; ORG
8; one; 49; 52; CARDINAL
8; Paez; 124; 128; GPE
9; Paez; 19; 23; GPE
9; Dunlap; 26; 32; PERSON
9; Castrillo; 37; 46; ORG
9; 14-year - old; 87; 100; DATE
9; Super Bowl; 111; 121; EVENT
9; Sunday; 122; 128; DATE
10; three; 4; 9; CARDINAL
11; 4 pm; 15; 19; TIME
11; Castrillo; 31; 40; ORG
11; Paez; 47; 51; GPE
11; Dunlap; 56; 62; PERSON
11; Charles Street; 66; 80; FAC
11; 14-year - old; 93; 106; DATE
12; Dunlap; 47; 53; GPE
12; Paez; 93; 97; GPE
13; 14-year - old; 9; 22; DATE
13; Dunlap; 60; 66; GPE
13; Paez; 69; 73; GPE
14; University Medical Center of El Paso; 30; 66; ORG
15; the Dona Ana County Detention Center; 55; 91; GPE
16; Castrillo; 11; 20; ORG
16; 25,000; 91; 97; MONEY
