1; 2017-02-27; 0; 10; DATE
2; Saturday; 55; 63; DATE
3; Download; 0; 8; ORG
3; PDF; 12; 15; ORG
4; Saturday; 47; 55; DATE
4; NEWLINE WARREN; 65; 79; PERSON
4; NEWLINE Macho; 80; 93; GPE
4; Nasser Hamad; 126; 138; PERSON
4; Howland; 142; 149; GPE
4; two; 154; 157; CARDINAL
4; Facebook; 171; 179; ORG
4; Saturday; 183; 191; DATE
4; afternoon; 192; 201; TIME
4; Hamad; 209; 214; PERSON
4; two; 285; 288; CARDINAL
4; Monday; 332; 338; DATE
5; Hamad; 0; 5; PERSON
5; 47; 8; 10; DATE
5; Route 46; 22; 30; FAC
5; Monday; 47; 53; DATE
5; Trumbull County Common Pleas Court; 57; 91; ORG
5; two; 95; 98; CARDINAL
5; three; 131; 136; CARDINAL
7; Ronald Rice; 6; 17; PERSON
7; Hamad; 27; 32; PERSON
7; $ 5 million; 70; 81; MONEY
8; Hamad; 0; 5; PERSON
9; Roger Bauer; 15; 26; PERSON
9; the Ohio Public Defender’ Office; 30; 62; ORG
9; Hamad; 114; 119; PERSON
9; Hamad; 174; 179; PERSON
10; Hamad; 60; 65; PERSON
10; Hamad; 96; 101; PERSON
10; at least one; 156; 168; CARDINAL
10; five; 176; 180; CARDINAL
11; Hamad; 8; 13; PERSON
11; 9; 29; 30; CARDINAL
11; mm; 31; 33; PERSON
11; five; 66; 70; CARDINAL
13; 16; 45; 47; CARDINAL
14; Joshua Haber; 0; 12; PERSON
14; 19; 15; 17; DATE
14; Josh Williams; 44; 57; PERSON
14; 20; 60; 62; DATE
14; Woodbine Avenue; 68; 83; FAC
15; Bryce Hendrickson; 0; 17; PERSON
15; 20; 20; 22; DATE
15; Dawson Drive; 28; 40; FAC
15; Howland; 44; 51; GPE
15; John Shively; 58; 70; PERSON
15; 17; 73; 75; DATE
15; 42; 122; 124; DATE
15; four; 152; 156; CARDINAL
15; Hamad; 172; 177; PERSON
15; Haber; 208; 213; PERSON
16; 4:25 p.m.; 29; 38; TIME
16; Hamad; 58; 63; PERSON
16; Route 46; 104; 112; LAW
16; the Eastwood Mall; 136; 153; FAC
17; Facebook; 0; 8; ORG
17; Facebook; 55; 63; ORG
17; Hamad; 81; 86; PERSON
17; Hendrickson; 91; 102; PERSON
18; Hamad; 16; 21; PERSON
19; Hendrickson; 0; 11; ORG
19; Hamad; 26; 31; PERSON
19; Tracy Hendrickson; 48; 65; PERSON
19; one day earlier; 94; 109; DATE
19; Bryce Hendrickson ’s; 115; 135; PERSON
19; Brian; 145; 150; PERSON
20; Hendricksons; 47; 59; ORG
20; Hamad; 64; 69; PERSON
20; Tracy Hendrickson ’s; 81; 101; PERSON
20; Hamad; 162; 167; PERSON
21; November; 45; 53; DATE
21; Hendricksons; 100; 112; ORG
21; Hamad; 117; 122; PERSON
22; Bryce Hendrickson ’s; 12; 32; PERSON
22; Shively; 35; 42; PERSON
22; Facebook; 56; 64; ORG
22; Saturday; 74; 82; DATE
22; Hamad; 92; 97; PERSON
22; Hamad; 118; 123; PERSON
22; Shively; 153; 160; PERSON
22; Hendrickson; 163; 174; PERSON
23; Hamad; 33; 38; PERSON
26; Hamad; 21; 26; PERSON
26; Hendrickson; 81; 92; PERSON
26; Facebook; 112; 120; ORG
27; Hendrickson; 19; 30; PERSON
27; Shively; 35; 42; PERSON
27; Hamad; 54; 59; PERSON
27; two; 98; 101; CARDINAL
27; Trent - Vokes; 124; 137; PERSON
28; Hamad; 34; 39; PERSON
28; Hamad; 82; 87; PERSON
28; Shively; 92; 99; PERSON
28; four; 139; 143; CARDINAL
29; five; 38; 42; CARDINAL
30; Hamad; 13; 18; PERSON
30; NEWLINE; 91; 98; ORDINAL
31; Hamad; 21; 26; PERSON
33; Hamad; 0; 5; PERSON
35; Hamad; 29; 34; PERSON
36; EMT; 4; 7; ORG
37; EMT; 7; 10; ORG
37; Hamad; 44; 49; PERSON
40; Hamad; 0; 5; PERSON
41; Hamad; 5; 10; PERSON
42; EMT; 4; 7; ORG
42; Hamad; 130; 135; PERSON
43; Hamad; 0; 5; PERSON
44; Hamad; 0; 5; PERSON
44; three; 12; 17; CARDINAL
45; Hendrickson; 12; 23; PERSON
45; Hendrickson; 44; 55; PERSON
45; five; 69; 73; CARDINAL
45; Route 46; 83; 91; FAC
46; Hamad; 0; 5; PERSON
46; Hendrickson; 43; 54; PERSON
46; Shively; 59; 66; PERSON
