1; 2017-01-05; 0; 10; DATE
2; 22-month - old; 9; 23; DATE
2; East Oakland; 37; 49; GPE
3; 22-month - old; 9; 23; DATE
3; East Oakland NEWLINE; 37; 57; FAC
4; 22-month - old; 2; 16; DATE
4; East Oakland; 62; 74; GPE
4; Thursday; 78; 86; DATE
5; around noon; 22; 33; TIME
5; 66th; 59; 63; ORDINAL
5; Outlook; 68; 75; GPE
5; the Oakland Police Department; 169; 198; ORG
7; Johnna Watson; 87; 100; PERSON
7; the Oakland Police Department; 121; 150; ORG
9; Benioff Children; 13; 29; PERSON
9; Daryle Allums; 79; 92; PERSON
9; Adamika Village; 115; 130; GPE
9; Oakland; 136; 143; GPE
10; two; 17; 20; CARDINAL
10; Allums; 120; 126; PERSON
11; Watson; 23; 29; PERSON
12; Watson; 0; 6; ORG
12; Wednesday; 111; 120; DATE
12; Myrtle Street; 124; 137; LOC
12; 16th Street; 143; 154; FAC
12; first; 161; 166; ORDINAL
12; the year; 179; 187; DATE
12; Oakland; 191; 198; GPE
13; Watson; 47; 53; PERSON
13; Oakland; 73; 80; GPE
13; Anne Kirkpatrick; 108; 124; PERSON
15; Allums; 85; 91; PERSON
15; at least one; 99; 111; CARDINAL
17; Watson; 0; 6; ORG
17; the Police Department; 23; 44; ORG
18; Kimberly Veklerov Image 1 of; 8; 36; PERSON
18; 1; 61; 62; CARDINAL
18; 4; 66; 67; CARDINAL
18; 22-month - old; 70; 84; DATE
18; East Oakland; 102; 114; LOC
18; Thursday; 115; 123; DATE
18; noon; 160; 164; TIME
18; 66th; 190; 194; ORDINAL
18; Overlook; 199; 207; ORG
19; 22-month - old; 2; 16; DATE
19; East Oakland; 34; 46; GPE
19; Thursday; 47; 55; DATE
19; noon; 92; 96; TIME
19; 66th; 122; 126; ORDINAL
19; Overlook; 131; 139; ORG
20; Kimberly Veklerov Image 2; 8; 33; PERSON
20; 4; 37; 38; CARDINAL
20; 22-month - old; 41; 55; DATE
20; East Oakland; 73; 85; LOC
20; Thursday; 86; 94; DATE
20; noon; 131; 135; TIME
20; 66th; 161; 165; ORDINAL
20; Overlook; 170; 178; ORG
21; 22-month - old; 2; 16; DATE
21; East Oakland; 34; 46; GPE
21; Thursday; 47; 55; DATE
21; noon; 92; 96; TIME
21; 66th; 122; 126; ORDINAL
21; Overlook; 131; 139; ORG
22; Kimberly Veklerov Image; 8; 31; PERSON
22; 3; 32; 33; CARDINAL
22; 4; 37; 38; CARDINAL
22; East Oakland; 59; 71; LOC
22; Thursday; 72; 80; DATE
23; East Oakland; 20; 32; LOC
23; Thursday; 33; 41; DATE
25; 4; 26; 27; CARDINAL
25; East Oakland; 51; 63; GPE
25; 22-month - old; 85; 99; DATE
25; Thursday; 114; 122; DATE
26; East Oakland; 18; 30; GPE
26; 22-month - old; 52; 66; DATE
26; Thursday; 81; 89; DATE
28; 22-month - old; 29; 43; DATE
28; East Oakland; 57; 69; GPE
30; Allums; 0; 6; PERSON
31; East Oakland; 34; 46; GPE
31; four; 105; 109; CARDINAL
31; noon; 149; 153; TIME
31; four; 191; 195; CARDINAL
32; Tao; 37; 40; PERSON
32; Clare Stanley; 88; 101; PERSON
34; Stanley; 0; 7; ORG
34; four or five; 30; 42; CARDINAL
34; four or so; 101; 111; CARDINAL
36; Burbank Preschool; 0; 17; ORG
36; one; 26; 29; CARDINAL
36; 65th; 44; 48; ORDINAL
36; Outlook; 53; 60; GPE
36; Stanley; 71; 78; PERSON
39; Stanley; 0; 7; ORG
41; David Dill; 31; 41; PERSON
42; Oakland; 77; 84; GPE
42; 85; 101; 103; CARDINAL
42; 2016; 146; 150; DATE
44; 2017; 21; 25; DATE
44; Dill; 28; 32; PERSON
45; Dill; 42; 46; PERSON
50; Kimberly Veklerov; 0; 17; PERSON
50; Sarah Ravani; 20; 32; PERSON
50; Michael Bodley; 37; 51; PERSON
50; San Francisco Chronicle; 56; 79; ORG
53; @sarravani; 23; 33; NORP
53; @michael_bodley; 36; 51; ORG
