1; 2017-03-06; 0; 10; DATE
3; Teen; 56; 60; ORG
3; NEWLINE Photo; 104; 117; WORK_OF_ART
3; Elizabeth Conley; 120; 136; PERSON
3; Houston Chronicle Image 1 of / 3; 139; 171; ORG
3; 1; 192; 193; CARDINAL
3; 3; 197; 198; CARDINAL
3; Quanell X; 199; 208; PERSON
3; Derrick Green; 264; 277; PERSON
3; Green; 303; 308; PERSON
3; three; 318; 323; CARDINAL
3; 17-year - old; 335; 348; DATE
3; last Tuesday; 349; 361; DATE
5; Quanell X; 5; 14; PERSON
5; Derrick Green; 70; 83; PERSON
5; Green; 109; 114; PERSON
5; three; 124; 129; CARDINAL
5; 17-year - old; 141; 154; DATE
5; last Tuesday; 155; 167; DATE
6; Elizabeth Conley; 57; 73; PERSON
6; Houston Chronicle Image; 76; 99; ORG
6; 2; 100; 101; CARDINAL
6; 3; 105; 106; CARDINAL
6; Ken Albrecht; 107; 119; PERSON
6; Derrick Green; 153; 166; PERSON
6; Tuesday; 207; 214; DATE
7; Quanell X; 0; 9; PERSON
8; Ken Albrecht; 5; 17; PERSON
8; Derrick Green; 51; 64; PERSON
8; Tuesday; 105; 112; DATE
9; Quanell X; 0; 9; PERSON
10; Elizabeth Conley; 13; 29; PERSON
10; Houston Chronicle Image 3; 32; 57; ORG
10; Elaine Moore; 63; 75; PERSON
10; Quanell X; 100; 109; PERSON
10; 17-year - old; 142; 155; DATE
10; last Tuesday; 156; 168; DATE
12; Elaine Moore; 5; 17; PERSON
12; Quanell X; 42; 51; PERSON
12; 17-year - old; 84; 97; DATE
12; last Tuesday; 98; 110; DATE
14; Green; 4; 9; PERSON
15; Elizabeth Conley; 13; 29; PERSON
15; Houston Chronicle Family; 32; 56; ORG
15; 1 / 3; 106; 111; CARDINAL
15; Anthony Bentley; 136; 151; PERSON
15; two; 212; 215; CARDINAL
15; Monday; 250; 256; DATE
16; Bentley; 49; 56; PERSON
16; the Houston Police Department Explorers; 84; 123; ORG
16; Derrick Green; 164; 177; PERSON
16; three; 178; 183; CARDINAL
17; Bentley; 0; 7; ORG
17; 17; 15; 17; DATE
18; Green; 4; 9; ORG
18; Quanell X; 33; 42; PERSON
18; Monday; 67; 73; DATE
19; NEWLINE; 55; 62; ORG
19; Quanell; 136; 143; ORG
20; District; 24; 32; GPE
20; Kim Ogg; 42; 49; PERSON
21; Tuesday; 19; 26; DATE
21; afternoon; 27; 36; TIME
21; Houston; 45; 52; GPE
21; just 10 miles; 101; 114; QUANTITY
22; Bentley; 0; 7; PERSON
22; Explorers; 45; 54; PERSON
22; Two; 94; 97; CARDINAL
24; 60; 77; 79; CARDINAL
24; 70 mph; 83; 89; QUANTITY
24; Joe Gutheinz; 135; 147; PERSON
26; Houston; 46; 53; GPE
26; NEWLINE; 105; 112; PERSON
27; Bentley; 77; 84; PERSON
28; just a few seconds later; 4; 28; TIME
28; Canoga; 78; 84; ORG
30; Bentley; 27; 34; PERSON
31; Green; 17; 22; ORG
32; Bentley; 23; 30; PERSON
32; Quanell; 46; 53; ORG
33; three; 56; 61; CARDINAL
33; Quanell; 84; 91; PERSON
34; Gutheinz; 4; 12; ORG
34; one; 52; 55; CARDINAL
35; $ 1.2 million; 13; 26; MONEY
35; NEWLINE; 97; 104; PERSON
36; Gutheinz; 67; 75; GPE
38; Bentley; 3; 10; PERSON
39; four; 13; 17; CARDINAL
39; three; 38; 43; CARDINAL
40; Bentley; 0; 7; PERSON
41; Monday; 107; 113; DATE
41; afternoon; 114; 123; TIME
44; Quanell; 56; 63; ORG
47; Dane Schiller; 69; 82; PERSON
50; Gutheinz; 0; 8; GPE
54; Quanell; 4; 11; ORG
54; Houston; 26; 33; GPE
55; HPD; 17; 20; PERSON
56; America; 17; 24; GPE
