1; 2017-02-08; 0; 10; DATE
2; KSLA News; 71; 80; ORG
2; 12; 81; 83; CARDINAL
2; Shreveport; 84; 94; GPE
2; Louisiana News Weather & Sports; 97; 128; ORG
3; Michael Gipson; 0; 14; PERSON
3; Shreveport; 20; 30; GPE
4; Scott Pace; 11; 21; PERSON
4; KSLA News; 22; 31; ORG
4; 12; 32; 34; CARDINAL
4; NEWLINE Shreveport; 37; 55; GPE
5; Latoyia Marsden; 0; 15; PERSON
6; Michael Gipson Jr.; 30; 48; PERSON
6; 11; 51; 53; DATE
7; Michael Gipson Sr; 11; 28; PERSON
8; Shreveport; 0; 10; GPE
10; Michael Gipson; 0; 14; PERSON
10; Shreveport; 61; 71; GPE
11; KSLA News; 0; 9; ORG
11; 12; 10; 12; CARDINAL
12; Latoyia Marsden; 0; 15; PERSON
14; Marcus Hines; 0; 12; PERSON
15; the morning of Feb. 8; 17; 38; TIME
15; Gipson; 44; 50; PERSON
19; Gipson; 0; 6; ORG
19; Feb. 7; 50; 56; DATE
19; University Health; 60; 77; ORG
20; Gipson; 5; 11; PERSON
20; Shreveport; 27; 37; GPE
20; seventh; 88; 95; ORDINAL
21; Gipson; 0; 6; PERSON
23; Shreveport; 137; 147; GPE
24; Gipson; 0; 6; ORG
28; Gipson; 0; 6; PERSON
32; Gipson; 0; 6; ORG
33; six years; 20; 29; DATE
33; Gipson; 63; 69; PERSON
36; KSLA News; 0; 9; ORG
36; 12; 10; 12; CARDINAL
37; KSLA News; 0; 9; ORG
37; 12; 10; 12; CARDINAL
38; Gipson; 41; 47; PERSON
38; thousands of dollars; 73; 93; MONEY
38; the years; 99; 108; DATE
39; Gipson; 0; 6; ORG
39; Shreveport; 93; 103; GPE
40; 2017; 10; 14; DATE
40; KSLA; 15; 19; GPE
