1; 2017-03-27; 0; 10; DATE
2; 2; 0; 1; CARDINAL
2; Cincinnati; 13; 23; GPE
2; Trotwood; 48; 56; ORG
3; CINCINNATI; 0; 10; GPE
3; AP/WDTN ); 13; 22; ORG
3; two; 51; 54; CARDINAL
3; Cincinnati; 70; 80; GPE
3; Sunday; 100; 106; DATE
3; morning; 107; 114; TIME
3; Trotwood; 124; 132; ORG
4; Jarrod Givens; 11; 24; PERSON
4; Lyrik Hardaway; 29; 43; PERSON
4; 16; 73; 75; CARDINAL
4; Cameo; 108; 113; NORP
5; Cincinnati; 4; 14; GPE
5; one; 121; 124; CARDINAL
5; 16; 141; 143; CARDINAL
7; Cincinnati; 12; 22; GPE
7; 1; 39; 40; CARDINAL
7; 15; 43; 45; CARDINAL
7; NEWLINE; 68; 75; ORG
7; Elliot Isaac; 82; 94; PERSON
7; Monday; 110; 116; DATE
7; morning; 117; 124; TIME
7; Cameo; 143; 148; GPE
8; five; 15; 19; CARDINAL
8; two; 52; 55; CARDINAL
8; three; 82; 87; CARDINAL
9; One; 0; 3; CARDINAL
9; Sunday; 62; 68; DATE
9; morning; 69; 76; TIME
10; Keith Forman; 0; 12; PERSON
10; Cincinnati; 20; 30; GPE
10; April; 86; 91; DATE
11; Forman; 0; 6; ORG
11; Cameo; 52; 57; GPE
12; Photos Cincinnati Nightclub; 0; 27; PERSON
12; View; 37; 41; ORG
12; View; 50; 54; PERSON
12; Open Gallery Police; 66; 85; ORG
12; the Cameo Nightclub; 119; 138; ORG
12; Sunday , March 26 , 2017; 173; 197; DATE
12; Cincinnati; 203; 213; GPE
13; the Cameo Nightclub; 40; 59; ORG
13; Sunday , March 26 , 2017; 94; 118; DATE
13; Cincinnati; 124; 134; GPE
14; the Cameo Nightclub; 40; 59; ORG
14; Sunday , March 26 , 2017; 94; 118; DATE
14; Cincinnati; 124; 134; GPE
15; ATF; 15; 18; ORG
15; Cameo; 65; 70; NORP
15; Sunday , March 26 , 2017; 101; 125; DATE
15; Cincinnati; 131; 141; GPE
16; Cameo; 65; 70; NORP
16; Sunday , March 26 , 2017; 101; 125; DATE
16; Cincinnati; 131; 141; GPE
17; Cameo; 40; 45; NORP
17; Sunday , March 26 , 2017; 76; 100; DATE
17; Cincinnati; 106; 116; GPE
18; Cameo; 76; 81; NORP
18; Sunday , March 26 , 2017; 112; 136; DATE
18; Cincinnati; 142; 152; GPE
19; Cameo; 65; 70; NORP
19; Sunday , March 26 , 2017; 101; 125; DATE
19; Cincinnati; 131; 141; GPE
20; AP Photo; 2; 10; ORG
20; John Minchillo; 11; 25; PERSON
20; Cameo; 64; 69; NORP
20; Sunday , March 26 , 2017; 109; 133; DATE
20; Cincinnati; 139; 149; GPE
21; AP Photo; 2; 10; ORG
21; John Minchillo; 11; 25; PERSON
21; Cameo; 69; 74; NORP
21; Sunday , March 26 , 2017; 114; 138; DATE
21; Cincinnati; 144; 154; GPE
22; Cameo; 44; 49; NORP
22; Sunday , March 26 , 2017; 98; 122; DATE
22; Cincinnati; 128; 138; GPE
23; Cameo; 39; 44; NORP
23; Sunday , March 26 , 2017; 93; 117; DATE
23; Cincinnati; 123; 133; GPE
24; AP Photo; 2; 10; ORG
24; John Minchillo; 11; 25; PERSON
25; WDTN.com; 14; 22; ORG
26; the FREE WDTN News App for iPhone or Android; 39; 83; ORG
28; Facebook; 27; 35; ORG
28; Twitter; 39; 46; PERSON
