Son	12,15	bn:00051877n	http://babelnet.org/rdf/s00051877n	http://dbpedia.org/resource/Logos
shoots	16,22	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
father	23,29	bn:00009616n	http://babelnet.org/rdf/s00009616n	http://dbpedia.org/resource/Father
mistaking	36,45	bn:00090835v	http://babelnet.org/rdf/s00090835v	null
burglar	54,61	bn:00013964n	http://babelnet.org/rdf/s00013964n	null
TV	69,71	bn:00076373n	http://babelnet.org/rdf/s00076373n	http://dbpedia.org/resource/Television
Authorities	76,87	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
say	88,91	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
son	94,97	bn:00051877n	http://babelnet.org/rdf/s00051877n	http://dbpedia.org/resource/Logos
accidentally	98,110	bn:00114102r	http://babelnet.org/rdf/s00114102r	null
shot	111,115	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
father	120,126	bn:00009616n	http://babelnet.org/rdf/s00009616n	http://dbpedia.org/resource/Father
mistaking	133,142	bn:00090835v	http://babelnet.org/rdf/s00090835v	null
burglar	153,160	bn:00013964n	http://babelnet.org/rdf/s00013964n	null
shooting	168,176	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
happened	177,185	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
Monday	186,192	bn:00055609n	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
home	198,202	bn:00044994n	http://babelnet.org/rdf/s00044994n	http://dbpedia.org/resource/House
block	214,219	bn:00011308n	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
W.	223,225	bn:00753787n	http://babelnet.org/rdf/s00753787n	http://dbpedia.org/resource/W._(film)
Ruth	226,230	bn:00012108n	http://babelnet.org/rdf/s00012108n	http://dbpedia.org/resource/Book_of_Ruth
Avenue	231,237	bn:00007447n	http://babelnet.org/rdf/s00007447n	null
Martin Luther King	245,263	bn:01282264n	http://babelnet.org/rdf/s01282264n	http://dbpedia.org/resource/Martin_Luther_King,_Jr.
Boulevard	264,273	bn:00007448n	http://babelnet.org/rdf/s00007448n	http://dbpedia.org/resource/Avenue_(landscape)
Flint	277,282	bn:00035233n	http://babelnet.org/rdf/s00035233n	http://dbpedia.org/resource/Flint
Investigators	286,299	bn:00026633n	http://babelnet.org/rdf/s00026633n	http://dbpedia.org/resource/Detective
said	300,304	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
father	313,319	bn:00009616n	http://babelnet.org/rdf/s00009616n	http://dbpedia.org/resource/Father
arrived	320,327	bn:00082788v	http://babelnet.org/rdf/s00082788v	null
home	328,332	bn:00044994n	http://babelnet.org/rdf/s00044994n	http://dbpedia.org/resource/House
late	333,337	bn:00105751a	http://babelnet.org/rdf/s00105751a	null
Monday	338,344	bn:00055609n	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
night	345,350	bn:00025236n	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
old	367,370	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
son	371,374	bn:00051877n	http://babelnet.org/rdf/s00051877n	http://dbpedia.org/resource/Logos
recognize	383,392	bn:00082272v	http://babelnet.org/rdf/s00082272v	null
vehicle	397,404	bn:00079675n	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
arrived	408,415	bn:00082788v	http://babelnet.org/rdf/s00082788v	null
thought	423,430	bn:00083370v	http://babelnet.org/rdf/s00083370v	null
intruder	441,449	bn:00047118n	http://babelnet.org/rdf/s00047118n	http://dbpedia.org/resource/Half-Life_(video_game)
police	452,458	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	459,463	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
father	476,482	bn:00009616n	http://babelnet.org/rdf/s00009616n	http://dbpedia.org/resource/Father
walked	483,489	bn:00095602v	http://babelnet.org/rdf/s00095602v	null
front door	497,507	bn:00036636n	http://babelnet.org/rdf/s00036636n	null
soon	514,518	bn:00114513r	http://babelnet.org/rdf/s00114513r	null
shot	519,523	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
side	535,539	bn:00071437n	http://babelnet.org/rdf/s00071437n	null
according	542,551	bn:00082228v	http://babelnet.org/rdf/s00082228v	null
officials	555,564	bn:00036837n	http://babelnet.org/rdf/s00036837n	http://dbpedia.org/resource/Official
father	572,578	bn:00009616n	http://babelnet.org/rdf/s00009616n	http://dbpedia.org/resource/Father
recovering	582,592	bn:00088941v	http://babelnet.org/rdf/s00088941v	null
local	598,603	bn:00106109a	http://babelnet.org/rdf/s00106109a	null
hospital	604,612	bn:00044896n	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
Copyright	616,625	bn:00022536n	http://babelnet.org/rdf/s00022536n	http://dbpedia.org/resource/Copyright
Meredith Corporation	638,658	bn:01003092n	http://babelnet.org/rdf/s01003092n	http://dbpedia.org/resource/Meredith_Corporation
rights	667,673	bn:00067807n	http://babelnet.org/rdf/s00067807n	http://dbpedia.org/resource/Rights
reserved	674,682	bn:00082539v	http://babelnet.org/rdf/s00082539v	null
