Latest	12,18	bn:00050146n	http://babelnet.org/rdf/s00050146n	null
Cameo	22,27	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
nightclub	28,37	bn:00014419n	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
shooting	38,46	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Total	49,54	bn:00002008n	http://babelnet.org/rdf/s00002008n	null
hit up	55,61	bn:13646386v	http://babelnet.org/rdf/s13646386v	null
security	73,81	bn:00070219n	http://babelnet.org/rdf/s00070219n	null
footage	82,89	bn:00035702n	http://babelnet.org/rdf/s00035702n	null
provided	90,98	bn:00088643v	http://babelnet.org/rdf/s00088643v	null
CLOSE	101,106	bn:00019918n	http://babelnet.org/rdf/s00019918n	null
Skip	107,111	bn:00071998n	http://babelnet.org/rdf/s00071998n	null
Skip	115,119	bn:00071998n	http://babelnet.org/rdf/s00071998n	null
Embed	122,127	bn:13709073n	http://babelnet.org/rdf/s13709073n	null
Share	130,135	bn:00060768n	http://babelnet.org/rdf/s00060768n	null
CAMEO	136,141	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
NIGHTCLUB	142,151	bn:00014419n	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
SHOOTING	152,160	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
bond	175,179	bn:00011973n	http://babelnet.org/rdf/s00011973n	http://dbpedia.org/resource/Chemical_bond
suspect	184,191	bn:00025884n	http://babelnet.org/rdf/s00025884n	http://dbpedia.org/resource/Suspect
Cameo	195,200	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
gun	203,206	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
battle	207,213	bn:00009078n	http://babelnet.org/rdf/s00009078n	http://dbpedia.org/resource/Engagement_(military)
men	234,237	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
charged	238,245	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
shootout	253,261	bn:00042241n	http://babelnet.org/rdf/s00042241n	http://dbpedia.org/resource/Shootout
crowded	273,280	bn:00100709a	http://babelnet.org/rdf/s00100709a	null
Cameo	281,286	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
nightclub	287,296	bn:00014419n	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
wounded	302,309	bn:00089751v	http://babelnet.org/rdf/s00089751v	null
people	313,319	bn:00061450n	http://babelnet.org/rdf/s00061450n	http://dbpedia.org/resource/People
killed	324,330	bn:00090098v	http://babelnet.org/rdf/s00090098v	null
denied	339,345	bn:00086591v	http://babelnet.org/rdf/s00086591v	null
firing	346,352	bn:00088225v	http://babelnet.org/rdf/s00088225v	null
shots	357,362	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
gun	380,383	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
night	389,394	bn:00025236n	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
Cornell	397,404	bn:00022731n	http://babelnet.org/rdf/s00022731n	http://dbpedia.org/resource/Ezra_Cornell
appeared	420,428	bn:00082690v	http://babelnet.org/rdf/s00082690v	null
arraignment	436,447	bn:00005861n	http://babelnet.org/rdf/s00005861n	http://dbpedia.org/resource/Arraignment
Friday	448,454	bn:00036512n	http://babelnet.org/rdf/s00036512n	http://dbpedia.org/resource/Friday
Cochran	477,484	bn:00020262n	http://babelnet.org/rdf/s00020262n	http://dbpedia.org/resource/Jacqueline_Cochran
CLOSE	493,498	bn:00019918n	http://babelnet.org/rdf/s00019918n	null
Skip	499,503	bn:00071998n	http://babelnet.org/rdf/s00071998n	null
Skip	507,511	bn:00071998n	http://babelnet.org/rdf/s00071998n	null
Embed	514,519	bn:13709073n	http://babelnet.org/rdf/s13709073n	null
Share	522,527	bn:00060768n	http://babelnet.org/rdf/s00060768n	null
CAMEO	528,533	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
NIGHTCLUB	534,543	bn:00014419n	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
SHOOTING	544,552	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
Arrests	553,560	bn:00946750n	http://babelnet.org/rdf/s00946750n	http://dbpedia.org/resource/Arrest
Cameo	569,574	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
shooting	575,583	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Cincinnati police	591,608	bn:00636892n	http://babelnet.org/rdf/s00636892n	http://dbpedia.org/resource/Cincinnati_Police_Department
police chief	602,614	bn:00015751n	http://babelnet.org/rdf/s00015751n	null
Eliot	615,620	bn:00030368n	http://babelnet.org/rdf/s00030368n	http://dbpedia.org/resource/T._S._Eliot
Mayor	631,636	bn:00019333n	http://babelnet.org/rdf/s00019333n	http://dbpedia.org/resource/Mayor
John Cranley	637,649	bn:02898554n	http://babelnet.org/rdf/s02898554n	http://dbpedia.org/resource/John_Cranley
announce	650,658	bn:00082637v	http://babelnet.org/rdf/s00082637v	null
arrests	663,670	bn:00946750n	http://babelnet.org/rdf/s00946750n	http://dbpedia.org/resource/Arrest
men	678,681	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
charged	682,689	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
murder	695,701	bn:00032175n	http://babelnet.org/rdf/s00032175n	http://dbpedia.org/resource/Murder
connection	705,715	bn:00021902n	http://babelnet.org/rdf/s00021902n	null
Cameo	725,730	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
nightclub	731,740	bn:00014419n	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
shooting	741,749	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
CLOSE	818,823	bn:00019918n	http://babelnet.org/rdf/s00019918n	null
Skip	824,828	bn:00071998n	http://babelnet.org/rdf/s00071998n	null
Skip	832,836	bn:00071998n	http://babelnet.org/rdf/s00071998n	null
Embed	839,844	bn:13709072n	http://babelnet.org/rdf/s13709072n	null
Share	847,852	bn:00060768n	http://babelnet.org/rdf/s00060768n	null
CAMEO	853,858	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
NIGHTCLUB	859,868	bn:00014419n	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
SHOOTING	869,877	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
calls	882,887	bn:00014793n	http://babelnet.org/rdf/s00014793n	null
Cameo	897,902	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
nightclub	903,912	bn:00014419n	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
shootings	913,922	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
Multiple	930,938	bn:02438137n	http://babelnet.org/rdf/s02438137n	http://dbpedia.org/resource/Financial_ratio
calls	943,948	bn:00014793n	http://babelnet.org/rdf/s00014793n	null
made to	954,961	bn:13697616v	http://babelnet.org/rdf/s13697616v	null
dispatchers	962,973	bn:00027650n	http://babelnet.org/rdf/s00027650n	http://dbpedia.org/resource/Dispatcher
report	977,983	bn:00082233v	http://babelnet.org/rdf/s00082233v	null
shootings	988,997	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
Cameo	1001,1006	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
nightclub	1007,1016	bn:00014419n	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
compilation	1029,1040	bn:00047114n	http://babelnet.org/rdf/s00047114n	http://dbpedia.org/resource/Translation
calls	1050,1055	bn:00014793n	http://babelnet.org/rdf/s00014793n	null
CLOSE	1066,1071	bn:00019918n	http://babelnet.org/rdf/s00019918n	null
Skip	1072,1076	bn:00071998n	http://babelnet.org/rdf/s00071998n	null
Skip	1080,1084	bn:00071998n	http://babelnet.org/rdf/s00071998n	null
Embed	1087,1092	bn:13709073n	http://babelnet.org/rdf/s13709073n	null
Share	1095,1100	bn:00060768n	http://babelnet.org/rdf/s00060768n	null
CAMEO	1101,1106	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
NIGHTCLUB	1107,1116	bn:00014419n	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
SHOOTING	1117,1125	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
Prayer	1126,1132	bn:00059529n	http://babelnet.org/rdf/s00059529n	http://dbpedia.org/resource/Prayer
vigil	1133,1138	bn:00079988n	http://babelnet.org/rdf/s00079988n	null
victims	1147,1154	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
Cameo	1162,1167	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
night club	1168,1178	bn:00014419n	http://babelnet.org/rdf/s00014419n	http://dbpedia.org/resource/Nightclub
shooting	1179,1187	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Mourners	1195,1203	bn:00041788n	http://babelnet.org/rdf/s00041788n	http://dbpedia.org/resource/Mourner
pray	1204,1208	bn:00091921v	http://babelnet.org/rdf/s00091921v	null
Spikes	1221,1227	bn:00073359n	http://babelnet.org/rdf/s00073359n	http://dbpedia.org/resource/Hard_disk_drive
injured	1239,1246	bn:00089751v	http://babelnet.org/rdf/s00089751v	null
following	1247,1256	bn:00088421v	http://babelnet.org/rdf/s00088421v	null
shooting	1261,1269	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Cameo	1277,1282	bn:00015007n	http://babelnet.org/rdf/s00015007n	http://dbpedia.org/resource/Cameo_(carving)
