woman	22,27	bn:00001530n	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
charged	28,35	bn:00083234v	http://babelnet.org/rdf/s00083234v	null
connection	39,49	bn:00021902n	http://babelnet.org/rdf/s00021902n	null
accidental	55,65	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	66,74	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
April	77,82	bn:00005169n	http://babelnet.org/rdf/s00005169n	http://dbpedia.org/resource/April
woman	129,134	bn:00001530n	http://babelnet.org/rdf/s00001530n	http://dbpedia.org/resource/Woman
facing	138,144	bn:00085596v	http://babelnet.org/rdf/s00085596v	null
host	147,151	bn:00044910n	http://babelnet.org/rdf/s00044910n	http://dbpedia.org/resource/Maître_d'hôtel
weapons	155,162	bn:00005704n	http://babelnet.org/rdf/s00005704n	http://dbpedia.org/resource/Weapon
charges	163,170	bn:00017789n	http://babelnet.org/rdf/s00017789n	null
connection	174,184	bn:00021902n	http://babelnet.org/rdf/s00021902n	null
accidental	193,203	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	204,212	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
occurred	218,226	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
Monday	227,233	bn:02828476n	http://babelnet.org/rdf/s02828476n	http://dbpedia.org/resource/Monday_(film)
afternoon	234,243	bn:00001875n	http://babelnet.org/rdf/s00001875n	http://dbpedia.org/resource/Afternoon
Park	255,259	bn:00060690n	http://babelnet.org/rdf/s00060690n	http://dbpedia.org/resource/Park
city	267,271	bn:03335997n	http://babelnet.org/rdf/s03335997n	http://dbpedia.org/resource/City
block	306,311	bn:00011308n	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
Atlantic Street	315,330	bn:03386159n	http://babelnet.org/rdf/s03386159n	http://dbpedia.org/resource/Atlantic_Street_(NLR_station)
facing	336,342	bn:00085596v	http://babelnet.org/rdf/s00085596v	null
weapons	343,350	bn:00005704n	http://babelnet.org/rdf/s00005704n	http://dbpedia.org/resource/Weapon
charges	351,358	bn:00017789n	http://babelnet.org/rdf/s00017789n	null
police	365,371	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
found	372,377	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
handful	380,387	bn:00034888n	http://babelnet.org/rdf/s00034888n	null
guns	391,395	bn:00042221n	http://babelnet.org/rdf/s00042221n	http://dbpedia.org/resource/Gun
vehicle	403,410	bn:00079675n	http://babelnet.org/rdf/s00079675n	http://dbpedia.org/resource/Vehicle
investigating	417,430	bn:00089885v	http://babelnet.org/rdf/s00089885v	null
shooting	435,443	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
convicted felon	451,466	bn:00034010n	http://babelnet.org/rdf/s00034010n	http://dbpedia.org/resource/Felony
old	483,486	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
prohibited	490,500	bn:00086877v	http://babelnet.org/rdf/s00086877v	null
possessing	506,516	bn:00089241v	http://babelnet.org/rdf/s00089241v	null
firearms	521,529	bn:00034676n	http://babelnet.org/rdf/s00034676n	http://dbpedia.org/resource/Firearm
currently	540,549	bn:00114905r	http://babelnet.org/rdf/s00114905r	null
Northampton County Prison	553,578	bn:00129966n	http://babelnet.org/rdf/s00129966n	http://dbpedia.org/resource/Northampton_County_Prison
parole	584,590	bn:00060723n	http://babelnet.org/rdf/s00060723n	http://dbpedia.org/resource/Parole
violation	591,600	bn:00046721n	http://babelnet.org/rdf/s00046721n	http://dbpedia.org/resource/Summary_offence
awaiting	601,609	bn:00082963v	http://babelnet.org/rdf/s00082963v	null
