teens	16,21	bn:00076359n	http://babelnet.org/rdf/s00076359n	null
dead	22,26	bn:00100948a	http://babelnet.org/rdf/s00100948a	null
accidental	33,43	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	44,52	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
south Houston	56,69	bn:00562233n	http://babelnet.org/rdf/s00562233n	http://dbpedia.org/resource/South_Houston,_Texas
Photo	72,77	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
A.	90,92	bn:00000146n	http://babelnet.org/rdf/s00000146n	http://dbpedia.org/resource/A
Image	101,106	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
Caption	117,124	bn:00015762n	http://babelnet.org/rdf/s00015762n	null
Close	125,130	bn:00019918n	http://babelnet.org/rdf/s00019918n	null
Image	132,137	bn:00045970n	http://babelnet.org/rdf/s00045970n	http://dbpedia.org/resource/Mental_image
Houston	146,153	bn:00045059n	http://babelnet.org/rdf/s00045059n	http://dbpedia.org/resource/Houston
Police	154,160	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
investigate	161,172	bn:00089885v	http://babelnet.org/rdf/s00089885v	null
scene	177,182	bn:00069550n	http://babelnet.org/rdf/s00069550n	null
men	193,196	bn:00044576n	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
died	197,201	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
gunshot wounds	207,221	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
accidental	228,238	bn:00096263a	http://babelnet.org/rdf/s00096263a	null
shooting	239,247	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Missionary	255,265	bn:00055327n	http://babelnet.org/rdf/s00055327n	null
Village	266,273	bn:00070724n	http://babelnet.org/rdf/s00070724n	http://dbpedia.org/resource/Human_settlement
Apartment complex	274,291	bn:00004836n	http://babelnet.org/rdf/s00004836n	http://dbpedia.org/resource/Apartment
Wednesday	292,301	bn:00054897n	http://babelnet.org/rdf/s00054897n	http://dbpedia.org/resource/Wednesday
