Authorities	12,23	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
identify	24,32	bn:00089574v	http://babelnet.org/rdf/s00089574v	null
slain	33,38	bn:00084236v	http://babelnet.org/rdf/s00084236v	null
Southwood	39,48	bn:00266162n	http://babelnet.org/rdf/s00266162n	http://dbpedia.org/resource/Southwood,_Edmonton
High	49,53	bn:00044028n	http://babelnet.org/rdf/s00044028n	http://dbpedia.org/resource/High_school
student	54,61	bn:00029806n	http://babelnet.org/rdf/s00029806n	http://dbpedia.org/resource/Student
KSLA News 12	64,76	bn:01450961n	http://babelnet.org/rdf/s01450961n	http://dbpedia.org/resource/KSLA
Shreveport , Louisiana	77,99	bn:00720468n	http://babelnet.org/rdf/s00720468n	http://dbpedia.org/resource/Shreveport,_Louisiana
News	100,104	bn:00057546n	http://babelnet.org/rdf/s00057546n	http://dbpedia.org/resource/News
Weather	105,112	bn:00006808n	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Sports	115,121	bn:00006759n	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
Police	124,130	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
found	131,136	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
old	147,150	bn:00107786a	http://babelnet.org/rdf/s00107786a	null
Newsom	159,165	bn:03599531n	http://babelnet.org/rdf/s03599531n	http://dbpedia.org/resource/Newsom
dead	166,170	bn:00025501n	http://babelnet.org/rdf/s00025501n	null
gunshot wounds	182,196	bn:00191195n	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
seat	209,213	bn:00062706n	http://babelnet.org/rdf/s00062706n	null
stolen car	219,229	bn:02808096n	http://babelnet.org/rdf/s02808096n	http://dbpedia.org/resource/Sacred_Love
Union	233,238	bn:00013379n	http://babelnet.org/rdf/s00013379n	http://dbpedia.org/resource/Trade_union
Avenue	239,245	bn:16213407n	http://babelnet.org/rdf/s16213407n	null
Earl	249,253	bn:00219241n	http://babelnet.org/rdf/s00219241n	http://dbpedia.org/resource/Earl_(automobile)
Street	254,260	bn:00074595n	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
Shreveport	264,274	bn:00720468n	http://babelnet.org/rdf/s00720468n	http://dbpedia.org/resource/Shreveport,_Louisiana
a.m.	286,290	bn:00114043r	http://babelnet.org/rdf/s00114043r	null
Jan.	291,295	bn:00047960n	http://babelnet.org/rdf/s00047960n	http://dbpedia.org/resource/January
Source	303,309	bn:00009635n	http://babelnet.org/rdf/s00009635n	null
Jeff	312,316	bn:02919359n	http://babelnet.org/rdf/s02919359n	http://dbpedia.org/resource/Jeff_(film)
News	330,334	bn:00057546n	http://babelnet.org/rdf/s00057546n	http://dbpedia.org/resource/News
Authorities	341,352	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
late	353,357	bn:00114519r	http://babelnet.org/rdf/s00114519r	null
Monday	358,364	bn:00055609n	http://babelnet.org/rdf/s00055609n	http://dbpedia.org/resource/Monday
night	365,370	bn:00025236n	http://babelnet.org/rdf/s00025236n	http://dbpedia.org/resource/Night
released	371,379	bn:00084099v	http://babelnet.org/rdf/s00084099v	null
Southwood High School	394,415	bn:01836277n	http://babelnet.org/rdf/s01836277n	http://dbpedia.org/resource/Caddo_Parish,_Louisiana
High School student	404,423	bn:00044028n	http://babelnet.org/rdf/s00044028n	http://dbpedia.org/resource/High_school
people	442,448	bn:00061450n	http://babelnet.org/rdf/s00061450n	http://dbpedia.org/resource/People
slain	449,454	bn:00084236v	http://babelnet.org/rdf/s00084236v	null
rash	464,468	bn:00029895n	http://babelnet.org/rdf/s00029895n	http://dbpedia.org/resource/Rash
shootings	472,481	bn:00071206n	http://babelnet.org/rdf/s00071206n	null
Sunday	482,488	bn:00028190n	http://babelnet.org/rdf/s00028190n	http://dbpedia.org/resource/Lord's_Day
Shreveport	492,502	bn:00720468n	http://babelnet.org/rdf/s00720468n	http://dbpedia.org/resource/Shreveport,_Louisiana
Antonio	506,513	bn:11316827n	http://babelnet.org/rdf/s11316827n	null
Newsom	514,520	bn:03599531n	http://babelnet.org/rdf/s03599531n	http://dbpedia.org/resource/Newsom
found	532,537	bn:00084231v	http://babelnet.org/rdf/s00084231v	null
fatally	538,545	bn:00115341r	http://babelnet.org/rdf/s00115341r	null
shot	546,550	bn:00091652v	http://babelnet.org/rdf/s00091652v	null
a.m.	562,566	bn:00114043r	http://babelnet.org/rdf/s00114043r	null
Sunday	567,573	bn:00028190n	http://babelnet.org/rdf/s00028190n	http://dbpedia.org/resource/Lord's_Day
seat	586,590	bn:00062706n	http://babelnet.org/rdf/s00062706n	null
stolen car	596,606	bn:02808096n	http://babelnet.org/rdf/s02808096n	http://dbpedia.org/resource/Sacred_Love
Union	610,615	bn:00013379n	http://babelnet.org/rdf/s00013379n	http://dbpedia.org/resource/Trade_union
Avenue	616,622	bn:16213407n	http://babelnet.org/rdf/s16213407n	null
Earl	626,630	bn:00219241n	http://babelnet.org/rdf/s00219241n	http://dbpedia.org/resource/Earl_(automobile)
Street	631,637	bn:00074595n	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
Family members	641,655	bn:00032893n	http://babelnet.org/rdf/s00032893n	http://dbpedia.org/resource/Family
identified	656,666	bn:00089574v	http://babelnet.org/rdf/s00089574v	null
facial	679,685	bn:00102691a	http://babelnet.org/rdf/s00102691a	null
photos	686,692	bn:00032381n	http://babelnet.org/rdf/s00032381n	http://dbpedia.org/resource/Photograph
tattoos	697,704	bn:00076203n	http://babelnet.org/rdf/s00076203n	http://dbpedia.org/resource/Tattoo_(bugle_call)
Caddo	711,716	bn:00014517n	http://babelnet.org/rdf/s00014517n	http://dbpedia.org/resource/Caddo
coroner	717,724	bn:00022801n	http://babelnet.org/rdf/s00022801n	http://dbpedia.org/resource/Coroner
office	728,734	bn:00001961n	http://babelnet.org/rdf/s00001961n	http://dbpedia.org/resource/Government_agency
reports	735,742	bn:00067181n	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report
Police	746,752	bn:00022026n	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
said	758,762	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
Newsom	763,769	bn:03599531n	http://babelnet.org/rdf/s03599531n	http://dbpedia.org/resource/Newsom
died	770,774	bn:00084343v	http://babelnet.org/rdf/s00084343v	null
multiple	778,786	bn:00107028a	http://babelnet.org/rdf/s00107028a	null
