     2017-03-30	        CD	      S-NP	         O	              -	(S1(NP*))

              1	        CD	      B-NP	         O	              -	      B-A1	(S1(X(NP(NP*
         person	        NN	      E-NP	         O	              -	      E-A1	*)
        injured	       VBN	      S-VP	         O	        injured	       S-V	(VP*)
              ,	         ,	         O	         O	              -	         O	*
        16-year	        JJ	    B-ADJP	         O	              -	         O	(ADJP*
              -	         :	    I-ADJP	         O	              -	         O	*
            old	        JJ	    I-ADJP	         O	              -	         O	*)
           dead	        JJ	    E-ADJP	         O	              -	         O	*)
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
          early	        JJ	      B-NP	         O	              -	  I-AM-TMP	(NP*
        morning	        NN	      I-NP	         O	              -	  I-AM-TMP	*
       shooting	        NN	      I-NP	         O	              -	  I-AM-TMP	*))
              -	         :	      I-NP	         O	              -	  I-AM-TMP	*
     WRCBtv.com	        JJ	      I-NP	     S-PER	              -	  I-AM-TMP	(NP(NP*
              |	        NN	      I-NP	         O	              -	  I-AM-TMP	*
    Chattanooga	       NNP	      I-NP	     B-ORG	              -	  I-AM-TMP	*
           News	       NNP	      I-NP	     E-ORG	              -	  I-AM-TMP	*)
              ,	         ,	      I-NP	         O	              -	  I-AM-TMP	*
        Weather	       NNP	      I-NP	     B-ORG	              -	  I-AM-TMP	(NP*
              &	        CC	      I-NP	     I-ORG	              -	  I-AM-TMP	*
         Sports	      NNPS	      E-NP	     E-ORG	              -	  E-AM-TMP	*))))

            The	        DT	      B-NP	         O	              -	      B-A0	(S1(S(NP*
    Chattanooga	       NNP	      I-NP	     B-ORG	              -	      I-A0	*
         Police	       NNP	      I-NP	     I-ORG	              -	      I-A0	*
     Department	       NNP	      E-NP	     E-ORG	              -	      E-A0	*)
      responded	       VBD	      S-VP	         O	      responded	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	      B-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	(NP(NP*
         person	        NN	      E-NP	         O	              -	      I-A1	*)
           shot	        NN	      S-VP	         O	              -	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	(NP(NP*
           3500	        CD	      I-NP	         O	              -	      I-A1	*
          block	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
           Clio	       NNP	      B-NP	     B-ORG	              -	      I-A1	(NP*
         Avenue	       NNP	      I-NP	     E-ORG	              -	      I-A1	*))
          early	        JJ	      I-NP	         O	              -	      I-A1	(NP*
       Thursday	       NNP	      I-NP	         O	              -	      I-A1	*
        morning	        NN	      E-NP	         O	              -	      E-A1	*)))))))
              .	         .	         O	         O	              -	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
           call	        NN	      E-NP	         O	              -	      E-A1	*)
           came	       VBD	      S-VP	         O	           came	       B-V	(VP*
             in	        IN	      S-PP	         O	              -	       E-V	(ADVP*)
           just	        RB	      B-NP	         O	              -	  B-AM-TMP	(PP(ADVP*)
         before	        IN	      I-NP	         O	              -	  I-AM-TMP	*
              1	        CD	      I-NP	         O	              -	  I-AM-TMP	(NP*
           a.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	*)))))

            Two	        CD	      B-NP	         O	              -	      B-A1	(S1(S(NP*
        victims	       NNS	      E-NP	         O	              -	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	(VP*
          found	       VBN	      E-VP	         O	          found	       S-V	(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
          scene	        NN	      E-NP	         O	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

              A	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
        16-year	        JJ	      I-NP	         O	              -	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	*
         female	        JJ	      I-NP	         O	              -	      I-A1	*
         victim	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
          found	       VBN	      E-VP	         O	          found	       S-V	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      B-A3	(S(ADJP*))
