     2017-01-10	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	       NNP	      B-NP	         O	              -	(S1(X(NP(NP*
           Dies	       NNP	      E-NP	         O	              -	*)
             Of	        IN	      S-PP	         O	              -	(PP*
           Self	       NNP	      B-NP	         O	              -	(NP*)))
              -	         :	      I-NP	         O	              -	*
      Inflicted	       VBN	      I-NP	         O	              -	(S(VP*
        Gunshot	       NNP	      I-NP	         O	              -	(NP*
          Wound	       NNP	      E-NP	         O	              -	*)))))

             In	        IN	      S-PP	         O	              -	(S1(PP(ADVP*)
       Valencia	       NNP	      S-NP	     S-LOC	              -	(NP*)))

         Mental	        JJ	      B-NP	         O	              -	      B-A0	      B-A0	      B-A1	         O	(S1(S(NP*
         health	        NN	      I-NP	         O	              -	      I-A0	      I-A0	      I-A1	         O	*
      officials	       NNS	      E-NP	         O	              -	      E-A0	      E-A0	      I-A1	         O	*)
            are	       VBP	      B-VP	         O	              -	         O	         O	      I-A1	         O	(VP*
        working	       VBG	      I-VP	         O	        working	       S-V	         O	      I-A1	         O	(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	      I-A1	         O	(S(VP*
          raise	        VB	      E-VP	         O	          raise	      I-A1	       S-V	      I-A1	         O	(VP*
      awareness	        NN	      S-NP	         O	              -	      I-A1	      B-A1	      I-A1	         O	(NP(NP*)
          about	        IN	      S-PP	         O	              -	      I-A1	      I-A1	      I-A1	         O	(PP*
      community	        NN	      B-NP	         O	              -	      I-A1	      I-A1	      I-A1	         O	(NP*
      resources	       NNS	      E-NP	         O	              -	      E-A1	      E-A1	      I-A1	         O	*)))
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	  B-AM-TMP	      I-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      B-A0	(NP*
        14-year	        JJ	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      I-A0	(ADJP*
              -	         :	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      I-A0	*
            old	        JJ	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A1	      I-A0	*)
            boy	        NN	      E-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      E-A1	      E-A0	*)))))))
            was	       VBD	      B-VP	         O	              -	  I-AM-TMP	  I-AM-TMP	         O	         O	(VP*
          found	       VBN	      E-VP	         O	          found	  I-AM-TMP	  I-AM-TMP	       S-V	         O	(VP*
           dead	        JJ	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	  B-AM-TMP	         O	(NP(NP(NP*
         Sunday	       NNP	      E-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	  E-AM-TMP	         O	*)
           from	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-TMP	      B-A3	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	         O	(NP*
           self	        NN	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	         O	*
              -	         :	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	         O	*)))
      inflicted	       VBN	      I-NP	         O	      inflicted	  I-AM-TMP	  I-AM-TMP	      I-A3	       S-V	(VP*
        gunshot	        NN	      I-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	      I-A3	      B-A1	(NP*
          wound	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-TMP	      E-A3	      E-A1	*)))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	*))

            The	        DT	      B-NP	         O	              -	         O	(S1(S(NP*
          death	        NN	      E-NP	         O	              -	         O	*)
             is	       VBZ	      S-VP	         O	              -	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A0	(NP(NP*
         second	        JJ	      E-NP	         O	              -	      E-A0	*)
      suspected	       VBN	      S-VP	         O	      suspected	       S-V	(VP*
           from	        IN	      S-PP	         O	              -	      B-A2	(PP*
           such	        JJ	      B-NP	         O	              -	      I-A2	(NP(NP*
          means	       NNS	      E-NP	         O	              -	      E-A2	*)
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
           2017	        CD	      S-NP	         O	              -	  E-AM-TMP	(NP*)))))))
              .	         .	         O	         O	              -	         O	*))

            The	        DT	      B-NP	         O	              -	         O	      B-A1	(S1(S(S(NP(NP*
           name	        NN	      E-NP	         O	              -	         O	      I-A1	*)
             of	        IN	      S-PP	         O	              -	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      B-A1	      I-A1	(NP(NP*
         victim	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*)
              ,	         ,	         O	         O	              -	         O	      I-A1	*
            who	        WP	      S-NP	         O	              -	    S-R-A1	      I-A1	(SBAR(WHNP*)
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	(S(VP*
          found	       VBN	      E-VP	         O	          found	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
           home	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             on	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
          24000	        CD	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
       Brighton	       NNP	      B-NP	     B-ORG	              -	  I-AM-LOC	      I-A1	(NP*
          Drive	       NNP	      E-NP	     E-ORG	              -	  I-AM-LOC	      I-A1	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
       Valencia	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	      I-A1	(NP*)))))))))))))
              ,	         ,	         O	         O	              -	         O	      E-A1	*
            has	       VBZ	      B-VP	         O	              -	         O	         O	(VP*
            not	        RB	      I-VP	         O	              -	         O	  S-AM-NEG	*
           been	       VBN	      I-VP	         O	              -	         O	         O	(VP*
       released	       VBN	      E-VP	         O	       released	         O	       S-V	(VP*
        pending	       VBG	      S-PP	         O	              -	         O	  B-AM-TMP	(PP*
             an	        DT	      B-NP	         O	              -	         O	  I-AM-TMP	(NP*
        autopsy	        NN	      E-NP	         O	              -	         O	  E-AM-TMP	*))))))
              ,	         ,	         O	         O	              -	         O	         O	*
      according	       VBG	      S-PP	         O	              -	         O	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	         O	(PP*
        medical	        JJ	      B-NP	         O	              -	         O	         O	(NP*
      examiners	       NNS	      E-NP	         O	              -	         O	         O	*)))
              .	         .	         O	         O	              -	         O	         O	*))

            The	        DT	      B-NP	         O	              -	      B-A0	         O	(S1(S(NP*
        suicide	        NN	      E-NP	         O	              -	      E-A0	         O	*)
     represents	       VBZ	      S-VP	         O	     represents	       S-V	         O	(VP(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
          first	        JJ	      E-NP	         O	              -	      I-A1	         O	*)
             in	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	         O	(NP*
             16	        CD	      E-NP	         O	              -	      I-A1	         O	*))))
            and	        CC	         O	         O	              -	      I-A1	         O	*
          under	        IN	      S-PP	         O	              -	      I-A1	         O	(VP(PP*
            age	        NN	      B-NP	         O	              -	      I-A1	         O	(NP*
          group	        NN	      E-NP	         O	              -	      I-A1	         O	*))
             in	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
           more	       JJR	      S-NP	         O	              -	      I-A1	         O	(NP(QP*
           than	        IN	      S-PP	         O	              -	      I-A1	         O	*
              a	        DT	      B-NP	         O	              -	      I-A1	         O	*)
           year	        NN	      E-NP	         O	              -	      E-A1	         O	*))
              ,	         ,	         O	         O	              -	         O	         O	*
             as	        IN	    S-SBAR	         O	              -	  B-AM-ADV	         O	(SBAR*
           none	        NN	      S-NP	         O	              -	  I-AM-ADV	      S-A1	(S(NP*)
            was	       VBD	      B-VP	         O	              -	  I-AM-ADV	         O	(VP*
       reported	       VBN	      E-VP	         O	       reported	  I-AM-ADV	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  I-AM-ADV	  B-AM-LOC	(PP*
           that	        DT	      B-NP	         O	              -	  I-AM-ADV	  I-AM-LOC	(NP*
          group	        NN	      E-NP	         O	              -	  I-AM-ADV	  I-AM-LOC	*))
          under	        IN	      S-PP	         O	              -	  I-AM-ADV	  I-AM-LOC	(PP*
