     2017-02-03	        CD	      S-NP	         O	              -	(S1(NP*))

         Arrest	        NN	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
           made	       VBD	      S-VP	         O	           made	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-MNR	(PP*
     connection	        NN	      S-NP	         O	              -	  I-AM-MNR	(NP(NP*)
           with	        IN	      S-PP	         O	              -	  I-AM-MNR	(PP*
         deadly	        JJ	      B-NP	         O	              -	  I-AM-MNR	(NP(NP*
     Shreveport	       NNP	      I-NP	     S-LOC	              -	  I-AM-MNR	*
       shooting	        NN	      I-NP	         O	              -	  I-AM-MNR	*)
              -	         :	      I-NP	         O	              -	  I-AM-MNR	*
       KTBS.com	       NNP	      I-NP	     S-LOC	              -	  I-AM-MNR	(NP*)
              -	         :	      I-NP	         O	              -	  I-AM-MNR	*
     Shreveport	       NNP	      E-NP	     S-LOC	              -	  I-AM-MNR	(NP*)
              ,	         ,	         O	         O	              -	  I-AM-MNR	*
             LA	       NNP	      B-NP	     B-ORG	              -	  I-AM-MNR	(NP*
           News	       NNP	      E-NP	     E-ORG	              -	  I-AM-MNR	*)
              ,	         ,	         O	         O	              -	  I-AM-MNR	*
        Weather	       NNP	      B-NP	     B-ORG	              -	  I-AM-MNR	(NP*)
            and	        CC	      I-NP	     I-ORG	              -	  I-AM-MNR	*
         Sports	      NNPS	      E-NP	     E-ORG	              -	  E-AM-MNR	(NP*))))))))

            The	        DT	      B-NP	         O	              -	      B-A1	      B-A1	(S1(S(NP*
            man	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*)
         killed	       VBN	      S-VP	         O	         killed	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
       shooting	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
        parking	        NN	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
            lot	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
         County	       NNP	      B-NP	     B-ORG	              -	  I-AM-LOC	      I-A1	(NP*
         Market	       NNP	      E-NP	     E-ORG	              -	  E-AM-LOC	      I-A1	*))))
          about	        IN	      S-PP	         O	              -	         O	      I-A1	(PP*
         2:30am	        NN	      B-NP	         O	              -	         O	      I-A1	(NP*))
         Sunday	       NNP	      E-NP	         O	              -	         O	      E-A1	(SBAR(S(NP*)
            has	       VBZ	      B-VP	         O	              -	         O	         O	(VP*
           been	       VBN	      I-VP	         O	              -	         O	         O	(VP*
     identified	       VBN	      E-VP	         O	     identified	         O	       S-V	(VP*))))))
              .	         .	         O	         O	              -	         O	         O	*))

             He	       PRP	      S-NP	         O	              -	(S1(S(NP*)
