     2017-03-01	        CD	      S-NP	         O	              -	(S1(NP*))

         Facial	        JJ	      B-NP	         O	              -	      B-A1	         O	(S1(S(NP*
 reconstruction	        NN	      I-NP	         O	              -	      I-A1	         O	*
          image	        NN	      E-NP	         O	              -	      I-A1	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	*
          woman	        NN	      S-NP	         O	              -	      E-A1	         O	(NP*)
         killed	       VBN	      S-VP	         O	         killed	       S-V	         O	*
             by	        IN	      S-PP	         O	              -	      B-A0	         O	*
       gunshots	       NNS	      S-NP	         O	              -	      E-A0	      S-A1	(NP*)
       released	       VBN	      S-VP	         O	       released	         O	         O	*))

         Facial	        JJ	      B-NP	         O	              -	      B-A1	         O	(S1(S(NP*
 reconstruction	        NN	      I-NP	         O	              -	      I-A1	         O	*
          image	        NN	      E-NP	         O	              -	      I-A1	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	*
          woman	        NN	      S-NP	         O	              -	      E-A1	         O	(NP*)
         killed	       VBN	      S-VP	         O	         killed	       S-V	         O	*
             by	        IN	      S-PP	         O	              -	      B-A0	         O	*
       gunshots	       NNS	      S-NP	         O	              -	      E-A0	      S-A1	(NP*)
       released	       VBN	      S-VP	         O	       released	         O	         O	*))

          Image	        NN	      B-NP	         O	              -	         O	         O	(S1(S(NP(NP*
              1	        CD	      E-NP	         O	              -	         O	         O	(QP*
             of	        IN	      S-PP	         O	              -	         O	         O	*
              /	         #	      B-NP	         O	              -	         O	         O	*
              6	        CD	      I-NP	         O	              -	         O	         O	*)
        Caption	       NNP	      I-NP	         O	              -	         O	         O	*
          Close	       NNP	      I-NP	         O	              -	         O	         O	*
          Image	       NNP	      I-NP	         O	              -	         O	         O	*
              1	        CD	      E-NP	         O	              -	         O	         O	(QP*
             of	        IN	      S-PP	         O	              -	         O	         O	*
              6	        CD	      S-NP	         O	              -	         O	         O	*))
            The	        DT	      B-NP	         O	              -	         O	         O	(NP*
         recent	        JJ	      I-NP	         O	              -	         O	         O	*
        release	        NN	      E-NP	         O	              -	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	         O	         O	(NP(NP*
         facial	        JJ	      I-NP	         O	              -	         O	         O	*
 reconstruction	        NN	      E-NP	         O	              -	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
          woman	        NN	      E-NP	         O	              -	      E-A1	         O	*)
          whose	       WP$	      B-NP	         O	              -	    B-R-A1	         O	(SBAR(WHNP*
           body	        NN	      E-NP	         O	              -	    E-R-A1	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(S(VP*
          found	       VBN	      E-VP	         O	          found	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
           west	        JJ	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
        Houston	       NNP	      E-NP	     S-LOC	              -	  E-AM-LOC	         O	*))
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
            mid	        RB	    S-ADVP	         O	              -	  E-AM-TMP	         O	(NP*))))))
              -	         :	         O	         O	              -	         O	         O	(PP*
       February	       NNP	      S-NP	         O	              -	         O	      S-A0	(NP*)))))))
            has	       VBZ	      B-VP	         O	              -	         O	         O	(VP*
       prompted	       VBN	      E-VP	         O	       prompted	         O	       S-V	(VP*
          about	        IN	      B-NP	         O	              -	         O	      B-A1	(NP(NP(QP*
              a	        DT	      I-NP	         O	              -	         O	      I-A1	*
          dozen	        NN	      I-NP	         O	              -	         O	      I-A1	*)
          calls	       VBZ	      E-NP	         O	              -	         O	      I-A1	*)
             to	        TO	      S-PP	         O	              -	         O	      I-A1	(PP*
    authorities	       NNS	      S-NP	         O	              -	         O	      E-A1	(NP*)))))
              .	         .	         O	         O	              -	         O	         O	*))

            The	        DT	      B-NP	         O	              -	         O	         O	(S1(S(NP(NP*
         recent	        JJ	      I-NP	         O	              -	         O	         O	*
        release	        NN	      E-NP	         O	              -	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	         O	         O	(NP(NP*
         facial	        JJ	      I-NP	         O	              -	         O	         O	*
 reconstruction	        NN	      E-NP	         O	              -	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	(PP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
          woman	        NN	      E-NP	         O	              -	      E-A1	         O	*)
          whose	       WP$	      B-NP	         O	              -	    B-R-A1	         O	(SBAR(WHNP*
           body	        NN	      E-NP	         O	              -	    E-R-A1	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(S(VP*
          found	       VBN	      E-VP	         O	          found	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
           west	        JJ	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
        Houston	       NNP	      E-NP	     S-LOC	              -	  E-AM-LOC	         O	*))
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
            mid	        RB	    S-ADVP	         O	              -	  E-AM-TMP	         O	(NP*))))))
              -	         :	         O	         O	              -	         O	         O	(PP*
       February	       NNP	      S-NP	         O	              -	         O	      S-A0	(NP*)))))))
            has	       VBZ	      B-VP	         O	              -	         O	         O	(VP*
       prompted	       VBN	      E-VP	         O	       prompted	         O	       S-V	(VP*
          about	        IN	      B-NP	         O	              -	         O	      B-A1	(NP(NP(QP*
              a	        DT	      I-NP	         O	              -	         O	      I-A1	*
          dozen	        NN	      I-NP	         O	              -	         O	      I-A1	*)
          calls	       VBZ	      E-NP	         O	              -	         O	      I-A1	*)
             to	        TO	      S-PP	         O	              -	         O	      I-A1	(PP*
    authorities	       NNS	      S-NP	         O	              -	         O	      E-A1	(NP*)))))
              .	         .	         O	         O	              -	         O	         O	*))

          Image	        NN	      B-NP	         O	              -	      B-A0	         O	(S1(S(S(NP(NP*
              2	        CD	      E-NP	         O	              -	      I-A0	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
              6	        CD	      B-NP	         O	              -	      I-A0	         O	(NP*
        Houston	       NNP	      I-NP	     S-ORG	              -	      I-A0	         O	*
       homicide	        NN	      I-NP	         O	              -	      I-A0	         O	*
  investigators	       NNS	      E-NP	         O	              -	      E-A0	         O	*)))
         search	       VBP	      S-VP	         O	         search	       S-V	         O	(VP*
