     2017-03-14	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	       NNP	      S-NP	         O	              -	      S-A0	(S1(S(NP*)
         wanted	       VBD	      S-VP	         O	         wanted	       S-V	(VP(VP*
            for	        IN	      S-PP	         O	              -	      B-A1	(PP*
         deadly	        JJ	      B-NP	         O	              -	      I-A1	(NP*
         Monday	       NNP	      I-NP	         O	              -	      I-A1	*
          night	        NN	      I-NP	         O	              -	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      I-A1	*)))
              -	         :	         O	         O	              -	      I-A1	*
      wistv.com	        NN	      S-NP	         O	              -	      I-A1	(NP(NP*)
              -	         :	         O	         O	              -	      I-A1	*
       Columbia	       NNP	      S-NP	     S-LOC	              -	      I-A1	(NP(NP*)
              ,	         ,	         O	         O	              -	      I-A1	*
          South	       NNP	      B-NP	     B-LOC	              -	      I-A1	(NP*
       Carolina	       NNP	      E-NP	     E-LOC	              -	      E-A1	*))))))

            The	        DT	      B-NP	         O	              -	      B-A0	         O	(S1(S(NP*
       Richland	       NNP	      I-NP	     B-ORG	              -	      I-A0	         O	*
         County	       NNP	      I-NP	     I-ORG	              -	      I-A0	         O	*
        Sheriff	       NNP	      I-NP	     I-ORG	              -	      I-A0	         O	*
           ’s	        NN	      I-NP	     I-ORG	              -	      I-A0	         O	*
     Department	       NNP	      E-NP	     E-ORG	              -	      E-A0	         O	*)
             is	       VBZ	      B-VP	         O	              -	         O	         O	(VP*
            now	        RB	      I-VP	         O	              -	  S-AM-TMP	         O	(ADVP*)
        looking	       VBG	      E-VP	         O	        looking	       S-V	         O	(VP*
           into	        IN	      S-PP	         O	              -	      B-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	      B-A1	(NP(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A1	      E-A1	*)
           that	       WDT	      S-NP	         O	              -	      I-A1	    S-R-A1	(SBAR(WHNP*)
           took	       VBD	      S-VP	         O	           took	      I-A1	       S-V	(S(VP*
          place	        NN	      S-NP	         O	              -	      I-A1	      S-A2	(NP*)
             on	        IN	      S-PP	         O	              -	      I-A1	  B-AM-TMP	(PP*
         Monday	       NNP	      B-NP	         O	              -	      I-A1	  I-AM-TMP	(NP*
      afternoon	        NN	      E-NP	         O	              -	      I-A1	  E-AM-TMP	*))
