     2017-03-12	        CD	      S-NP	         O	              -	(S1(NP*))

        17-year	       SYM	      S-NP	         O	              -	(S1(NP(NP(ADJP*
              -	         :	         O	         O	              -	*
            old	        JJ	      B-NP	         O	              -	*)
            boy	        NN	      E-NP	         O	              -	*)
           shot	        NN	      S-VP	         O	              -	(VP*
             in	        IN	      S-PP	         O	              -	(PP*
           West	       NNP	      B-NP	     B-LOC	              -	(NP*
       Humboldt	       NNP	      I-NP	     I-LOC	              -	*
           Park	       NNP	      E-NP	     E-LOC	              -	*)))))

              A	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
        17-year	        JJ	      I-NP	         O	              -	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	*)
            boy	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	(VP*
       Saturday	       NNP	      B-NP	         O	              -	  B-AM-TMP	(NP*
        evening	        NN	      E-NP	         O	              -	  E-AM-TMP	*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	*
       Humboldt	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	*
           Park	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	*
   neighborhood	        NN	      E-NP	         O	              -	  I-AM-LOC	*))
             on	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	*
           Side	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

          About	        IN	      B-NP	         O	              -	  B-AM-TMP	         O	         O	(S1(S(S(NP(QP*
              6	        CD	      I-NP	         O	              -	  I-AM-TMP	         O	         O	*)
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	         O	*
             he	       PRP	      S-NP	         O	              -	      S-A0	         O	         O	(NP*)
            was	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
        walking	       VBG	      E-VP	         O	        walking	       S-V	         O	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	         O	(NP(NP*
            900	        CD	      I-NP	         O	              -	  I-AM-LOC	         O	         O	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	         O	         O	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	         O	(PP*
          North	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	         O	         O	(NP*
         Karlov	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	         O	         O	*))))
           when	       WRB	    S-ADVP	         O	              -	  B-AM-TMP	         O	         O	(SBAR(WHADVP*)
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      B-A1	         O	(S(S(NP*
        vehicle	        NN	      E-NP	         O	              -	  I-AM-TMP	      E-A1	         O	*)
     approached	       VBD	      S-VP	         O	     approached	  I-AM-TMP	       S-V	         O	(VP*
            him	       PRP	      S-NP	         O	              -	  I-AM-TMP	      S-A2	         O	(NP*)))
            and	        CC	         O	         O	              -	  I-AM-TMP	         O	         O	*
        someone	        NN	      S-NP	         O	              -	  I-AM-TMP	         O	      S-A0	(S(NP*)
          fired	       VBD	      S-VP	         O	          fired	  I-AM-TMP	         O	       S-V	(VP*
          shots	       NNS	      S-NP	         O	              -	  I-AM-TMP	         O	      S-A1	(NP*)
           from	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	      B-A2	(PP*
