     2017-01-05	        CD	      S-NP	         O	              -	(S1(NP*))

         Police	       NNP	      S-NP	         O	              -	         O	(S1(S(NP*)
              :	         :	         O	         O	              -	         O	*
     Clearwater	       NNP	      B-NP	     S-LOC	              -	      B-A0	(S(NP*
            boy	        NN	      E-NP	         O	              -	      E-A0	*)
         killed	       VBD	      S-VP	         O	         killed	       S-V	(VP*
        himself	       PRP	      S-NP	         O	              -	      S-A1	(NP*)
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
       argument	        NN	      S-NP	         O	              -	  I-AM-TMP	(NP(NP*)
           with	        IN	      S-PP	         O	              -	  I-AM-TMP	(PP*
         mother	        NN	      S-NP	         O	              -	  E-AM-TMP	(NP*))))))))

         Police	       NNP	      S-NP	         O	              -	         O	         O	      B-A0	         O	         O	(S1(S(S(NP*)
              :	         :	         O	         O	              -	         O	         O	      I-A0	         O	         O	*
     Clearwater	       NNP	      B-NP	     S-LOC	              -	      B-A0	         O	      I-A0	         O	         O	(S(NP*
            boy	        NN	      E-NP	         O	              -	      E-A0	         O	      I-A0	         O	         O	*)
         killed	       VBD	      S-VP	         O	         killed	       S-V	         O	      I-A0	         O	         O	(VP*
        himself	       PRP	      S-NP	         O	              -	      S-A1	         O	      I-A0	         O	         O	(NP*)
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	      I-A0	         O	         O	(PP*
       argument	        NN	      S-NP	         O	              -	  I-AM-TMP	         O	      I-A0	         O	         O	(NP(NP*)
           with	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	      I-A0	         O	         O	(PP*
         mother	        NN	      B-NP	         O	              -	  I-AM-TMP	         O	      I-A0	         O	         O	(NP*
          Local	       NNP	      I-NP	    B-MISC	              -	  I-AM-TMP	         O	      I-A0	         O	         O	*
           News	       NNP	      I-NP	    I-MISC	              -	  I-AM-TMP	         O	      I-A0	         O	         O	*
         Police	       NNP	      E-NP	    E-MISC	              -	  E-AM-TMP	         O	      I-A0	         O	         O	*))))))
              :	         :	         O	         O	              -	         O	         O	      I-A0	         O	         O	*
     Clearwater	       NNP	      B-NP	     S-LOC	              -	         O	      B-A0	      I-A0	         O	         O	(S(NP*
            boy	        NN	      E-NP	         O	              -	         O	      E-A0	      I-A0	         O	         O	*)
         killed	       VBD	      S-VP	         O	         killed	         O	       S-V	      I-A0	         O	         O	(VP*
        himself	       PRP	      S-NP	         O	              -	         O	      S-A1	      I-A0	         O	         O	(NP*)
          after	        IN	      S-PP	         O	              -	         O	  B-AM-TMP	      I-A0	         O	         O	(PP*
       argument	        NN	      S-NP	         O	              -	         O	  I-AM-TMP	      I-A0	         O	         O	(NP(NP*)
           with	        IN	      S-PP	         O	              -	         O	  I-AM-TMP	      I-A0	         O	         O	(PP*
         mother	        NN	      B-NP	         O	              -	         O	  I-AM-TMP	      I-A0	         O	         O	(NP*
     Clearwater	       NNP	      I-NP	     S-LOC	              -	         O	  I-AM-TMP	      I-A0	         O	         O	*
         police	       NNS	      E-NP	         O	              -	         O	  E-AM-TMP	      E-A0	         O	         O	*))))))
            say	       VBP	      S-VP	         O	            say	         O	         O	       S-V	         O	         O	(VP*
              a	        DT	      B-NP	         O	              -	         O	         O	      B-A1	      B-A0	      B-A0	(SBAR(S(NP*
        10-year	        JJ	      I-NP	         O	              -	         O	         O	      I-A1	      I-A0	      I-A0	(ADJP*
              -	         :	      I-NP	         O	              -	         O	         O	      I-A1	      I-A0	      I-A0	*
            old	        JJ	      I-NP	         O	              -	         O	         O	      I-A1	      I-A0	      I-A0	*)
            boy	        NN	      E-NP	         O	              -	         O	         O	      I-A1	      E-A0	      E-A0	*)
         turned	       VBD	      S-VP	         O	         turned	         O	         O	      I-A1	       S-V	         O	(VP*
              a	        DT	      B-NP	         O	              -	         O	         O	      I-A1	      B-A1	         O	(NP*
            gun	        NN	      E-NP	         O	              -	         O	         O	      I-A1	      E-A1	         O	*)
             on	        IN	      S-PP	         O	              -	         O	         O	      I-A1	  B-AM-LOC	         O	(PP*
        himself	       PRP	      S-NP	         O	              -	         O	         O	      I-A1	  E-AM-LOC	         O	(NP*))
       Thursday	       NNP	      B-NP	         O	              -	         O	         O	      I-A1	  B-AM-TMP	         O	(NP*
        morning	        NN	      E-NP	         O	              -	         O	         O	      I-A1	  E-AM-TMP	         O	*)
          after	        IN	      S-PP	         O	              -	         O	         O	      I-A1	  B-AM-TMP	         O	(PP*
        getting	       VBG	      S-VP	         O	        getting	         O	         O	      I-A1	  I-AM-TMP	       S-V	(S(VP*
           into	        IN	      S-PP	         O	              -	         O	         O	      I-A1	  I-AM-TMP	      B-A2	(PP*
             an	        DT	      B-NP	         O	              -	         O	         O	      I-A1	  I-AM-TMP	      I-A2	(NP(NP*
       argument	        NN	      E-NP	         O	              -	         O	         O	      I-A1	  I-AM-TMP	      I-A2	*)
           with	        IN	      S-PP	         O	              -	         O	         O	      I-A1	  I-AM-TMP	      I-A2	(PP*
            his	      PRP$	      B-NP	         O	              -	         O	         O	      I-A1	  I-AM-TMP	      I-A2	(NP*
         mother	        NN	      E-NP	         O	              -	         O	         O	      E-A1	  E-AM-TMP	      E-A2	*))))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	         O	         O	*))

              -	         :	         O	         O	              -	         O	         O	         O	(S1(S*
     Clearwater	       NNP	      B-NP	     S-LOC	              -	      B-A0	         O	         O	(NP*
         police	       NNS	      E-NP	         O	              -	      E-A0	         O	         O	*)
            say	       VBP	      S-VP	         O	            say	       S-V	         O	         O	(VP*
              a	        DT	      B-NP	         O	              -	      B-A1	      B-A0	      B-A1	(SBAR(S(NP*
        10-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A0	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A0	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A0	      I-A1	*)
            boy	        NN	      E-NP	         O	              -	      I-A1	      E-A0	      E-A1	*)
         turned	       VBD	      S-VP	         O	         turned	      I-A1	       S-V	         O	(VP*
              a	        DT	      B-NP	         O	              -	      I-A1	      B-A1	         O	(NP*
            gun	        NN	      E-NP	         O	              -	      I-A1	      E-A1	         O	*)
             on	        IN	      S-PP	         O	              -	      I-A1	  B-AM-LOC	         O	(PP*
        himself	       PRP	      S-NP	         O	              -	      I-A1	  E-AM-LOC	         O	(NP*))
       Thursday	       NNP	      B-NP	         O	              -	      I-A1	  B-AM-TMP	         O	(NP*
        morning	        NN	      E-NP	         O	              -	      I-A1	  E-AM-TMP	         O	*)
          after	        IN	      S-PP	         O	              -	      I-A1	  B-AM-TMP	         O	(PP*
        getting	       VBG	      S-VP	         O	        getting	      I-A1	  I-AM-TMP	       S-V	(S(VP*
           into	        IN	      S-PP	         O	              -	      I-A1	  I-AM-TMP	      B-A2	(PP*
             an	        DT	      B-NP	         O	              -	      I-A1	  I-AM-TMP	      I-A2	(NP(NP*
       argument	        NN	      E-NP	         O	              -	      I-A1	  I-AM-TMP	      I-A2	*)
           with	        IN	      S-PP	         O	              -	      I-A1	  I-AM-TMP	      I-A2	(PP*
            his	      PRP$	      B-NP	         O	              -	      I-A1	  I-AM-TMP	      I-A2	(NP*
         mother	        NN	      E-NP	         O	              -	      E-A1	  E-AM-TMP	      E-A2	*)))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

      Emergency	        NN	      B-NP	         O	              -	      B-A0	         O	         O	(S1(S(NP*
          crews	       NNS	      E-NP	         O	              -	      E-A0	         O	         O	*)
      responded	       VBD	      S-VP	         O	      responded	       S-V	         O	         O	*
             to	        TO	      S-PP	         O	              -	      B-A1	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	         O	         O	(NP*
         Lindru	       NNP	      I-NP	     B-ORG	              -	      I-A1	         O	         O	*
         Garden	       NNP	      I-NP	     I-ORG	              -	      I-A1	         O	         O	*
     Apartments	       NNP	      E-NP	     E-ORG	              -	      E-A1	         O	         O	*))
             on	        IN	      S-PP	         O	              -	      B-A2	         O	         O	(PP*
        Lincoln	       NNP	      B-NP	     B-LOC	              -	      I-A2	         O	         O	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	      E-A2	         O	         O	*))
           just	        RB	    S-ADVP	         O	              -	  B-AM-TMP	         O	         O	(PP(ADVP*)
         before	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	         O	*
           8:30	        CD	      B-NP	         O	              -	  I-AM-TMP	  B-AM-TMP	         O	(NP*
           a.m.	        NN	      E-NP	         O	              -	  I-AM-TMP	  E-AM-TMP	         O	*))
           When	       WRB	    S-ADVP	         O	              -	  I-AM-TMP	S-R-AM-TMP	         O	(SBAR(WHADVP*)
       officers	       NNS	      S-NP	         O	              -	  I-AM-TMP	      S-A1	         O	(S(NP*)
        arrived	       VBD	      S-VP	         O	        arrived	  I-AM-TMP	       S-V	         O	(VP*)))
              ,	         ,	         O	         O	              -	  I-AM-TMP	         O	         O	*
           they	       PRP	      S-NP	         O	              -	  I-AM-TMP	         O	      S-A0	(NP*)
     discovered	       VBD	      S-VP	         O	     discovered	  I-AM-TMP	         O	       S-V	(VP*
            Ian	       NNP	      B-NP	     B-PER	              -	  I-AM-TMP	         O	      B-A1	(NP(NP*
    Sevostjanov	       NNP	      E-NP	     E-PER	              -	  I-AM-TMP	         O	      I-A1	*)
           dead	        JJ	    S-ADJP	         O	              -	  I-AM-TMP	         O	      I-A1	(ADJP*
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	      I-A1	(NP(NP*
         bottom	        NN	      E-NP	         O	              -	  I-AM-TMP	         O	      E-A1	*)
              -	         :	         O	         O	              -	  I-AM-TMP	         O	         O	*
          floor	        NN	      B-NP	         O	              -	  I-AM-TMP	         O	         O	(NP*
      apartment	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	         O	*))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

            The	        DT	      B-NP	         O	              -	         O	         O	         O	(S1(SBAR(NP(NP*
       Belleair	       NNP	      I-NP	    B-MISC	              -	         O	         O	         O	*
     Elementary	       NNP	      I-NP	    E-MISC	              -	         O	         O	         O	*)
          fifth	        RB	      I-NP	         O	              -	         O	         O	         O	(ADVP*))
              -	         :	      I-NP	         O	              -	         O	         O	         O	*
         grader	        NN	      E-NP	         O	              -	      S-A0	         O	         O	(S(S(NP*)
            had	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
         argued	       VBN	      E-VP	         O	         argued	       S-V	         O	         O	(VP*
