     2017-02-14	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	        NN	      S-NP	         O	              -	      S-A1	(S1(NP(NP*)
       arrested	       VBN	      S-VP	         O	       arrested	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	      B-A2	(PP*
         deadly	        JJ	      B-NP	         O	              -	      I-A2	(NP*
              '	        ''	      I-NP	         O	              -	      I-A2	*
      horseplay	        NN	      I-NP	         O	              -	      I-A2	*
              '	        ''	      I-NP	         O	              -	      I-A2	*
       shooting	        NN	      E-NP	         O	              -	      E-A2	*)))))

            Buy	       NNP	      B-NP	     B-ORG	              -	      B-A0	(S1(S(NP*
          Photo	       NNP	      I-NP	     I-ORG	              -	      I-A0	*
   Indianapolis	       NNP	      I-NP	     E-ORG	              -	      I-A0	*
         police	       NNS	      E-NP	         O	              -	      E-A0	*)
    investigate	       VBP	      S-VP	         O	    investigate	       S-V	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	(NP(NP*
          scene	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	(NP(NP*
          fatal	        JJ	      I-NP	         O	              -	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      I-A1	*)
             at	        IN	      S-PP	         O	              -	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	(NP(NP*
           3600	        CD	      I-NP	         O	              -	      I-A1	*
          block	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
           Glen	       NNP	      B-NP	     B-LOC	              -	      I-A1	(NP(NP*
            Arm	       NNP	      I-NP	     I-LOC	              -	      I-A1	*
           Road	       NNP	      E-NP	     E-LOC	              -	      I-A1	*)
              ,	         ,	         O	         O	              -	      I-A1	*
           Feb.	       NNP	      B-NP	         O	              -	      I-A1	(NP*
             14	        CD	      I-NP	         O	              -	      I-A1	*
              ,	         ,	      I-NP	         O	              -	      I-A1	*
           2017	        CD	      E-NP	         O	              -	      E-A1	*)))))))))
              .	         .	         O	         O	              -	         O	*))

              (	     -LRB-	         O	         O	              -	(S1(S*
          Photo	        NN	      S-NP	         O	              -	(NP*)
              :	         :	         O	         O	              -	*
       Michelle	       NNP	      B-NP	     B-ORG	              -	(NP*
Pemberton/IndyStar)Buy	       NNP	      I-NP	     I-ORG	              -	*
          Photo	       NNP	      E-NP	     E-ORG	              -	*)))

         Update	        NN	      S-NP	         O	              -	         O	         O	(S1(X(NP*)
              :	         :	         O	         O	              -	         O	         O	*
         Police	       NNP	      S-NP	         O	              -	      S-A0	         O	(S(NP*)
       arrested	       VBD	      S-VP	         O	       arrested	       S-V	         O	(VP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
        17-year	        JJ	      I-NP	         O	              -	      I-A1	         O	*
              -	         :	      I-NP	         O	              -	      I-A1	         O	*
            old	        JJ	      I-NP	         O	              -	      I-A1	         O	*
            boy	        NN	      E-NP	         O	              -	      E-A1	         O	*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	      B-A0	(NP(NP*
              "	        JJ	      I-NP	         O	              -	  I-AM-LOC	      I-A0	*
      horseplay	        JJ	      I-NP	         O	              -	  I-AM-LOC	      I-A0	*
              "	        JJ	      I-NP	         O	              -	  I-AM-LOC	      I-A0	*
       shooting	        NN	      E-NP	         O	              -	  I-AM-LOC	      E-A0	*)
           that	       WDT	      S-NP	         O	              -	  I-AM-LOC	    S-R-A0	(SBAR(WHNP*)
         killed	       VBD	      S-VP	         O	         killed	  I-AM-LOC	       S-V	(S(VP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	      B-A1	(NP(NP*
             16	        CD	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
           year	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
            old	        JJ	    S-ADJP	         O	              -	  I-AM-LOC	      I-A1	(ADJP*
             on	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
           west	        JJ	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
           side	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
        Tuesday	       NNP	      S-NP	         O	              -	  E-AM-LOC	      E-A1	(NP*)))))))))))))
              .	         .	         O	         O	              -	         O	         O	*))

              "	        ``	         O	         O	              -	         O	         O	(S1(S(S(S(ADJP*
            The	        DT	      B-NP	         O	              -	         O	         O	*
        17-year	        JJ	      I-NP	         O	              -	         O	         O	*
              -	         :	      I-NP	         O	              -	         O	         O	*
            old	        JJ	      I-NP	         O	              -	         O	         O	*
        suspect	        JJ	      I-NP	         O	              -	         O	         O	*
            and	        CC	      I-NP	         O	              -	         O	         O	*
       decedent	        NN	      E-NP	         O	              -	         O	         O	*))
           were	       VBD	      B-VP	         O	              -	         O	         O	(VP*
