     2017-01-25	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	       NNP	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
      seriously	        RB	    B-ADJP	         O	              -	  S-AM-MNR	(VP(ADVP*)
        wounded	       VBN	    E-ADJP	         O	        wounded	       S-V	*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP(PP*
            Far	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
          South	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	*
           Side	       NNP	      I-NP	         O	              -	  I-AM-LOC	*
          drive	        NN	      E-NP	         O	              -	  E-AM-LOC	*))
              -	         :	         O	         O	              -	         O	*
             by	        IN	      S-PP	         O	              -	  B-AM-MNR	(PP*
       shooting	       VBG	      S-VP	         O	              -	  E-AM-MNR	(NP*))))))

           Teen	       NNP	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
      seriously	        RB	    B-ADJP	         O	              -	  S-AM-MNR	(VP(ADVP*)
        wounded	       VBN	    E-ADJP	         O	        wounded	       S-V	*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP(PP*
            Far	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
          South	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	*
           Side	       NNP	      I-NP	         O	              -	  I-AM-LOC	*
          drive	        NN	      E-NP	         O	              -	  E-AM-LOC	*))
              -	         :	         O	         O	              -	         O	*
             by	        IN	      S-PP	         O	              -	  B-AM-MNR	(PP*
       shooting	       VBG	      S-VP	         O	              -	  E-AM-MNR	(NP*))))))

              A	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP*
        16-year	        JJ	      I-NP	         O	              -	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	*)
            boy	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
        abdomen	        NN	      E-NP	         O	              -	  E-AM-LOC	*))
           late	        JJ	      B-NP	         O	              -	  B-AM-TMP	(NP*
      Wednesday	       NNP	      E-NP	         O	              -	  E-AM-TMP	*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
            Far	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	*
          South	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	*
           Side	       NNP	      I-NP	         O	              -	  I-AM-LOC	*
         Golden	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	*
           Gate	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

          About	        IN	      B-NP	         O	              -	  B-AM-TMP	         O	(S1(S(NP*
          10:30	        CD	      I-NP	         O	              -	  I-AM-TMP	         O	*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	*
        someone	        NN	      S-NP	         O	              -	      S-A0	         O	(NP*)
         opened	       VBD	      S-VP	         O	         opened	       S-V	         O	(VP*
           fire	        NN	      S-NP	         O	              -	      S-A1	         O	(NP(NP*)
           from	        IN	      S-PP	         O	              -	      B-A4	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A4	         O	(NP*
        passing	       VBG	      I-NP	         O	        passing	      I-A4	       S-V	*
          black	        JJ	      I-NP	         O	              -	      I-A4	      B-A1	*
            car	        NN	      E-NP	         O	              -	      I-A4	      E-A1	*))
             in	        IN	      S-PP	         O	              -	      I-A4	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A4	         O	(NP(NP*
            400	        CD	      I-NP	         O	              -	      I-A4	         O	*
          block	        NN	      E-NP	         O	              -	      I-A4	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A4	         O	(PP*
           East	       NNP	      B-NP	     B-LOC	              -	      I-A4	         O	(NP*
          133rd	        JJ	      I-NP	     I-LOC	              -	      I-A4	         O	*
         Street	        NN	      E-NP	     E-LOC	              -	      E-A4	         O	*)))))
              ,	         ,	         O	         O	              -	         O	         O	*
      according	       VBG	      S-PP	         O	              -	  B-AM-ADV	         O	(PP*
             to	        TO	      S-PP	         O	              -	  I-AM-ADV	         O	(PP*
        Chicago	       NNP	      B-NP	     B-ORG	              -	  I-AM-ADV	         O	(NP*
         Police	       NNP	      E-NP	     E-ORG	              -	  E-AM-ADV	         O	*))))
              .	         .	         O	         O	              -	         O	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A1	      B-A1	(S1(S(S(NP*)
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	(VP*
          taken	       VBN	      E-VP	         O	          taken	       S-V	      I-A1	(VP*
             to	        TO	      S-PP	         O	              -	      B-A2	      I-A1	(PP*
         Christ	       NNP	      B-NP	     B-ORG	              -	      I-A2	      I-A1	(NP*
        Medical	       NNP	      I-NP	     I-ORG	              -	      I-A2	      I-A1	*
         Center	       NNP	      E-NP	     E-ORG	              -	      I-A2	      I-A1	*))
             in	        IN	      S-PP	         O	              -	      I-A2	      I-A1	(PP*
            Oak	       NNP	      B-NP	     B-LOC	              -	      I-A2	      I-A1	(NP*
           Lawn	       NNP	      E-NP	     E-LOC	              -	      I-A2	      I-A1	*))
             in	        IN	      S-PP	         O	              -	      I-A2	      I-A1	(PP*
        serious	        JJ	      B-NP	         O	              -	      I-A2	      I-A1	(NP*
      condition	        NN	      E-NP	         O	              -	      E-A2	      E-A1	*)))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

