     2017-02-26	        CD	      S-NP	         O	              -	(S1(NP*))

         UPDATE	        NN	      S-NP	         O	              -	(S1(NP*
              :	         :	         O	         O	              -	*))

            One	        CD	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
      Confirmed	       VBD	      S-VP	         O	      Confirmed	       S-V	(VP*
           Dead	       NNP	      S-NP	         O	              -	  B-AM-TMP	(S(VP*
             in	        IN	      S-PP	         O	              -	  E-AM-TMP	(PP*))))))

           Gary	       NNP	      B-NP	         O	              -	         O	(S1(NP(NP*
       Shootout	       NNP	      E-NP	         O	              -	         O	*)
              -	         :	         O	         O	              -	         O	*
             At	        IN	      B-NP	         O	              -	      B-A1	(NP(NP(QP*
          least	       JJS	      I-NP	         O	              -	      I-A1	*
              4	        CD	      I-NP	         O	              -	      I-A1	*)
         Others	       NNS	      I-NP	         O	              -	      E-A1	*)
        Wounded	       VBN	      I-NP	         O	        Wounded	       S-V	(NP*
            –	        NN	      E-NP	         O	              -	      S-A1	*))))

            The	        DT	      B-NP	         O	              -	(S1(NP*
      Northwest	       NNP	      I-NP	     B-ORG	              -	*
        Indiana	       NNP	      I-NP	     I-ORG	              -	*
        Gazette	       NNP	      E-NP	     E-ORG	              -	*))

            Sue	       NNP	      B-NP	     B-PER	              -	      B-A0	(S1(S(NP*
         Dahlen	       NNP	      E-NP	     E-PER	              -	      E-A0	*)
    contributed	       VBD	      S-VP	         O	    contributed	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	      B-A2	(PP*
           this	        DT	      B-NP	         O	              -	      I-A2	(NP*
         report	        NN	      E-NP	         O	              -	      E-A2	*)))))

       February	       NNP	      B-NP	         O	              -	  B-AM-TMP	         O	         O	(S1(S(NP*
             26	        CD	      I-NP	         O	              -	  E-AM-TMP	         O	         O	*)
              ,	         ,	      I-NP	         O	              -	         O	         O	         O	*
      2017-Lake	        JJ	      I-NP	     B-PER	              -	      B-A0	         O	         O	(NP*
         County	       NNP	      I-NP	     I-PER	              -	      I-A0	         O	         O	*
        Coroner	       NNP	      I-NP	     I-PER	              -	      I-A0	         O	         O	*
       Merrilee	       NNP	      I-NP	     I-PER	              -	      I-A0	         O	         O	*
           Frey	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	         O	*)
            has	       VBZ	      B-VP	         O	              -	         O	         O	         O	(VP*
      confirmed	       VBN	      E-VP	         O	      confirmed	       S-V	         O	         O	(VP*
           that	        IN	    S-SBAR	         O	              -	      B-A1	         O	         O	(SBAR*
            one	        CD	      B-NP	         O	              -	      I-A1	      B-A1	         O	(S(NP*
         person	        NN	      E-NP	         O	              -	      I-A1	      E-A1	         O	*)
            has	       VBZ	      B-VP	         O	              -	      I-A1	         O	         O	(VP*
           died	       VBN	      E-VP	         O	           died	      I-A1	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	  B-AM-TMP	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	  I-AM-TMP	      B-A1	(NP(NP*
       shooting	        NN	      I-NP	         O	              -	      I-A1	  I-AM-TMP	      I-A1	*
       incident	        NN	      E-NP	         O	              -	      I-A1	  I-AM-TMP	      E-A1	*)
          which	       WDT	      S-NP	         O	              -	      I-A1	  I-AM-TMP	    S-R-A1	(SBAR(WHNP*)
       occurred	       VBD	      S-VP	         O	       occurred	      I-A1	  I-AM-TMP	       S-V	(S(VP*
           near	        IN	      S-PP	         O	              -	      I-A1	  I-AM-TMP	  B-AM-LOC	(PP*
         Hustle	       NNP	      B-NP	     B-ORG	              -	      I-A1	  I-AM-TMP	  I-AM-LOC	(NP*
              &	        CC	      I-NP	     I-ORG	              -	      I-A1	  I-AM-TMP	  I-AM-LOC	*
            Joe	       NNP	      I-NP	     E-ORG	              -	      I-A1	  I-AM-TMP	  I-AM-LOC	*)))))
           ’s	        JJ	      I-NP	         O	              -	      I-A1	  I-AM-TMP	  I-AM-LOC	*
            bar	        NN	      E-NP	         O	              -	      I-A1	  I-AM-TMP	  E-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	      I-A1	  I-AM-TMP	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-TMP	  I-AM-LOC	(NP(NP*
           1700	        CD	      I-NP	         O	              -	      I-A1	  I-AM-TMP	  I-AM-LOC	*
          block	        NN	      E-NP	         O	              -	      I-A1	  I-AM-TMP	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	      I-A1	  I-AM-TMP	  I-AM-LOC	(PP*
          Grant	       NNP	      B-NP	     B-LOC	              -	      I-A1	  I-AM-TMP	  I-AM-LOC	(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	      E-A1	  E-AM-TMP	  E-AM-LOC	*))))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*))

      According	       VBG	      S-PP	         O	              -	  B-AM-ADV	         O	         O	(S1(S(PP*
             to	        TO	      S-PP	         O	              -	  I-AM-ADV	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-ADV	         O	         O	(NP*
         report	        NN	      E-NP	         O	              -	  E-AM-ADV	         O	         O	*)))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
             25	        CD	      B-NP	         O	              -	  B-AM-TMP	         O	         O	(S(NP(ADJP(NP*
           year	        NN	      I-NP	         O	              -	  E-AM-TMP	         O	         O	*)
            old	        JJ	      I-NP	         O	              -	      B-A1	         O	         O	*)
        Dvontai	       NNP	      I-NP	     B-PER	              -	      I-A1	         O	         O	*
         Wright	       NNP	      E-NP	     E-PER	              -	      I-A1	         O	         O	*
             of	        IN	      S-PP	         O	              -	      I-A1	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	         O	         O	(NP(NP*
            900	        CD	      I-NP	         O	              -	      I-A1	         O	         O	*
          block	        NN	      E-NP	         O	              -	      I-A1	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	         O	(PP*
           35th	        JJ	      B-NP	         O	              -	      I-A1	         O	         O	(NP*
         Avenue	       NNP	      E-NP	         O	              -	      I-A1	         O	         O	*))
             in	        IN	      S-PP	         O	              -	      I-A1	         O	         O	(PP*
       Griffith	       NNP	      S-NP	     S-PER	              -	      E-A1	         O	         O	(NP*)))))
            was	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP(VP*
     pronounced	       VBN	      E-VP	         O	     pronounced	       S-V	         O	         O	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      B-A2	         O	         O	(ADJP*)
             at	        IN	      S-PP	         O	              -	      I-A2	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	         O	         O	(NP*
          scene	        NN	      E-NP	         O	              -	      E-A2	         O	         O	*))
             at	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	(PP*
           3:25	        CD	      B-NP	         O	              -	  I-AM-TMP	         O	         O	(NP*
           a.m.	        RB	      I-NP	         O	              -	  I-AM-TMP	         O	         O	*
