     2017-01-23	        CD	      S-NP	         O	              -	(S1(NP*))

           What	        WP	      S-NP	         O	              -	    S-R-A1	         O	         O	      B-A1	(S1(S(SBAR(WHNP*)
          began	       VBD	      S-VP	         O	          began	       S-V	         O	         O	      I-A1	(S(VP*
             as	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      B-A1	         O	      I-A1	(NP(NP*
      marijuana	        NN	      I-NP	         O	              -	  I-AM-TMP	      I-A1	         O	      I-A1	*
           deal	        NN	      E-NP	         O	              -	  I-AM-TMP	      E-A1	         O	      I-A1	*)
          ended	       VBN	      S-VP	         O	          ended	  I-AM-TMP	       S-V	         O	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	  B-AM-LOC	         O	      I-A1	(PP*
          fatal	        JJ	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	         O	      I-A1	(NP*
       shooting	        NN	      E-NP	         O	              -	  I-AM-TMP	  E-AM-LOC	         O	      I-A1	*))
           with	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	         O	      I-A1	(PP*
         stolen	       VBN	      B-NP	         O	         stolen	  I-AM-TMP	         O	       S-V	      I-A1	(NP*
            gun	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	      S-A1	      E-A1	*))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
      detective	        NN	      S-NP	         O	              -	         O	         O	         O	      S-A0	(NP*)
      testifies	       VBZ	      S-VP	         O	      testifies	         O	         O	         O	         O	(VP*)))

       De'Aaron	       NNP	      B-NP	     B-PER	              -	      B-A0	(S1(S(NP*
            Fox	       NNP	      E-NP	     E-PER	              -	      E-A0	*)
        thought	       VBD	      S-VP	         O	        thought	       S-V	(VP*
            big	        JJ	      B-NP	         O	              -	      B-A1	(SBAR(S(NP*
           shot	        NN	      E-NP	         O	              -	      E-A1	*)
            was	       VBD	      S-VP	         O	              -	         O	(VP*
              a	        DT	      B-NP	         O	              -	         O	(NP*
          three	        CD	      I-NP	         O	              -	         O	*
              -	         :	      I-NP	         O	              -	         O	*
        pointer	        NN	      E-NP	         O	              -	         O	*)))))))

         Isaiah	       NNP	      B-NP	     B-PER	              -	         O	(S1(NP(NP*
        Briscoe	       NNP	      E-NP	     E-PER	              -	         O	*)
              :	         :	         O	         O	              -	         O	*
             We	       PRP	      S-NP	         O	              -	      S-A0	(S(NP*)
           made	       VBD	      S-VP	         O	           made	       S-V	(VP*
        winning	       VBG	      B-NP	         O	              -	      B-A1	(S(VP*
          plays	       NNS	      E-NP	         O	              -	      E-A1	(NP*)))))))

           Vice	       NNP	      B-NP	         O	              -	      B-A0	(S1(S(NP*
      President	       NNP	      I-NP	         O	              -	      I-A0	*
          Pence	       NNP	      E-NP	     S-PER	              -	      E-A0	*)
         paints	       VBZ	      S-VP	         O	         paints	       S-V	(VP*
           dire	        JJ	      B-NP	         O	              -	      B-A1	(NP(NP*
        picture	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
      Obamacare	       NNP	      S-NP	     S-LOC	              -	      E-A1	(NP*))
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
       Kentucky	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	(NP*))))))

           1:35	       SYM	         O	         O	              -	(S1(NP*))

