Hope , AR	0,9	bn:03567753n	[]	http://babelnet.org/rdf/s03567753n	http://dbpedia.org/resource/Hope,_Arkansas
man	10,13	bn:00044576n	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
dies	14,18	bn:00084343v	[wn:00358431v]	http://babelnet.org/rdf/s00084343v	null
reported	22,30	bn:00082233v	[wn:00965035v]	http://babelnet.org/rdf/s00082233v	null
accidental	31,41	bn:00096263a	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
shooting	42,50	bn:00089349v	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
KSLA News 12	53,65	bn:01450961n	[]	http://babelnet.org/rdf/s01450961n	http://dbpedia.org/resource/KSLA
Shreveport , Louisiana	66,88	bn:00720468n	[]	http://babelnet.org/rdf/s00720468n	http://dbpedia.org/resource/Shreveport,_Louisiana
News	89,93	bn:00047028n	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
Weather	94,101	bn:00006808n	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Sports	104,110	bn:00006759n	[wn:00523513n]	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
