Police	0,6	bn:00022026n	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
West	19,23	bn:00073013n	[wn:13836018n]	http://babelnet.org/rdf/s00073013n	http://dbpedia.org/resource/Cardinal_direction
Erie	24,28	bn:00031408n	[wn:09655018n]	http://babelnet.org/rdf/s00031408n	http://dbpedia.org/resource/Erie_people
Shooting	29,37	bn:00089349v	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
Erie	40,44	bn:00031408n	[wn:09655018n]	http://babelnet.org/rdf/s00031408n	http://dbpedia.org/resource/Erie_people
News	45,49	bn:00047028n	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
News	56,60	bn:00047028n	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
Weather	63,70	bn:00006808n	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
Sports	73,79	bn:00006759n	[wn:00523513n]	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
WICU	82,86	bn:01214318n	[]	http://babelnet.org/rdf/s01214318n	http://dbpedia.org/resource/WICU-TV
WSEE	92,96	bn:03169949n	[]	http://babelnet.org/rdf/s03169949n	http://dbpedia.org/resource/WSEE-TV
