old	10,13	bn:00107791a	[wn:00127137a]	http://babelnet.org/rdf/s00107791a	null
girl	14,18	bn:00034453n	[wn:10129825n]	http://babelnet.org/rdf/s00034453n	http://dbpedia.org/resource/Girl
shot	19,23	bn:00071206n	[wn:00122661n]	http://babelnet.org/rdf/s00071206n	null
head	27,31	bn:00012681n	[wn:05611302n]	http://babelnet.org/rdf/s00012681n	http://dbpedia.org/resource/Nous
living room	40,51	bn:00036640n	[wn:03679712n]	http://babelnet.org/rdf/s00036640n	http://dbpedia.org/resource/Parlour
window	52,58	bn:00081285n	[wn:04587648n]	http://babelnet.org/rdf/s00081285n	http://dbpedia.org/resource/Window
WMC	61,64	bn:03265958n	[]	http://babelnet.org/rdf/s03265958n	http://dbpedia.org/resource/WMC_(AM)
Action	65,71	bn:00001127n	[wn:00037396n]	http://babelnet.org/rdf/s00001127n	null
News	72,76	bn:00047028n	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
Memphis , Tennessee	81,100	bn:03261736n	[]	http://babelnet.org/rdf/s03261736n	http://dbpedia.org/resource/Memphis,_Tennessee
