CUSTODY	3,10	bn:00024586n	[wn:13999663n]	http://babelnet.org/rdf/s00024586n	http://dbpedia.org/resource/Detention_(imprisonment)
2nd	13,16	bn:00095974a	[wn:02202146a]	http://babelnet.org/rdf/s00095974a	null
man	17,20	bn:00044576n	[wn:02472293n]	http://babelnet.org/rdf/s00044576n	http://dbpedia.org/resource/Human
connection	24,34	bn:00021902n	[wn:13791389n]	http://babelnet.org/rdf/s00021902n	null
Caruthersville , MO	38,57	bn:00380650n	[]	http://babelnet.org/rdf/s00380650n	http://dbpedia.org/resource/Caruthersville,_Missouri
KAIT	69,73	bn:01436896n	[]	http://babelnet.org/rdf/s01436896n	http://dbpedia.org/resource/KAIT
Jonesboro , AR	74,88	bn:00187932n	[]	http://babelnet.org/rdf/s00187932n	http://dbpedia.org/resource/Jonesboro,_Arkansas
Region 8	91,99	bn:00932295n	[]	http://babelnet.org/rdf/s00932295n	http://dbpedia.org/resource/DVD_region_code
News	100,104	bn:00047028n	[wn:06642138n]	http://babelnet.org/rdf/s00047028n	null
weather	107,114	bn:00006808n	[wn:11524662n]	http://babelnet.org/rdf/s00006808n	http://dbpedia.org/resource/Weather
sports	117,123	bn:00006759n	[wn:00523513n]	http://babelnet.org/rdf/s00006759n	http://dbpedia.org/resource/Athletics_(sport)
