UPDATE	1,2	bn:00439934n	Named Entity	[]	http://babelnet.org/rdf/s00439934n	http://dbpedia.org/resource/Update_(Jane_Zhang_album)
Kan.	3,4	bn:00048777n	Named Entity	[wn:09087599n]	http://babelnet.org/rdf/s00048777n	http://dbpedia.org/resource/Kansas
teen	4,5	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
hospitalized	5,6	bn:00089483v	Concept	[wn:02348927v]	http://babelnet.org/rdf/s00089483v	null
reported	7,8	bn:00082233v	Concept	[wn:00965035v]	http://babelnet.org/rdf/s00082233v	null
accidental	8,9	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
shooting	9,10	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
ELLSWORTH COUNTY	10,12	bn:03854894n	Named Entity	[]	http://babelnet.org/rdf/s03854894n	http://dbpedia.org/resource/Ellsworth_County,_Kansas
enforcement authorities	13,15	bn:15466773n	Named Entity	[]	http://babelnet.org/rdf/s15466773n	http://dbpedia.org/resource/Enforcement_Authority
Ellsworth County	16,18	bn:03854894n	Named Entity	[]	http://babelnet.org/rdf/s03854894n	http://dbpedia.org/resource/Ellsworth_County,_Kansas
investigating	19,20	bn:00089885v	Concept	[wn:00789138v]	http://babelnet.org/rdf/s00089885v	null
reported	21,22	bn:00082233v	Concept	[wn:00965035v]	http://babelnet.org/rdf/s00082233v	null
accidental	22,23	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
shooting	23,24	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
NEWLINE	25,26	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Thursday	31,32	bn:00617002n	Named Entity	[]	http://babelnet.org/rdf/s00617002n	http://dbpedia.org/resource/The_Features
first responders	33,35	bn:15692108n	Concept	[]	http://babelnet.org/rdf/s15692108n	http://dbpedia.org/resource/First_responder
dispatched	36,37	bn:00086689v	Concept	[wn:01955127v]	http://babelnet.org/rdf/s00086689v	null
resident	39,40	bn:00058564n	Concept	[wn:10523519n]	http://babelnet.org/rdf/s00058564n	null
Block	43,44	bn:00011308n	Concept	[wn:02852523n]	http://babelnet.org/rdf/s00011308n	http://dbpedia.org/resource/Block_(district_subdivision)
30th	45,46	bn:00095981a	Concept	[wn:02205838a]	http://babelnet.org/rdf/s00095981a	null
Street	46,47	bn:00074595n	Concept	[wn:04334599n]	http://babelnet.org/rdf/s00074595n	http://dbpedia.org/resource/Street
city	49,50	bn:03335997n	Concept	[]	http://babelnet.org/rdf/s03335997n	http://dbpedia.org/resource/City
according	53,54	bn:00082228v	Concept	[wn:02255268v]	http://babelnet.org/rdf/s00082228v	null
police chief	55,57	bn:00015751n	Concept	[wn:09893015n]	http://babelnet.org/rdf/s00015751n	null
Bob	57,58	bn:00011696n	Concept	[wn:13686877n]	http://babelnet.org/rdf/s00011696n	http://dbpedia.org/resource/Shilling_(British_coin)
NEWLINE	60,61	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Police	61,62	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
found	62,63	bn:00084231v	Concept	[wn:02248465v]	http://babelnet.org/rdf/s00084231v	null
teenage boy	64,66	bn:00001478n	Concept	[wn:15147850n]	http://babelnet.org/rdf/s00001478n	http://dbpedia.org/resource/Adolescence
injured	66,67	bn:00089751v	Concept	[wn:00069879v]	http://babelnet.org/rdf/s00089751v	null
gunshot wound	69,71	bn:00191195n	Concept	[]	http://babelnet.org/rdf/s00191195n	http://dbpedia.org/resource/Ballistic_trauma
chest	73,74	bn:00018207n	Concept	[wn:05552607n]	http://babelnet.org/rdf/s00018207n	http://dbpedia.org/resource/Thorax
caliber	77,78	bn:00012226n	Concept	[wn:05103283n]	http://babelnet.org/rdf/s00012226n	http://dbpedia.org/resource/Bore_(engine)
rifle	78,79	bn:00067785n	Concept	[wn:04090263n]	http://babelnet.org/rdf/s00067785n	http://dbpedia.org/resource/Rifle
NEWLINE	80,81	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
teen	82,83	bn:00001480n	Concept	[wn:09772029n]	http://babelnet.org/rdf/s00001480n	null
transported	84,85	bn:00095121v	Concept	[wn:01953810v]	http://babelnet.org/rdf/s00095121v	null
hospital	87,88	bn:00044896n	Concept	[wn:03540595n]	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
Salina	89,90	bn:00278028n	Named Entity	[]	http://babelnet.org/rdf/s00278028n	http://dbpedia.org/resource/Salina,_Kansas
flown	92,93	bn:00088378v	Concept	[wn:01940403v]	http://babelnet.org/rdf/s00088378v	null
Wichita	95,96	bn:00278275n	Named Entity	[]	http://babelnet.org/rdf/s00278275n	http://dbpedia.org/resource/Wichita,_Kansas
hospital	96,97	bn:00044896n	Concept	[wn:03540595n]	http://babelnet.org/rdf/s00044896n	http://dbpedia.org/resource/Hospital
NEWLINE	98,99	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
expected	101,102	bn:00087853v	Concept	[wn:00592702v]	http://babelnet.org/rdf/s00087853v	null
full	105,106	bn:00103395a	Concept	[wn:00106020a]	http://babelnet.org/rdf/s00103395a	null
recovery	106,107	bn:00066597n	Concept	[wn:07419792n]	http://babelnet.org/rdf/s00066597n	null
according	108,109	bn:00082228v	Concept	[wn:02255268v]	http://babelnet.org/rdf/s00082228v	null
police department	111,113	bn:00022026n	Concept	[wn:08209687n]	http://babelnet.org/rdf/s00022026n	http://dbpedia.org/resource/Constabulary
NEWLINE	114,115	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
appears	117,118	bn:00082690v	Concept	[wn:02133435v]	http://babelnet.org/rdf/s00082690v	null
accidental	120,121	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
considering	125,126	bn:00085647v	Concept	[wn:00690614v]	http://babelnet.org/rdf/s00085647v	null
said	129,130	bn:00093287v	Concept	[wn:01009240v]	http://babelnet.org/rdf/s00093287v	null
NEWLINE	132,133	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
NEWLINE	134,135	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
ELLSWORTH COUNTY	135,137	bn:03854894n	Named Entity	[]	http://babelnet.org/rdf/s03854894n	http://dbpedia.org/resource/Ellsworth_County,_Kansas
enforcement authorities	138,140	bn:15466773n	Named Entity	[]	http://babelnet.org/rdf/s15466773n	http://dbpedia.org/resource/Enforcement_Authority
Ellsworth County	141,143	bn:03854894n	Named Entity	[]	http://babelnet.org/rdf/s03854894n	http://dbpedia.org/resource/Ellsworth_County,_Kansas
investigating	144,145	bn:00089885v	Concept	[wn:00789138v]	http://babelnet.org/rdf/s00089885v	null
reported	146,147	bn:00082233v	Concept	[wn:00965035v]	http://babelnet.org/rdf/s00082233v	null
accidental	147,148	bn:00096263a	Concept	[wn:01338909a]	http://babelnet.org/rdf/s00096263a	null
shooting	148,149	bn:00089349v	Concept	[wn:01137138v]	http://babelnet.org/rdf/s00089349v	null
NEWLINE	150,151	bn:00050913n	Concept	[wn:05057382n]	http://babelnet.org/rdf/s00050913n	http://dbpedia.org/resource/Low_frequency
Thursday	156,157	bn:00617002n	Named Entity	[]	http://babelnet.org/rdf/s00617002n	http://dbpedia.org/resource/The_Features
first responders	158,160	bn:15692108n	Concept	[]	http://babelnet.org/rdf/s15692108n	http://dbpedia.org/resource/First_responder
dispatched	161,162	bn:00086689v	Concept	[wn:01955127v]	http://babelnet.org/rdf/s00086689v	null
