1220	city	http://dbpedia.org/resource/Brooklyn
1220	state	http://dbpedia.org/resource/New_York_City
1462	city	http://dbpedia.org/resource/Phoenix,_Arizona
1461	city	http://dbpedia.org/resource/Las_Vegas
1461	state	http://dbpedia.org/resource/Nevada
1460	city	http://dbpedia.org/resource/The_Bronx
1460	state	http://dbpedia.org/resource/New_York_City
1217	city	http://dbpedia.org/resource/Olathe,_Kansas
1217	state	http://dbpedia.org/resource/Kansas
1459	city	http://dbpedia.org/resource/Fellsmere,_Florida
1459	state	http://dbpedia.org/resource/Florida
1216	city	http://dbpedia.org/resource/Pittsburgh
1216	state	http://dbpedia.org/resource/Pennsylvania
1215	city	http://dbpedia.org/resource/Anniston,_Alabama
1215	state	http://dbpedia.org/resource/Alabama
1699	city	http://dbpedia.org/resource/Kansas_City,_Missouri
1699	state	http://dbpedia.org/resource/Missouri
1214	city	http://dbpedia.org/resource/Terre_Haute,_Indiana
1214	city	http://dbpedia.org/resource/Jackson,_Mississippi
1214	state	http://dbpedia.org/resource/Mississippi
1214	state	http://dbpedia.org/resource/Indiana
1456	city	http://dbpedia.org/resource/Lakewood,_Washington
1456	state	http://dbpedia.org/resource/Washington_(state)
1698	city	http://dbpedia.org/resource/Manhattan
1698	state	http://dbpedia.org/resource/New_York_City
1213	city	http://dbpedia.org/resource/Philadelphia
1213	state	http://dbpedia.org/resource/Pennsylvania
1455	city	http://dbpedia.org/resource/Houston
1455	state	http://dbpedia.org/resource/Texas
1697	city	http://dbpedia.org/resource/Olive_Branch,_Mississippi
1697	state	http://dbpedia.org/resource/Wisconsin
1212	city	http://dbpedia.org/resource/Seattle
1212	city	http://dbpedia.org/resource/Burien,_Washington
1212	state	http://dbpedia.org/resource/Washington_(state)
1454	city	http://dbpedia.org/resource/Charlotte,_North_Carolina
1454	state	http://dbpedia.org/resource/North_Carolina
1696	city	http://dbpedia.org/resource/Green_Bay,_Wisconsin
1696	state	http://dbpedia.org/resource/Wisconsin
1211	city	http://dbpedia.org/resource/Metairie,_Louisiana
1211	state	http://dbpedia.org/resource/Louisiana
1453	city	http://dbpedia.org/resource/Warren,_Michigan
1453	state	http://dbpedia.org/resource/Michigan
1695	city	http://dbpedia.org/resource/Chicago
1695	state	http://dbpedia.org/resource/Illinois
1210	city	http://dbpedia.org/resource/Columbus,_Georgia
