e01284c6dc303417d44633a26de360ed	2017-01-07	charged	9	91,92	A0:0:31 Florida woman[9:88,91]	A1:with arson[9:92,94]	null	null	AM-TMP:after setting wrong car on fire[9:94,100]	null	null
e01284c6dc303417d44633a26de360ed	2017-01-07	setting	9	95,96	A0:0:31 Florida woman[9:88,91]	A1:wrong car[9:96,98]	A2:on fire[9:98,100]	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	reported	81	1249,1250	A0:A caller in the 3300 block of West Sixth Street[81:1239,1249]	A1:a person tried to buy a gun and was denied because of a misdemeanor conviction[81:1252,1267]	null	null	AM-TMP:Monday morning[81:1250,1252]	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	tried	81	1254,1255	A0:a person[81:1252,1254]	A1:to buy a gun[81:1255,1259]	null	null	AM-TMP:Monday morning[81:1250,1252]	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	buy	81	1256,1257	A0:a person[81:1252,1254]	A1:a gun[81:1257,1259]	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	reported	94	1504,1505	A0:A caller in the 400 block of Mt. Hood[94:1495,1504]	A1:a customer bought in a package over the weekend to mail and it has marijuana in it[94:1507,1524]	null	null	AM-TMP:Monday evening[94:1505,1507]	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	bought	94	1509,1510	A0:a customer[94:1507,1509]	null	null	null	AM-TMP:over the weekend[94:1513,1516]	AM-LOC:in a package[94:1510,1513]	null
0db32aa28f98d8615854c671418357f8	2017-02-14	need	34	651,652	A0:We[34:650,651]	A1:to invest in education[34:652,656]	null	null	null	null	null
0db32aa28f98d8615854c671418357f8	2017-02-14	invest	34	653,654	A0:We[34:650,651]	null	A2:in education[34:654,656]	null	null	null	null
0db32aa28f98d8615854c671418357f8	2017-02-14	need	35	658,659	A0:We[35:657,658]	A1:to invest in housing[35:659,663]	null	null	null	null	null
0db32aa28f98d8615854c671418357f8	2017-02-14	invest	35	660,661	A0:We[35:657,658]	null	A2:in housing[35:661,663]	null	null	null	null
0db32aa28f98d8615854c671418357f8	2017-02-14	need	36	665,666	A0:We[36:664,665]	A1:to invest in jobs , " Green said[36:666,674]	null	null	null	null	null
0db32aa28f98d8615854c671418357f8	2017-02-14	invest	36	667,668	A0:We[36:664,665]	null	A2:in jobs[36:668,670]	null	null	null	null
0db32aa28f98d8615854c671418357f8	2017-02-14	said	36	673,674	A0:Green[36:672,673]	A1:We need to invest in jobs[36:664,670]	null	null	null	null	null
