14e903c185a29de73a51118ff53fe526	2017-03-06	hit	2	21,22	null	A1:old girl[2:16,18]	null	A3:through bedroom window NEWLINE JACKSON , Tenn. —[2:24,32]	null	null	AM-MNR:by gunshot[2:22,24]
14e903c185a29de73a51118ff53fe526	2017-03-06	says	3	34,35	A0:Sheryl Williamson[3:32,34]	A1:a bullet entered her home Sunday morning and hit her 13-year - old daughter , Gabby , in the back of her leg . NEWLINE[3:35,60]	null	null	null	null	null
14e903c185a29de73a51118ff53fe526	2017-03-06	entered	3	37,38	A0:a bullet[3:35,37]	A1:her home[3:38,40]	null	null	AM-TMP:Sunday morning[3:40,42]	null	null
14e903c185a29de73a51118ff53fe526	2017-03-06	say	7	105,106	A0:Police[7:104,105]	A1:it happened at four in the morning on the single - digit block of Idlewild Street in east Jackson[7:106,125]	null	null	null	null	null
14e903c185a29de73a51118ff53fe526	2017-03-06	happened	7	107,108	null	A1:it[7:106,107]	null	null	AM-TMP:in the morning[7:110,113]	AM-LOC:on the single - digit block of Idlewild Street in east Jackson[7:113,125]	null
14e903c185a29de73a51118ff53fe526	2017-03-06	met	9	147,148	A0:We[9:146,147]	A1:Gabby[9:148,149]	null	null	AM-TMP:after she came home from the hospital Monday afternoon[9:149,158]	null	null
14e903c185a29de73a51118ff53fe526	2017-03-06	came	9	151,152	null	A1:she[9:150,151]	null	null	AM-TMP:Monday afternoon[9:156,158]	AM-LOC:home from the hospital[9:152,156]	null
14e903c185a29de73a51118ff53fe526	2017-03-06	says	21	307,308	A0:The Jackson Police Department[21:303,307]	A1:this is an open case that is under investigation at this time[21:308,320]	null	null	null	null	null
6750a747d33fd0d26ab08add77b1dfba	2017-03-06	shot	1	3,4	null	A1:Two teens[1:1,3]	null	null	null	AM-LOC:near Central Florida Fairgrounds[1:4,8]	null
6750a747d33fd0d26ab08add77b1dfba	2017-03-06	recovering	2	11,12	null	A1:Two teens[2:8,10]	null	null	AM-TMP:after they were shot Saturday night near the Central Florida Fairgrounds . NEWLINE[2:12,25]	null	null
6750a747d33fd0d26ab08add77b1dfba	2017-03-06	shot	2	15,16	null	A1:they[2:13,14]	null	null	AM-TMP:Saturday night[2:16,18]	AM-LOC:near the Central Florida Fairgrounds . NEWLINE[2:18,25]	null
6750a747d33fd0d26ab08add77b1dfba	2017-03-06	taken	7	130,131	null	A1:The teens[7:127,129]	A2:to ORMC[7:131,133]	null	null	null	AM-MNR:with injuries described as not life - threatening[7:133,141]
6750a747d33fd0d26ab08add77b1dfba	2017-03-06	said	10	183,184	A0:William Lee Price , Director of Marketing and Operations for the Central Florida Fair ,[10:168,183]	A1:approximately 15,000 people were at the fairgrounds Saturday night[10:184,193]	null	null	null	null	null
6750a747d33fd0d26ab08add77b1dfba	2017-03-06	said	10	183,184	A0:William Lee Price , Director of Marketing and Operations for the Central Florida Fair ,[10:168,183]	A1:approximately 15,000 people were at the fairgrounds Saturday night[10:184,193]	null	null	null	null	null
