old	bn:00107786a	0.0	0.0	0.0	0.0
girl	bn:00034453n	0.0	0.0	0.0	0.0
find	bn:00088210v	0.0	0.0	0.0	0.0
hit	bn:00089346v	0.0	0.0	0.0	0.0
gunshot	bn:00042242n	0.0	0.0	0.0	0.0
bedroom	bn:00009495n	0.0	0.0	0.0	0.0
window	bn:00081285n	0.0	0.0	0.0	0.0
line_feed	bn:00051314n	0.0	0.0	0.0	0.0
say	bn:00093287v	0.0	0.0	0.0	0.0
bullet	bn:00013807n	0.0	0.0	0.0	0.0
enter	bn:00085363v	0.0	0.0	0.0	0.0
home	bn:00000356n	0.0	0.0	0.0	0.0
daughter	bn:00025364n	0.0	0.0	0.0	0.0
leg	bn:00050541n	0.0	0.0	0.0	0.0
hear	bn:00089277v	0.0	0.0	0.0	0.0
scream	bn:00084388v	0.0	0.0	0.0	0.0
shot	bn:00071206n	2.0	0.0	2.0	0.0
mammy	bn:00052511n	0.0	0.0	0.0	0.0
know	bn:00085261v	0.0	0.0	0.0	0.0
house	bn:00044994n	0.0	0.0	0.0	0.0
shoot_up	bn:00093661v	0.0	2.0	0.0	0.0
police	bn:00022026n	0.0	0.0	3.0	0.0
come_about	bn:00085337v	0.0	0.0	0.0	0.0
individual	bn:00104971a	0.0	0.0	0.0	0.0
digit	bn:00027078n	0.0	0.0	0.0	0.0
block	bn:00011308n	0.0	0.0	0.0	0.0
street	bn:00074595n	0.0	0.0	0.0	0.0
east	bn:00101959a	0.0	0.0	0.0	0.0
child	bn:00018346n	0.0	0.0	0.0	0.0
grandchild	bn:00041350n	0.0	0.0	0.0	0.0
kip	bn:00084684v	0.0	0.0	0.0	0.0
time	bn:00077270n	0.0	0.0	0.0	0.0
come_across	bn:00085339v	0.0	0.0	0.0	0.0
sink_in	bn:00085116v	0.0	0.0	0.0	0.0
hospital	bn:00044896n	0.0	0.0	0.0	0.0
physician	bn:00027976n	0.0	0.0	0.0	0.0
best	bn:00114535r	0.0	0.0	0.0	0.0
just	bn:00114626r	0.0	0.0	0.0	0.0
hold	bn:00089384v	0.0	0.0	0.0	0.0
lodge	bn:00090436v	0.0	0.0	0.0	0.0
side	bn:00071431n	0.0	0.0	0.0	0.0
catch_on	bn:00084681v	0.0	0.0	0.0	0.0
assume	bn:00082872v	0.0	0.0	0.0	0.0
ache	bn:00082264v	0.0	0.0	0.0	0.0
encounter	bn:00084231v	0.0	0.0	0.0	0.0
cartridge	bn:00016332n	0.0	0.0	0.0	0.0
foot	bn:00035679n	0.0	0.0	0.0	0.0
ethics	bn:00031712n	0.0	0.0	0.0	0.0
front_yard	bn:00036641n	0.0	0.0	0.0	0.0
idea	bn:00045800n	0.0	0.0	0.0	0.0
household	bn:00032892n	0.0	0.0	0.0	0.0
good	bn:00103672a	0.0	0.0	0.0	0.0
student	bn:00029806n	0.0	0.0	2.0	0.0
deplorable	bn:00101201a	0.0	0.0	0.0	0.0
feel	bn:00087864v	0.0	0.0	0.0	0.0
