1220	2017-2-2
1462	2017-2-4
1461	2017-1-6
1460	2017-3-3
1217	2017-1-2
1459	2017-3-6
1216	2017-2-2
1458	2017-2-0
1215	2017-4-3
1457	2017-2-2
1699	2017-3-4
1214	2017-1-5
1456	2017-3-5
1698	2017-2-0
1213	2017-3-2
1455	2017-2-3
1697	2017-3-2
1212	2017-3-5
1454	2017-1-0
1696	2017-2-2
1211	2017-1-5
1453	2017-2-2
1695	2017-1-1
1210	2017-2-0
1452	2017-2-6
1694	2017-2-3
1219	2017-1-1
1218	2017-3-0
1231	2017-2-5
1473	2017-3-5
1230	2017-3-2
1472	2017-3-2
1471	2017-2-2
1470	2017-2-1
1228	2017-2-2
1227	2017-2-0
1469	2017-1-3
1226	2017-3-0
1468	2017-2-2
1225	2017-3-3
1467	2017-3-5
1224	2017-1-1
1466	2017-3-6
1223	2017-2-6
1465	2017-2-6
1222	2017-1-5
1464	2017-3-6
1221	2017-1-3
1463	2017-4-2
1229	2017-2-5
1242	2017-2-5
1484	2017-2-3
1241	2017-2-2
1483	2017-3-2
1240	2017-3-6
1482	2017-1-3
1481	2017-1-3
1480	2017-1-3
1239	2017-3-2
1238	2017-4-4
1237	2017-1-0
1479	2017-3-0
1236	2017-3-6
1478	2017-1-4
1235	2017-2-6
1477	2017-2-4
1234	2017-2-1
1476	2017-3-4
1233	2017-1-6
1475	2017-2-3
1232	2017-3-5
1474	2017-1-3
1253	2017-1-3
1495	2017-4-3
1252	2017-4-2
1494	2017-2-5
1251	2017-3-0
1493	2017-3-4
1250	2017-1-1
1492	2017-4-0
1491	2017-1-0
1490	2017-2-6
1249	2017-1-1
31321	2017-3-4
1248	2017-4-6
1247	2017-1-4
1489	2017-1-5
1246	2017-2-2
1488	2017-1-2
1245	2017-2-3
1487	2017-2-3
1244	2017-3-5
1486	2017-2-5
31320	2017-3-0
1243	2017-1-3
1485	2017-2-3
1264	2017-1-1
1263	2017-2-1
1262	2017-2-0
1261	2017-3-0
1260	2017-1-6
31311	2017-1-2
31310	2017-3-2
1259	2017-1-6
31313	2017-4-6
1258	2017-1-4
31312	2017-3-1
1257	2017-2-5
1499	2017-3-0
1256	2017-1-0
1498	2017-3-1
1255	2017-3-0
