e01284c6dc303417d44633a26de360ed	2017-01-07	setting	9	95,96	null	A0:0:31 Florida woman[9:88,91]	A1:wrong car[9:96,98]	A2:on fire[9:98,100]	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	used	31	335,336	null	null	A1:The fire[31:331,333]	A2:as a cooking fire[31:336,340]	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	reported	44	509,510	null	A0:– MCFR[44:504,506]	A1:oven fire in the 3000 block of West 10th Street[44:510,520]	null	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	continue	27	284,285	null	null	null	null	null	null	AM-TMP:until this pile was out[27:287,292]	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	tended	26	269,270	null	null	A1:a burn pile[26:265,268]	A2:by a neighbor[26:271,274]	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	found	30	323,324	null	null	A1:A residence[30:320,322]	null	A3:with a small camp fire pit[30:324,330]	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	found	31	344,345	null	null	A1:a cooking fire and no problem[31:337,343]	null	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	dispatched	44	506,507	null	A0:– MCFR[44:504,506]	null	null	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	found	26	263,264	null	null	A1:a vacant lot[26:259,262]	null	A3:with a burn pile being tended to by a neighbor[26:264,274]	null	AM-TMP:Upon arrival[26:256,258]	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	seen	39	448,449	null	A0:by callers[39:449,451]	A1:flames[39:447,448]	null	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	responded	33	354,355	null	A0:Crew[33:353,354]	A1:to the 3800 block of West 10th Street[33:355,363]	A2:on a report of a fire[33:363,369]	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	responded	29	301,302	null	A0:Crew[29:300,301]	A1:to the 700 block of West 9th Street[29:302,310]	A2:on a report of large flames in the area[29:310,319]	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	turned off	45	546,548	null	null	A1:no visible fire or smoke and oven[45:538,545]	null	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	put out	41	481,483	null	A0:Individuals[41:477,478]	A1:fire[41:483,484]	A2:with garden hose , which they did[41:484,491]	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	burn	27	286,287	null	null	null	null	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	responded	25	242,243	null	A0:Crew[25:241,242]	A1:to the 2400 block of East 12th Street[25:243,251]	A2:on a burn compliant[25:251,255]	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	found	40	453,454	null	A0:Firefighters[40:452,453]	null	null	A3:male individuals with an unauthorized open burning of garbage outside and apparently , some type of paint can or something similar exploded[40:454,476]	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	counseled	27	277,278	null	null	A1:Subject[27:275,276]	A2:on the burning regulations[27:278,282]	null	null	null	null	null
b5a119e10e21a02174150efbed580711	2017-03-07	dispatched	39	431,432	null	null	A1:MCFR[39:429,430]	null	null	null	null	null	null
b3b5ce93bec93c3d5c7f719ac8b9475a	2017-03-03	killed	3	27,28	null	A0:by accidental gun fire[3:28,32]	A1:an 18-year - old man[3:21,26]	null	null	null	AM-TMP:Thursday night[3:32,34]	null	null
a7ca636e00c38b5732cb32ccf49582d2	2017-02-23	rushing	36	473,474	null	null	null	null	null	null	null	null	null
a7ca636e00c38b5732cb32ccf49582d2	2017-02-23	remains	38	507,508	null	null	A1:The cause of the car failure and fire[38:499,507]	null	A3:under investigation[38:508,510]	null	null	null	null
