Patrol	1,2	bn:00061041n	Concept	[wn:08216176n]	http://babelnet.org/rdf/s00061041n	http://dbpedia.org/resource/Patrol	patrol
Report	2,3	bn:00067181n	Concept	[wn:07218470n]	http://babelnet.org/rdf/s00067181n	http://dbpedia.org/resource/Report	report
April 03	3,5	bn:01590238n	Named Entity	[]	http://babelnet.org/rdf/s01590238n	http://dbpedia.org/resource/April_3	April_3
Date	7,8	bn:00025336n	Concept	[wn:15159583n]	http://babelnet.org/rdf/s00025336n	null	date
Friday	9,10	bn:00036512n	Concept	[wn:15164463n]	http://babelnet.org/rdf/s00036512n	http://dbpedia.org/resource/Friday	Friday
March 31	11,13	bn:01328994n	Named Entity	[]	http://babelnet.org/rdf/s01328994n	http://dbpedia.org/resource/March_31	March_31
PM	17,18	bn:00007393n	Concept	[wn:00141396n]	http://babelnet.org/rdf/s00007393n	http://dbpedia.org/resource/Autopsy	autopsy
April 01	20,22	bn:00309455n	Named Entity	[]	http://babelnet.org/rdf/s00309455n	http://dbpedia.org/resource/April_1	April_1
NEWLINE	27,28	bn:00051314n	Concept	[wn:13508183n]	http://babelnet.org/rdf/s00051314n	http://dbpedia.org/resource/Newline	line_feed
Location	28,29	bn:00051760n	Concept	[wn:00027167n]	http://babelnet.org/rdf/s00051760n	http://dbpedia.org/resource/Location_(geography)	location
Locations	31,32	bn:00051760n	Concept	[wn:00027167n]	http://babelnet.org/rdf/s00051760n	http://dbpedia.org/resource/Location_(geography)	location
NEWLINE	32,33	bn:00051314n	Concept	[wn:13508183n]	http://babelnet.org/rdf/s00051314n	http://dbpedia.org/resource/Newline	line_feed
Offense	33,34	bn:00023807n	Concept	[wn:00766234n]	http://babelnet.org/rdf/s00023807n	http://dbpedia.org/resource/Crime	crime
Aggravated Assault	35,37	bn:00002003n	Concept	[wn:00768063n]	http://babelnet.org/rdf/s00002003n	null	aggravated_assault
Weapon	38,39	bn:00005704n	Concept	[wn:04565375n]	http://babelnet.org/rdf/s00005704n	http://dbpedia.org/resource/Weapon	weapon
