     2017-02-10	        CD	      S-NP	         O	              -	(S1(NP*))

         Police	       NNS	      S-NP	         O	              -	(S1(NP(NP*)
              :	         :	         O	         O	              -	*
        17-year	        JJ	    B-ADJP	         O	              -	(ADJP(ADJP*
              -	         :	    I-ADJP	         O	              -	*
            old	        JJ	    I-ADJP	         O	              -	*)
        injured	       VBN	    E-ADJP	         O	              -	*
             in	        IN	      S-PP	         O	              -	(PP*
          North	       NNP	      B-NP	     B-LOC	              -	(NP*
        College	       NNP	      I-NP	     I-LOC	              -	*
           Hill	       NNP	      I-NP	     E-LOC	              -	*
       shooting	        NN	      E-NP	         O	              -	*)))))

              A	        DT	      B-NP	         O	              -	      B-A1	      B-A1	         O	(S1(S(S(SBAR(S(NP*
        17-year	        JJ	      E-NP	         O	              -	      I-A1	      I-A1	         O	(ADJP*
              -	         :	         O	         O	              -	      I-A1	      I-A1	         O	*
            old	        JJ	    S-ADJP	         O	              -	      E-A1	      I-A1	         O	*))
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	         O	(VP*
        injured	       VBN	      E-VP	         O	        injured	       S-V	      I-A1	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	      I-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A1	         O	(NP(NP*
         Friday	       NNP	      I-NP	         O	              -	  I-AM-TMP	      I-A1	         O	*
      afternoon	        NN	      I-NP	         O	              -	  I-AM-TMP	      I-A1	         O	*
       shooting	        NN	      E-NP	         O	              -	  I-AM-TMP	      I-A1	         O	*)
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	         O	(PP*
          North	       NNP	      B-NP	     B-LOC	              -	  I-AM-TMP	      I-A1	         O	(NP*
        College	       NNP	      I-NP	     I-LOC	              -	  I-AM-TMP	      I-A1	         O	*
           Hill	       NNP	      E-NP	     E-LOC	              -	  E-AM-TMP	      E-A1	         O	*))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	      S-A0	         O	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	         O	(VP*
        NEWLINE	       NNP	      B-NP	    B-MISC	              -	         O	      B-A1	      B-A1	(NP(NP*
  Advertisement	       NNP	      E-NP	    I-MISC	              -	         O	      I-A1	      I-A1	*
        NEWLINE	       NNP	      S-VP	    I-MISC	              -	         O	      I-A1	      I-A1	*)
            The	        DT	      B-NP	    E-MISC	              -	         O	      I-A1	      I-A1	(SBAR(S(NP*
       shooting	        NN	      E-NP	         O	              -	         O	      I-A1	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	      I-A1	         O	*
       reported	       VBN	      E-VP	         O	       reported	         O	      I-A1	       S-V	(VP*
         around	        IN	      S-PP	         O	              -	         O	      I-A1	  B-AM-TMP	(ADJP(QP*
           4:30	        CD	      B-NP	         O	              -	         O	      I-A1	  I-AM-TMP	*)
           p.m.	        RB	      E-NP	         O	              -	         O	      I-A1	  E-AM-TMP	*
           near	        IN	      S-PP	         O	              -	         O	      I-A1	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	         O	      I-A1	  I-AM-LOC	(NP(NP*
   intersection	        NN	      E-NP	         O	              -	         O	      I-A1	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	         O	      I-A1	  I-AM-LOC	(PP*
       Hamilton	       NNP	      B-NP	     S-LOC	              -	         O	      I-A1	  I-AM-LOC	(NP*
            and	        CC	      I-NP	         O	              -	         O	      I-A1	  I-AM-LOC	*
        Goodman	       NNP	      I-NP	     S-PER	              -	         O	      I-A1	  I-AM-LOC	*
        avenues	       NNS	      E-NP	         O	              -	         O	      I-A1	  E-AM-LOC	*)))))))))))
              .	         .	         O	         O	              -	         O	      I-A1	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	      E-A1	         O	(NP*)))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	(S1(S(NP*)
           said	       VBD	      S-VP	         O	           said	       S-V	         O	(VP*
           that	        IN	    S-SBAR	         O	              -	      B-A1	         O	(SBAR*
            the	        DT	      B-NP	         O	              -	      I-A1	      B-A0	(S(NP(NP(NP*
        17-year	        JJ	      E-NP	         O	              -	      I-A1	      I-A0	*)
              -	         :	         O	         O	              -	      I-A1	      I-A0	*
            old	        JJ	         O	         O	              -	      I-A1	      E-A0	(ADJP*
          taken	       VBN	      S-VP	         O	          taken	      I-A1	       S-V	*
             to	        TO	      S-PP	         O	              -	      I-A1	      B-A1	(PP*
     University	       NNP	      S-NP	     B-ORG	              -	      I-A1	      I-A1	(NP(NP*)
             of	        IN	      S-PP	     I-ORG	              -	      I-A1	      I-A1	(PP*
     Cincinnati	       NNP	      S-NP	     I-ORG	              -	      I-A1	      I-A1	(NP*
        Medical	       NNP	      B-NP	     I-ORG	              -	      I-A1	      I-A1	*
         Center	       NNP	      E-NP	     E-ORG	              -	      I-A1	      I-A1	*))))))
           with	        IN	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
        unknown	        JJ	      B-NP	         O	              -	      I-A1	      I-A1	(NP*
       injuries	       NNS	      E-NP	         O	              -	      I-A1	      E-A1	*)))
              .	         .	         O	         O	              -	      I-A1	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      E-A1	         O	(NP*))))))

            One	        CD	      B-NP	         O	              -	      B-A0	      B-A1	(S1(S(S(S(NP*
         person	        NN	      E-NP	         O	              -	      E-A0	      I-A1	*)
             is	       VBZ	      B-VP	         O	              -	         O	      I-A1	(VP*
      suspected	       VBN	      E-VP	         O	      suspected	       S-V	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
       shooting	        NN	      E-NP	         O	              -	  E-AM-LOC	      E-A1	*)))))
              ,	         ,	         O	         O	              -	         O	         O	*
    authorities	       NNS	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	       S-V	(NP*)))

         Anyone	        NN	      S-NP	         O	              -	      B-A2	         O	(S1(S(NP(NP*)
           with	        IN	      S-PP	         O	              -	      I-A2	         O	(PP*
    information	        NN	      S-NP	         O	              -	      I-A2	         O	(NP(NP*)
             on	        IN	      S-PP	         O	              -	      I-A2	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	         O	(NP*
       incident	        NN	      E-NP	         O	              -	      E-A2	         O	*)))))
             is	       VBZ	      B-VP	         O	              -	         O	         O	(VP*
          asked	       VBN	      E-VP	         O	          asked	       S-V	         O	(VP*
             to	        TO	      B-VP	         O	              -	      B-A1	         O	(S(VP*
        contact	        VB	      E-VP	         O	        contact	      I-A1	       S-V	(VP*
          Crime	       NNP	      B-NP	         O	              -	      I-A1	      B-A1	(NP*
       Stoppers	      NNPS	      E-NP	         O	              -	      I-A1	      E-A1	*)
             at	        IN	      S-PP	         O	              -	      I-A1	      B-A2	(PP*
            513	        CD	      B-NP	         O	              -	      I-A1	      I-A2	(NP*))
              -	         :	      I-NP	         O	              -	      I-A1	      I-A2	*
            352	        CD	      I-NP	         O	              -	      I-A1	      I-A2	(NP(NP*)
              -	         :	      I-NP	         O	              -	      I-A1	      I-A2	*
           3040	        CD	      E-NP	         O	              -	      E-A1	      E-A2	(NP*)))))))
              .	         .	         O	         O	              -	         O	         O	*))

