     2017-01-07	        CD	      S-NP	         O	              -	(S1(NP*))

          These	        DT	      S-NP	         O	              -	(S1(S(NP*)
            are	       VBP	      S-VP	         O	              -	(VP*
            the	        DT	      B-NP	         O	              -	(NP(NP*
        victims	       NNS	      E-NP	         O	              -	*)
             of	        IN	      S-PP	         O	              -	(PP*
            the	        DT	      B-NP	         O	              -	(NP*
           Fort	       NNP	      I-NP	     B-LOC	              -	*
     Lauderdale	       NNP	      I-NP	     E-LOC	              -	*
        airport	        NN	      I-NP	         O	              -	*
       shooting	        NN	      E-NP	         O	              -	*))))))

           1:56	        CD	      B-NP	         O	              -	         O	         O	         O	         O	  B-AM-TMP	         O	         O	         O	         O	         O	         O	(S1(S(NP(NP*
     Protesters	       NNS	      E-NP	         O	              -	         O	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*)
          march	        NN	      S-NP	         O	              -	         O	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP*)
        against	        IN	      S-PP	         O	              -	         O	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(PP*
          Trump	       NNP	      S-NP	     S-PER	              -	         O	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP(NP(NP*
             's	       POS	      B-NP	         O	              -	         O	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*)
    immigration	        NN	      I-NP	         O	              -	         O	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
          order	        NN	      E-NP	         O	              -	         O	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*)
             at	        IN	      S-PP	         O	              -	         O	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(PP*
          Miami	       NNP	      B-NP	     B-ORG	              -	      B-A0	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP*
  International	       NNP	      I-NP	     I-ORG	              -	      I-A0	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
        Airport	       NNP	      I-NP	     E-ORG	              -	      I-A0	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
          Pause	       NNP	      I-NP	         O	              -	      I-A0	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
        NEWLINE	       NNP	      I-NP	     S-ORG	              -	      I-A0	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
           0:41	        CD	      I-NP	         O	              -	      I-A0	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*
         Person	        NN	      E-NP	         O	              -	      E-A0	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*))))
       detained	       VBN	      S-VP	         O	       detained	       S-V	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(VP*
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(PP*
          hotel	        NN	      B-NP	         O	              -	  I-AM-TMP	      B-A0	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	(NP(NP*
       incident	        NN	      E-NP	         O	              -	  I-AM-TMP	      I-A0	         O	         O	  I-AM-TMP	         O	         O	         O	         O	         O	         O	*)
