     2017-02-09	        CD	      S-NP	         O	              -	(S1(NP*))

         Police	       NNS	      S-NP	         O	              -	      S-A0	(S1(S(NP*)
       identify	       VBP	      S-VP	         O	       identify	       S-V	(VP*
          three	        CD	    B-ADJP	         O	              -	      B-A1	(NP(NP*)
       possibly	        RB	    I-ADJP	         O	              -	      I-A1	(ADVP*)
    responsible	        JJ	    E-ADJP	         O	              -	      I-A1	(ADJP*
            for	        IN	      S-PP	         O	              -	      I-A1	(PP*
         deadly	        JJ	      B-NP	         O	              -	      I-A1	(NP*
           East	       NNP	      I-NP	     B-LOC	              -	      I-A1	*
      Cleveland	       NNP	      I-NP	     E-LOC	              -	      I-A1	*
            bar	        NN	      I-NP	         O	              -	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      E-A1	*)))))))

           EAST	       NNP	      B-NP	     B-LOC	              -	      B-A0	         O	(S1(S(NP(NP*
      CLEVELAND	       NNP	      I-NP	     E-LOC	              -	      I-A0	         O	*)
              ,	         ,	      I-NP	         O	              -	      I-A0	         O	*
           Ohio	       NNP	      I-NP	     S-LOC	              -	      I-A0	         O	(NP*)
              -	         :	      I-NP	         O	              -	      I-A0	         O	*
           East	       NNP	      I-NP	     B-LOC	              -	      I-A0	         O	(NP*
      Cleveland	       NNP	      I-NP	     E-LOC	              -	      I-A0	         O	*
         police	       NNS	      E-NP	         O	              -	      E-A0	         O	*))
           have	       VBP	      B-VP	         O	              -	         O	         O	(VP*
     identified	       VBN	      E-VP	         O	     identified	       S-V	         O	(VP*
          three	        CD	      B-NP	         O	              -	      B-A1	      B-A2	(SBAR(S(NP(NP*
            men	       NNS	      E-NP	         O	              -	      I-A1	      E-A2	*)
            who	        WP	      S-NP	         O	              -	      I-A1	    S-R-A2	(SBAR(WHNP*)
           they	       PRP	      S-NP	         O	              -	      I-A1	      S-A0	(S(NP*)
          think	       VBP	      S-VP	         O	          think	      I-A1	       S-V	(VP*))))
            are	       VBP	      S-VP	         O	              -	      I-A1	         O	(VP*
    responsible	        JJ	    S-ADJP	         O	              -	      I-A1	         O	(ADJP*
            for	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
             an	        DT	      B-NP	         O	              -	      I-A1	         O	(NP*
          early	        JJ	      I-NP	         O	              -	      I-A1	         O	*
      Wednesday	       NNP	      I-NP	         O	              -	      I-A1	         O	*
        morning	        NN	      I-NP	         O	              -	      I-A1	         O	*
         deadly	        JJ	      I-NP	         O	              -	      I-A1	         O	*
       shooting	        NN	      E-NP	         O	              -	      I-A1	         O	*)))
             at	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	         O	(NP*
           city	        NN	      I-NP	         O	              -	      I-A1	         O	*
            bar	        NN	      E-NP	         O	              -	      I-A1	         O	*
              .	         .	         O	         O	              -	      I-A1	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      E-A1	         O	*)))))))))

         Marvin	       NNP	      B-NP	     B-PER	              -	      B-A0	      B-A1	(S1(S(S(NP(NP(NP*
    Christopher	       NNP	      I-NP	     I-PER	              -	      I-A0	      I-A1	*
         Bryant	       NNP	      E-NP	     E-PER	              -	      I-A0	      I-A1	*)
