     2017-01-20	        CD	      S-NP	         O	              -	(S1(NP*))

         Police	       NNS	      S-NP	         O	              -	         O	(S1(NP(NP*)
              :	         :	         O	         O	              -	         O	*
              4	        CD	      B-NP	         O	              -	      B-A1	(NP(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	*)
           shot	       VBN	      S-VP	         O	           shot	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
      southeast	        JJ	      B-NP	         O	              -	  I-AM-LOC	(NP*
         Fresno	       NNP	      E-NP	     S-LOC	              -	  E-AM-LOC	*))))))

           0:24	        CD	      B-NP	         O	              -	      B-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	(S1(S(NP(NP*
         Police	       NNP	      E-NP	         O	              -	      E-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
    investigate	       VBP	      S-VP	         O	    investigate	       S-V	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
          scene	        NN	      S-NP	         O	              -	      B-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	(PP*
       shooting	       VBG	      S-VP	         O	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	(S(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	         O	         O	         O	         O	         O	         O	         O	         O	         O	(PP*
      southwest	        JJ	      B-NP	         O	              -	      I-A1	      B-A0	         O	         O	         O	         O	         O	         O	         O	         O	(NP*
         Fresno	       NNP	      I-NP	     S-LOC	              -	      I-A1	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	*
          Pause	       NNP	      I-NP	         O	              -	      I-A1	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	*
        NEWLINE	       NNP	      I-NP	     S-ORG	              -	      I-A1	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	*
           1:02	        CD	      I-NP	         O	              -	      I-A1	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	*
         Bandit	        NN	      E-NP	    S-MISC	              -	      I-A1	      E-A0	         O	         O	         O	         O	         O	         O	         O	         O	*))))))
           held	       VBD	      S-VP	         O	           held	      I-A1	       S-V	         O	         O	         O	         O	         O	         O	         O	         O	*
          knife	        NN	      S-NP	         O	              -	      I-A1	      S-A1	         O	         O	         O	         O	         O	         O	         O	         O	(S(VP*
             to	        TO	      S-PP	         O	              -	      I-A1	      B-A2	         O	         O	         O	         O	         O	         O	         O	         O	(PP*
         credit	        NN	      B-NP	         O	              -	      I-A1	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	(NP(NP*
          union	        NN	      I-NP	         O	              -	      I-A1	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	*
       employee	        NN	      E-NP	         O	              -	      I-A1	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	*
             's	       POS	      B-NP	         O	              -	      I-A1	      I-A2	         O	         O	         O	         O	         O	         O	         O	         O	*)
         throat	        NN	      E-NP	         O	              -	      E-A1	      E-A2	         O	         O	         O	         O	         O	         O	         O	         O	*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	         O	      S-A0	         O	         O	         O	         O	         O	         O	         O	*
            say	       VBP	      S-VP	         O	            say	         O	         O	       S-V	         O	         O	         O	         O	         O	         O	         O	*
        NEWLINE	        JJ	      B-NP	     S-ORG	              -	         O	         O	      B-A1	      B-A0	         O	         O	         O	         O	         O	         O	(NP*
           1:45	        CD	      I-NP	         O	              -	         O	         O	      I-A1	      I-A0	         O	         O	         O	         O	         O	         O	*
         Police	       NNP	      E-NP	         O	              -	         O	         O	      I-A1	      E-A0	         O	         O	         O	         O	         O	         O	*)
       describe	       VBP	      S-VP	         O	       describe	         O	         O	      I-A1	       S-V	         O	         O	         O	         O	         O	         O	*
        Central	       NNP	      B-NP	     B-LOC	              -	         O	         O	      I-A1	      B-A1	         O	         O	         O	         O	         O	         O	(NP*
         Fresno	       NNP	      I-NP	     E-LOC	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	*
          house	        NN	      I-NP	         O	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	*
           fire	        NN	      E-NP	         O	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	*
        NEWLINE	        NN	      S-VP	     S-ORG	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	*
           1:22	        CD	      B-NP	         O	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	*
         Fresno	       NNP	      I-NP	     S-LOC	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	*
        leaders	       NNS	      E-NP	         O	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	         O	         O	         O	*)
