     2017-03-16	        CD	      S-NP	         O	              -	(S1(NP*))

         5-Year	       SYM	      S-NP	         O	              -	(S1(NP(NP(ADJP*
              -	         :	         O	         O	              -	*
            Old	       NNP	      B-NP	         O	              -	*)
            Boy	       NNP	      E-NP	         O	              -	*
         Shoots	       NNP	      S-VP	         O	              -	*)
           Self	       NNP	      S-NP	         O	              -	(ADJP*
           With	        IN	      S-PP	         O	              -	(PP*
         Parent	        JJ	      B-NP	         O	              -	(NP*
           ’s	        NN	      I-NP	         O	              -	*
            Gun	        NN	      E-NP	         O	              -	*)))))

            CBS	       NNP	      B-NP	     S-ORG	              -	(S1(X(NP(NP*
         115233	        CD	      I-NP	         O	              -	*
         Bridge	       NNP	      I-NP	     B-LOC	              -	*
         Street	       NNP	      I-NP	     I-LOC	              -	*
           Fort	       NNP	      I-NP	     I-LOC	              -	*
          Worth	       NNP	      I-NP	     E-LOC	              -	*)
              ,	         ,	      I-NP	         O	              -	*
          Texas	       NNP	      I-NP	     S-ORG	              -	(NP(NP(NP*
          76103	        CD	      I-NP	         O	              -	*
          12001	        CD	      I-NP	         O	              -	*)
             N.	       NNP	      I-NP	     B-ORG	              -	*
        Central	       NNP	      I-NP	     I-ORG	              -	*
     Expressway	       NNP	      I-NP	     I-ORG	              -	*
          Suite	       NNP	      I-NP	     E-ORG	              -	*
           1300	        CD	      I-NP	         O	              -	(NP(NP*
         Dallas	       NNP	      I-NP	     S-LOC	              -	*)
              ,	         ,	      I-NP	         O	              -	*
          Texas	       NNP	      I-NP	     S-ORG	              -	(NP*
          75243	        CD	      I-NP	         O	              -	*
        Station	       NNP	      I-NP	         O	              -	*
          Phone	       NNP	      E-NP	         O	              -	*)))
              :	         :	         O	         O	              -	*
            817	        CD	      S-NP	         O	              -	(NP(NP(NP*)
              -	         :	         O	         O	              -	*
            451	        CD	      S-NP	         O	              -	(NP*)
              -	         :	         O	         O	              -	*
           1111	        CD	      B-NP	         O	              -	(NP*
           News	       NNP	      I-NP	         O	              -	*
           Tips	      NNPS	      E-NP	         O	              -	*))
              :	         :	         O	         O	              -	*
            817	        CD	      S-NP	         O	              -	(NP(NP*)
              -	         :	         O	         O	              -	*
            496	        CD	      S-NP	         O	              -	(NP*)))))
              -	         :	         O	         O	              -	*
           7711	        CD	      B-NP	         O	              -	(S(NP(ADJP*
  news@ktvt.com	        JJ	      I-NP	         O	              -	*)
ConsumerJustice@ktvt.com	       NNP	      I-NP	     B-ORG	              -	*)
