     2017-03-22	        CD	      S-NP	         O	              -	(S1(NP*))

            Two	        CD	      B-NP	         O	              -	(S1(S(NP*
          teens	       NNS	      E-NP	         O	              -	*)
           dead	        JJ	    S-ADJP	         O	              -	(ADJP*
          after	        IN	      S-PP	         O	              -	(PP*
     accidental	        JJ	      B-NP	         O	              -	(NP(NP*
       shooting	        NN	      E-NP	         O	              -	*)
             in	        IN	      S-PP	         O	              -	(PP*
          south	        JJ	      B-NP	     B-LOC	              -	(NP*
        Houston	       NNP	      E-NP	     E-LOC	              -	*)))))))

          Photo	       NNP	      S-NP	         O	              -	(S1(NP(NP*)
              :	         :	         O	         O	              -	*
      Godofredo	        JJ	      B-NP	     B-PER	              -	(NP(NP*
             A.	        NN	      I-NP	     I-PER	              -	*
        Vasquez	       NNP	      I-NP	     E-PER	              -	*
          Image	       NNP	      I-NP	         O	              -	*
              1	        CD	      E-NP	         O	              -	*)
             of	        IN	      S-PP	         O	              -	(PP*
              /	         #	      B-NP	         O	              -	*
             11	        CD	      I-NP	         O	              -	(NP*
        Caption	        NN	      E-NP	         O	              -	*)))))

          Close	        JJ	      B-NP	         O	              -	      B-A0	         O	(S1(S(NP(NP*
        NEWLINE	       NNP	      I-NP	         O	              -	      I-A0	         O	*
          Image	       NNP	      I-NP	         O	              -	      I-A0	         O	*
              1	        CD	      E-NP	         O	              -	      I-A0	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
             11	        CD	      B-NP	         O	              -	      I-A0	         O	(NP*
        Houston	       NNP	      I-NP	     B-ORG	              -	      I-A0	         O	*
         Police	       NNP	      E-NP	     E-ORG	              -	      E-A0	         O	*)))
    investigate	       VBP	      S-VP	         O	    investigate	       S-V	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	(NP(NP*
          scene	        NN	      E-NP	         O	              -	      I-A1	         O	*)
          where	       WRB	    S-ADVP	         O	              -	      I-A1	         O	(SBAR(WHADVP*)
            two	        CD	      B-NP	         O	              -	      I-A1	      B-A1	(S(NP*
            men	       NNS	      E-NP	         O	              -	      I-A1	      E-A1	*)
           died	       VBD	      S-VP	         O	           died	      I-A1	       S-V	(VP*
           from	        IN	      S-PP	         O	              -	      I-A1	      B-A3	(PP*
        gunshot	        NN	      B-NP	         O	              -	      I-A1	      I-A3	(NP*
