     2017-01-03	        CD	      S-NP	         O	              -	(S1(NP*))

              4	        CD	      S-NP	         O	              -	      S-A1	(S1(X(S(NP*)
         killed	       VBD	      S-VP	         O	         killed	       S-V	(VP*))
              ,	         ,	         O	         O	              -	         O	*
             11	        CD	      S-NP	         O	              -	         O	(ADJP(NP*)
        wounded	       VBN	      S-VP	         O	              -	         O	*
             in	        IN	      S-PP	         O	              -	         O	(PP*
           city	        NN	      B-NP	         O	              -	         O	(NP*
      shootings	       NNS	      E-NP	         O	              -	         O	*)))
        Tuesday	       NNP	      S-NP	         O	              -	         O	(NP*)))

              4	        CD	      S-NP	         O	              -	      S-A1	         O	         O	(S1(S(S(NP*)
         killed	       VBD	      S-VP	         O	         killed	       S-V	         O	         O	(VP*))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
             11	        CD	      S-NP	         O	              -	         O	         O	         O	(ADJP(ADJP(NP*)
        wounded	       VBN	      S-VP	         O	              -	         O	         O	         O	*
             in	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
           city	        NN	      B-NP	         O	              -	         O	         O	         O	(NP*
      shootings	       NNS	      E-NP	         O	              -	         O	         O	         O	*))
        Tuesday	       NNP	      B-NP	         O	              -	         O	         O	         O	(NP*))
        NEWLINE	       NNP	      I-NP	    B-MISC	              -	         O	         O	         O	*)
           Four	       NNP	      I-NP	    E-MISC	              -	         O	      B-A1	         O	(S(NP*
         people	       NNS	      E-NP	         O	              -	         O	      E-A1	         O	*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
         killed	       VBN	      E-VP	         O	         killed	         O	       S-V	         O	(VP*)))
            and	        CC	         O	         O	              -	         O	         O	         O	*
             at	        IN	      B-NP	         O	              -	         O	         O	      B-A1	(S(NP(QP*
          least	       JJS	      I-NP	         O	              -	         O	         O	      I-A1	*
             11	        CD	      I-NP	         O	              -	         O	         O	      I-A1	*)
         others	       NNS	      E-NP	         O	              -	         O	         O	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	(VP*
        wounded	       VBN	      E-VP	         O	        wounded	         O	         O	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	         O	         O	  B-AM-LOC	(PP*
      shootings	       NNS	      S-NP	         O	              -	         O	         O	  I-AM-LOC	(NP*))
        Tuesday	       NNP	      S-NP	         O	              -	         O	         O	  I-AM-LOC	(NP*)
         across	        IN	      S-PP	         O	              -	         O	         O	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	  I-AM-LOC	(NP(NP*
           city	        NN	      E-NP	         O	              -	         O	         O	  I-AM-LOC	*)
           ’s	        JJ	    S-ADJP	         O	              -	         O	         O	  I-AM-LOC	*
          South	       NNP	      B-NP	     S-LOC	              -	         O	         O	  I-AM-LOC	(ADJP*
            and	        CC	      I-NP	         O	              -	         O	         O	  I-AM-LOC	*
           West	       NNP	      I-NP	     S-LOC	              -	         O	         O	  I-AM-LOC	*)
          sides	       NNS	      E-NP	         O	              -	         O	         O	  E-AM-LOC	*)))))
              .	         .	         O	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	         O	(NP*)))

           Most	       RBS	    B-ADVP	         O	              -	  B-AM-TMP	(S1(S(ADVP*
       recently	        RB	    E-ADVP	         O	              -	  E-AM-TMP	*)
              ,	         ,	         O	         O	              -	         O	*
            two	        CD	      B-NP	         O	              -	      B-A1	(NP*
       brothers	       NNS	      E-NP	         O	              -	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	(VP*
         killed	       VBN	      E-VP	         O	         killed	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
          Homan	       NNP	      I-NP	    B-MISC	              -	  I-AM-LOC	*
         Square	       NNP	      I-NP	    E-MISC	              -	  I-AM-LOC	*
   neighborhood	        NN	      I-NP	         O	              -	  I-AM-LOC	*
       shooting	        NN	      E-NP	         O	              -	  I-AM-LOC	*))
             on	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	*
           Side	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

       Officers	       NNS	      S-NP	         O	              -	      S-A0	         O	      B-A0	         O	(S1(S(S(NP(NP*)
     responding	       VBG	      S-VP	         O	     responding	       S-V	         O	      I-A0	         O	(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	      I-A0	         O	(PP*
          11:13	        CD	      B-NP	         O	              -	  I-AM-TMP	         O	      I-A0	         O	(NP*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	      I-A0	         O	*))
             to	        TO	      S-PP	         O	              -	      B-A1	         O	      I-A0	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	         O	      I-A0	         O	(NP(NP*
           call	        NN	      E-NP	         O	              -	      I-A1	         O	      I-A0	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	      I-A0	         O	(PP*
          shots	       NNS	      S-NP	         O	              -	      I-A1	      S-A1	      I-A0	         O	(NP(NP*)
          fired	       VBN	      S-VP	         O	          fired	      I-A1	       S-V	      I-A0	         O	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	  B-AM-LOC	      I-A0	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A0	         O	(NP(NP*
           3200	        CD	      I-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A0	         O	*
          block	        NN	      E-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A0	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	      I-A0	         O	(PP*
           West	       NNP	      B-NP	     B-LOC	              -	      I-A1	  I-AM-LOC	      I-A0	         O	(NP*
      Lexington	       NNP	      E-NP	     E-LOC	              -	      E-A1	  E-AM-LOC	      E-A0	         O	*)))))))))))
          found	       VBD	      S-VP	         O	          found	         O	         O	       S-V	         O	(VP*
            the	        DT	      B-NP	         O	              -	         O	         O	      B-A1	      B-A1	(S(NP*
            men	       NNS	      E-NP	         O	              -	         O	         O	      I-A1	      E-A1	*)
          lying	       VBG	      S-VP	         O	          lying	         O	         O	      I-A1	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	         O	         O	      I-A1	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	      I-A1	  I-AM-LOC	(NP*
         street	        NN	      E-NP	         O	              -	         O	         O	      I-A1	  E-AM-LOC	*))))))
              ,	         ,	         O	         O	              -	         O	         O	      I-A1	         O	(PP*
      according	       VBG	      S-PP	         O	              -	         O	         O	      I-A1	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	         O	      I-A1	         O	(PP*
        Chicago	       NNP	      B-NP	     B-ORG	              -	         O	         O	      I-A1	         O	(NP*
         Police	       NNP	      I-NP	     E-ORG	              -	         O	         O	      I-A1	         O	*
              .	         .	      I-NP	         O	              -	         O	         O	      I-A1	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	         O	         O	      E-A1	         O	*))))))

       Simmieon	       NNP	      B-NP	     B-PER	              -	      B-A1	         O	      B-A0	         O	(S1(S(S(NP(NP*
       Mcgruder	       NNP	      E-NP	     E-PER	              -	      I-A1	         O	      I-A0	         O	*)
              ,	         ,	         O	         O	              -	      I-A1	         O	      I-A0	         O	*
             23	        CD	      S-NP	         O	              -	      I-A1	         O	      I-A0	         O	(NP*)
              ,	         ,	         O	         O	              -	      E-A1	         O	      E-A0	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	         O	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	         O	         O	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	         O	         O	(NP*
           head	        NN	      E-NP	         O	              -	  I-AM-LOC	         O	         O	         O	*)))))
            and	        CC	         O	         O	              -	  I-AM-LOC	         O	         O	         O	*
           left	       VBN	      B-VP	         O	           left	  I-AM-LOC	       S-V	         O	         O	(S(PP(NX*
            arm	        NN	      I-VP	         O	              -	  I-AM-LOC	      S-A1	         O	         O	*)
            and	        CC	      I-VP	         O	              -	  I-AM-LOC	         O	         O	         O	*
          taken	       VBN	      E-VP	         O	          taken	  I-AM-LOC	         O	       S-V	         O	(PP*
             to	        TO	      S-PP	         O	              -	  I-AM-LOC	         O	      B-A1	         O	(PP(PP*
          Mount	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	         O	      I-A1	  B-AM-LOC	(NP(NP*
          Sinai	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	         O	      I-A1	  I-AM-LOC	*
