     2017-03-13	        CD	      S-NP	         O	              -	(S1(NP*))

        15-year	       SYM	      S-NP	         O	              -	      B-A0	      B-A0	(S1(S(NP(NP(ADJP*
              -	         :	         O	         O	              -	      I-A0	      I-A0	*
            old	        JJ	      B-NP	         O	              -	      I-A0	      I-A0	*)
            boy	        NN	      E-NP	         O	              -	      E-A0	      I-A0	*)
     critically	        RB	      B-VP	         O	              -	  S-AM-MNR	      I-A0	(VP(ADVP*)
        injured	       VBN	      E-VP	         O	        injured	       S-V	      I-A0	*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A0	(PP*
  Massachusetts	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A0	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      E-A0	*))))
          shoot	       VBP	      S-VP	         O	          shoot	         O	       S-V	(VP*
              -	         :	         O	         O	              -	         O	         O	*
           WTOC	       NNP	      B-NP	         O	              -	      B-A0	      B-A1	(NP(NP(NP*)
              -	         :	      I-NP	         O	              -	      I-A0	      I-A1	*
             TV	        NN	      E-NP	         O	              -	      I-A0	      I-A1	(NP*))
              :	         :	         O	         O	              -	      I-A0	      I-A1	*
       Savannah	       NNP	      B-NP	     S-LOC	              -	      I-A0	      I-A1	(NP(NP*)
              ,	         ,	      I-NP	         O	              -	      I-A0	      I-A1	*
       Beaufort	       NNP	      I-NP	     S-LOC	              -	      I-A0	      I-A1	(NP*)
              ,	         ,	      I-NP	         O	              -	      I-A0	      I-A1	*
             SC	       NNP	      I-NP	     S-ORG	              -	      I-A0	      I-A1	(NP*
              ,	         ,	      I-NP	         O	              -	      I-A0	      I-A1	*
           News	       NNP	      I-NP	     B-ORG	              -	      I-A0	      I-A1	*
              ,	         ,	      I-NP	     I-ORG	              -	      I-A0	      I-A1	*
        Weather	       NNP	      I-NP	     I-ORG	              -	      I-A0	      I-A1	*
              &	        CC	      I-NP	     I-ORG	              -	      I-A0	      I-A1	*
         Sports	      NNPS	      E-NP	     E-ORG	              -	      E-A0	      E-A1	*))))))

       Savannah	       NNP	      S-NP	     S-LOC	              -	         O	         O	         O	(S1(S(NP*)
              -	         :	         O	         O	              -	         O	         O	         O	*
        Chatham	       NNP	      B-NP	     B-ORG	              -	      B-A0	         O	         O	(S(NP*
          Metro	       NNP	      I-NP	     I-ORG	              -	      I-A0	         O	         O	*
         Police	       NNP	      E-NP	     E-ORG	              -	      E-A0	         O	         O	*)
            are	       VBP	      B-VP	         O	              -	         O	         O	         O	(VP*
  investigating	       VBG	      E-VP	         O	  investigating	       S-V	         O	         O	(VP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP(NP(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A1	         O	         O	*)
             on	        IN	      S-PP	         O	              -	      I-A1	         O	         O	(PP*
  Massachusetts	       NNP	      B-NP	     B-LOC	              -	      I-A1	         O	         O	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	      I-A1	         O	         O	*))
           that	       WDT	      S-NP	         O	              -	      I-A1	    S-R-A0	         O	(SBAR(WHNP*)
           left	       VBD	      S-VP	         O	           left	      I-A1	       S-V	         O	(S(VP*
              a	        DT	      B-NP	         O	              -	      I-A1	      B-A1	      B-A1	(NP(NP*
        15-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	      I-A1	(ADJP*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	      I-A1	*)
            boy	        NN	      E-NP	         O	              -	      I-A1	      E-A1	      E-A1	*)
     critically	        RB	    B-ADJP	         O	              -	      I-A1	      B-A2	  S-AM-MNR	(VP(ADVP*)
        injured	       VBN	    E-ADJP	         O	        injured	      I-A1	      E-A2	       S-V	*))))))
              ,	         ,	         O	         O	              -	      I-A1	         O	         O	*
         Monday	       NNP	      B-NP	         O	              -	      I-A1	         O	         O	(NP*
          night	        NN	      E-NP	         O	              -	      E-A1	         O	         O	*)))))
              .	         .	         O	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	         O	(NP*)))

       Officers	       NNS	      S-NP	         O	              -	      S-A0	      S-A0	(S1(S(NP*)
      responded	       VBD	      S-VP	         O	      responded	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	      B-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	         O	(NP(NP*
           home	        NN	      E-NP	         O	              -	      E-A1	         O	*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
           2000	        CD	      I-NP	         O	              -	  I-AM-LOC	         O	*
          block	        NN	      E-NP	         O	              -	  E-AM-LOC	         O	*))
         around	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
           6:30	        CD	      B-NP	         O	              -	  I-AM-TMP	         O	(NP*
           p.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	*))))
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
      receiving	       VBG	      S-VP	         O	      receiving	  I-AM-TMP	       S-V	(S(VP*
        reports	       NNS	      S-NP	         O	              -	  I-AM-TMP	      B-A1	(NP(NP*)
             of	        IN	      S-PP	         O	              -	  I-AM-TMP	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP*
       shooting	        NN	      E-NP	         O	              -	  E-AM-TMP	      E-A1	*)))))))
              .	         .	         O	         O	              -	         O	         O	*))

     Reportedly	        RB	    S-ADVP	         O	              -	         O	(S1(S(S(ADVP*)
              ,	         ,	         O	         O	              -	         O	*
              a	        DT	      B-NP	         O	              -	         O	(NP(NP*
          group	        NN	      E-NP	         O	              -	         O	*)
             of	        IN	      S-PP	         O	              -	         O	(PP*
          teens	       NNS	      S-NP	         O	              -	         O	(NP*)))
           were	       VBD	      S-VP	         O	              -	         O	(VP*
             in	        IN	      S-PP	         O	              -	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	(NP*
           home	        NN	      E-NP	         O	              -	         O	*))
           when	       WRB	    S-ADVP	         O	              -	S-R-AM-TMP	(SBAR(WHADVP*)
            the	        DT	      B-NP	         O	              -	      B-A1	(S(NP*
       shooting	        NN	      E-NP	         O	              -	      E-A1	*)
       happened	       VBD	      S-VP	         O	       happened	       S-V	(VP*)))))
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	(NP*)))

            The	        DT	      B-NP	         O	              -	      B-A1	(S1(S(NP(NP*
  circumstances	       NNS	      E-NP	         O	              -	      E-A1	*)
    surrounding	       VBG	      S-VP	         O	    surrounding	       S-V	(VP*
            the	        DT	      B-NP	         O	              -	      B-A2	(NP*
       shooting	        NN	      E-NP	         O	              -	      E-A2	*)))
            are	       VBP	      S-VP	         O	              -	         O	(VP*
          still	        RB	    S-ADVP	         O	              -	         O	(ADVP*)
          under	        IN	      S-PP	         O	              -	         O	(PP*
  investigation	        NN	      S-NP	         O	              -	         O	(NP*)))
              .	         .	         O	         O	              -	         O	*))

     Detectives	       NNS	      S-NP	         O	              -	      S-A0	(S1(S(NP*)
             do	       VBP	      B-VP	         O	              -	         O	(VP*
            not	        RB	      I-VP	         O	              -	  S-AM-NEG	*
        believe	        VB	      E-VP	         O	        believe	       S-V	(VP*
           this	        DT	      S-NP	         O	              -	      B-A1	(SBAR(S(NP*)
             is	       VBZ	      S-VP	         O	              -	      I-A1	(VP*
              a	        DT	      B-NP	         O	              -	      I-A1	(NP*
         random	        JJ	      I-NP	         O	              -	      I-A1	*
       shooting	        NN	      I-NP	         O	              -	      E-A1	*
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	      S-A0	*))))))))

              #	       SYM	      B-NP	         O	              -	         O	(S1(NP(NP*
    SCMPDUpdate	       NNP	      I-NP	    B-MISC	              -	         O	*)
            One	        CD	      I-NP	    E-MISC	              -	         O	(NP(NP*
           male	        NN	      I-NP	         O	              -	         O	*
           shot	        NN	      E-NP	         O	              -	         O	*)
              ,	         ,	         O	         O	              -	         O	*
           life	        NN	      S-NP	         O	              -	         O	(NP*)
              -	         :	         O	         O	              -	         O	*
    threatening	        JJ	      B-NP	         O	              -	      B-A1	(NP*
         injury	        NN	      E-NP	         O	              -	      E-A1	*)
              ,	         ,	         O	         O	              -	         O	*
          taken	       VBN	      S-VP	         O	          taken	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	      B-A2	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	(NP*
       hospital	        NN	      E-NP	         O	              -	      E-A2	*))))
              .	         .	         O	         O	              -	         O	*))

     Detectives	       NNS	      S-NP	         O	              -	      S-A0	(S1(S(NP*)
    questioning	       VBG	      S-VP	         O	    questioning	       S-V	(VP*
              a	        DT	      B-NP	         O	              -	      B-A1	(NP(NP*
              "	        JJ	      I-NP	         O	              -	      I-A1	*
         person	        NN	      E-NP	         O	              -	      I-A1	*)
           with	        IN	      S-PP	         O	              -	      I-A1	(PP*
      knowledge	        NN	      S-NP	         O	              -	      E-A1	(NP(NP*)
              "	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
pic.twitter.com/OTXgn6nLQ8	        JJ	      B-NP	    B-MISC	              -	  I-AM-LOC	(NP(NP(NP(ADJP*
            —	        JJ	      I-NP	    I-MISC	              -	  I-AM-LOC	*)
          SCMPD	       NNP	      E-NP	    E-MISC	              -	  I-AM-LOC	*)
              (	     -LRB-	         O	         O	              -	  I-AM-LOC	(PRN*
         @scmpd	        NN	      S-NP	         O	              -	  I-AM-LOC	*
              )	     -RRB-	         O	         O	              -	  I-AM-LOC	*)
          March	       NNP	      B-NP	         O	              -	  I-AM-LOC	(NP*
             13	        CD	      I-NP	         O	              -	  I-AM-LOC	*))
              ,	         ,	      I-NP	         O	              -	  I-AM-LOC	*
           2017	        CD	      I-NP	         O	              -	  I-AM-LOC	(NP*
        NEWLINE	        NN	      E-NP	     S-ORG	              -	  E-AM-LOC	*)))))))))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	(S1(S(NP*)
            are	       VBP	      B-VP	         O	              -	         O	         O	(VP*
         asking	       VBG	      E-VP	         O	         asking	       S-V	         O	(VP*
         anyone	        NN	      S-NP	         O	              -	      S-A2	      S-A0	(NP*)
           with	        IN	      S-PP	         O	              -	      B-A1	         O	(PP*
    information	        NN	      S-NP	         O	              -	      I-A1	         O	(NP(NP*)
             to	        TO	      B-VP	         O	              -	      I-A1	         O	(S(VP*
           call	        VB	      E-VP	         O	           call	      I-A1	       S-V	(VP*
            911	        CD	      S-NP	         O	              -	      I-A1	      B-A1	(NP(NP*)
             or	        CC	         O	         O	              -	      I-A1	      I-A1	*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	(NP*
          SCMPD	       NNP	      I-NP	     S-LOC	              -	      I-A1	      I-A1	*
            tip	        NN	      I-NP	         O	              -	      I-A1	      I-A1	*
           line	        NN	      E-NP	         O	              -	      I-A1	      E-A1	*))
             at	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
   912.525.3124	        CD	      S-NP	         O	              -	      E-A1	         O	(NP*)))))))))
              .	         .	         O	         O	              -	         O	         O	*))

