     2017-03-04	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	       NNP	      S-NP	         O	              -	      S-A0	      B-A1	      S-A0	(S1(S(NP*)
          found	       VBD	      S-VP	         O	          found	       S-V	      I-A1	         O	(VP(VP*
           dead	        JJ	    S-ADJP	         O	              -	      S-A3	      I-A1	         O	(S(ADJP*))
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	         O	(PP*
          Chili	       NNP	      S-NP	     S-LOC	              -	  I-AM-LOC	      I-A1	         O	(NP(NP*
             's	       POS	      B-NP	         O	              -	  I-AM-LOC	      I-A1	         O	*)
        parking	        NN	      I-NP	         O	              -	  I-AM-LOC	      I-A1	         O	*
            lot	        NN	      E-NP	         O	              -	  I-AM-LOC	      E-A1	         O	*)))
     identified	       VBN	      S-VP	         O	     identified	  I-AM-LOC	       S-V	         O	(VP*
              ;	         :	         O	         O	              -	  I-AM-LOC	         O	         O	*
       shooting	       VBG	      S-VP	         O	       shooting	  I-AM-LOC	         O	       S-V	(S(VP*
           happ	        NN	      S-NP	         O	              -	  I-AM-LOC	         O	      B-A1	(NP(NP(NP*)
              -	         :	         O	         O	              -	  I-AM-LOC	         O	      I-A1	*
      wave3.com	        NN	      S-NP	         O	              -	  I-AM-LOC	         O	      I-A1	(NP*))
              -	         :	         O	         O	              -	  I-AM-LOC	         O	      I-A1	*
     Louisville	       NNP	      B-NP	     B-ORG	              -	  I-AM-LOC	         O	      I-A1	(NP(NP*
           News	       NNP	      E-NP	     E-ORG	              -	  I-AM-LOC	         O	      I-A1	*)
              ,	         ,	         O	         O	              -	  I-AM-LOC	         O	      I-A1	*
        Weather	       NNP	      B-NP	     B-ORG	              -	  I-AM-LOC	         O	      I-A1	(NP*
              &	        CC	      I-NP	     I-ORG	              -	  I-AM-LOC	         O	      I-A1	*
         Sports	      NNPS	      E-NP	     E-ORG	              -	  E-AM-LOC	         O	      E-A1	*)))))))))

            Two	        CD	      B-NP	         O	              -	      B-A1	      B-A0	(S1(S(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	      E-A0	*)
           were	       VBD	      B-VP	         O	              -	         O	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	         O	(VP(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP(NP*
           3100	        CD	      I-NP	         O	              -	  I-AM-LOC	         O	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	         O	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	(PP*
           Dell	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	         O	(NP*
          Brook	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	         O	*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	         O	*)))))
              ,	         ,	         O	         O	              -	         O	         O	*
           then	        RB	    S-ADVP	         O	              -	         O	  S-AM-TMP	(ADVP*)
          drove	       VBD	      S-VP	         O	          drove	         O	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	         O	      B-A1	(PP*
          Chili	       NNP	      S-NP	     S-ORG	              -	         O	      I-A1	(NP*
             's	       POS	      S-NP	         O	              -	         O	      E-A1	*))
            for	        IN	      S-PP	         O	              -	         O	  B-AM-PNC	(PP*
           help	        NN	      S-NP	         O	              -	         O	  E-AM-PNC	(NP*))
              ,	         ,	         O	         O	              -	         O	         O	*
      according	       VBG	      S-PP	         O	              -	         O	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	         O	(PP*
         police	        NN	      S-NP	         O	              -	         O	         O	(NP*))))))
              .	         .	         O	         O	              -	         O	         O	*))

              (	     -LRB-	         O	         O	              -	         O	(S1(S*
         Source	        NN	      S-NP	         O	              -	         O	(NP*)
              :	         :	         O	         O	              -	         O	*
         Google	       NNP	      B-NP	     B-ORG	              -	      B-A1	(S(NP*
           Maps	      NNPS	      E-NP	     E-ORG	              -	      I-A1	*)
              )	     -RRB-	         O	         O	              -	      I-A1	*
        NEWLINE	       NNP	      B-NP	     B-ORG	              -	      I-A1	(VP*
     LOUISVILLE	       NNP	      E-NP	     E-ORG	              -	      I-A1	(SBAR(S(NP(NP*)
              ,	         ,	         O	         O	              -	      I-A1	*
             KY	       NNP	      S-NP	         O	              -	      I-A1	(NP(NP*)
              (	     -LRB-	         O	         O	              -	      I-A1	(PRN*
           WAVE	        NN	      S-NP	         O	              -	      I-A1	(NP*)
              )	     -RRB-	         O	         O	              -	      I-A1	*))
              -	         :	         O	         O	              -	      I-A1	*
            New	        JJ	      B-NP	         O	              -	      I-A1	(NP(NP*
        details	       NNS	      E-NP	         O	              -	      I-A1	*)
          about	        IN	      S-PP	         O	              -	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	(NP(NP*
         deadly	        JJ	      I-NP	         O	              -	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      I-A1	*)
             in	        IN	      S-PP	         O	              -	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	(NP*
            Bon	       NNP	      I-NP	     B-LOC	              -	      I-A1	*
            Air	       NNP	      I-NP	     E-LOC	              -	      I-A1	*
   neighborhood	        NN	      E-NP	         O	              -	      E-A1	*))))))
           have	       VBP	      B-VP	         O	              -	         O	(VP*
           been	       VBN	      I-VP	         O	              -	         O	(VP*
       released	       VBN	      E-VP	         O	       released	       S-V	(VP*
             by	        IN	      S-PP	         O	              -	      B-A0	(PP*
         police	        NN	      B-NP	         O	              -	      E-A0	(NP*
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	         O	*)))))))))))

            Two	        CD	      B-NP	         O	              -	      B-A1	(S1(S(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	(VP*
          found	       VBN	      E-VP	         O	          found	       S-V	(SBAR(S*
           shot	        NN	      S-VP	         O	              -	      S-A1	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
            car	        NN	      E-NP	         O	              -	  I-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP(NP*
        parking	        NN	      I-NP	         O	              -	  I-AM-LOC	*
            lot	        NN	      E-NP	         O	              -	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP(NP*
          Chili	       NNP	      E-NP	     S-ORG	              -	  I-AM-LOC	*
             's	       POS	      B-NP	         O	              -	  I-AM-LOC	*)
     restaurant	        NN	      E-NP	         O	              -	  I-AM-LOC	*))))
             at	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP(NP*
   intersection	        NN	      E-NP	         O	              -	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
      Bardstown	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
           Road	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	*
            and	        CC	      I-NP	         O	              -	  I-AM-LOC	*
          Hikes	       NNP	      I-NP	         O	              -	  I-AM-LOC	*
           Lane	       NNP	      E-NP	         O	              -	  E-AM-LOC	*))))
           just	        RB	    S-ADVP	         O	              -	  B-AM-TMP	(PP*
          after	        IN	      S-PP	         O	              -	  I-AM-TMP	*
             11	        CD	      B-NP	         O	              -	  I-AM-TMP	(NP(NP*
           p.m.	        NN	      E-NP	         O	              -	  I-AM-TMP	*)
             on	        IN	      S-PP	         O	              -	  I-AM-TMP	(PP*
       Saturday	       NNP	      B-NP	         O	              -	  E-AM-TMP	(NP*)))))))))
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	      S-A1	(NP*)))

      Troyshawn	       NNP	      B-NP	     B-PER	              -	      B-A1	(S1(S(NP(NP*
          Young	       NNP	      I-NP	     E-PER	              -	      I-A1	*)
              ,	         ,	      I-NP	         O	              -	      I-A1	*
             17	        CD	      E-NP	         O	              -	      I-A1	(NP*)
              ,	         ,	         O	         O	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
     pronounced	       VBN	      E-VP	         O	     pronounced	       S-V	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      S-A2	(ADJP*)
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
          scene	        NN	      E-NP	         O	              -	  E-AM-LOC	*))))
              .	         .	         O	         O	              -	         O	*))

             He	       PRP	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
           died	       VBD	      S-VP	         O	           died	       S-V	(VP*
           from	        IN	      S-PP	         O	              -	      B-A3	(PP(PP*
       multiple	        JJ	      B-NP	         O	              -	      I-A3	(NP*
        gunshot	        NN	      I-NP	         O	              -	      I-A3	*
         wounds	       NNS	      E-NP	         O	              -	      E-A3	*))
             to	        TO	      S-PP	         O	              -	      B-A4	(PP*
            the	        DT	      B-NP	         O	              -	      I-A4	(NP*
           body	        NN	      E-NP	         O	              -	      E-A4	*))
              ,	         ,	         O	         O	              -	         O	*
      according	       VBG	      S-PP	         O	              -	  B-AM-ADV	(PP*
             to	        TO	      S-PP	         O	              -	  I-AM-ADV	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-ADV	(NP(NP*
      Jefferson	       NNP	      I-NP	     B-ORG	              -	  I-AM-ADV	*
         County	       NNP	      I-NP	     I-ORG	              -	  I-AM-ADV	*
        Coroner	       NNP	      E-NP	     I-ORG	              -	  I-AM-ADV	*
             's	       POS	      B-NP	     I-ORG	              -	  I-AM-ADV	*)
         Office	       NNP	      E-NP	     E-ORG	              -	  I-AM-ADV	*
              .	         .	         O	         O	              -	  I-AM-ADV	*
        NEWLINE	       NNP	         O	     S-ORG	              -	  E-AM-ADV	*)))))))
