     2017-04-04	        CD	      S-NP	         O	              -	(S1(NP*))

            Two	        CD	      B-NP	         O	              -	      B-A0	         O	(S1(NP(NP(NP*
           shot	        NN	      E-NP	         O	              -	      I-A0	         O	*)
             in	        IN	      S-PP	         O	              -	      I-A0	         O	(PP*
         Austin	       NNP	      S-NP	     S-LOC	              -	      I-A0	         O	(NP*)))
              :	         :	         O	         O	              -	      I-A0	         O	*
              '	        ''	         O	         O	              -	      I-A0	         O	(S*
            The	        DT	      B-NP	         O	              -	      I-A0	         O	(NP*
          world	        NN	      E-NP	         O	              -	      E-A0	         O	*)
          needs	       VBZ	      S-VP	         O	          needs	       S-V	         O	(VP*
             to	        TO	      B-VP	         O	              -	  B-AM-PNC	         O	(S(VP*
            see	        VB	      E-VP	         O	            see	  I-AM-PNC	       S-V	(VP*
             it	       PRP	      S-NP	         O	              -	  E-AM-PNC	      S-A1	(NP*)))))
              '	        ''	         O	         O	              -	         O	         O	*)))

           Dion	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	(S1(S(NP*
         Stokes	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	*
        playing	       VBG	      E-VP	         O	        playing	       S-V	         O	*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(NP*
           game	        NN	      E-NP	         O	              -	      E-A1	         O	*)
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
         mobile	        JJ	      I-NP	         O	              -	  I-AM-LOC	         O	*
          phone	        NN	      E-NP	         O	              -	  E-AM-LOC	         O	*))
          early	        JJ	      B-NP	         O	              -	  B-AM-TMP	         O	*
      Wednesday	       NNP	      E-NP	         O	              -	  E-AM-TMP	         O	(NP*)
           when	       WRB	    S-ADVP	         O	              -	  B-AM-TMP	         O	(WHADVP*)
        gunfire	        NN	      S-NP	         O	              -	  I-AM-TMP	      S-A1	(NP*)
        erupted	       VBD	      S-VP	         O	        erupted	  I-AM-TMP	       S-V	*
           near	        IN	      S-PP	         O	              -	  I-AM-TMP	  B-AM-LOC	(PP*
            his	      PRP$	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
           West	       NNP	      I-NP	     B-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           Side	       NNP	      I-NP	     E-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
           home	        NN	      E-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	  I-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	(NP*
         Austin	       NNP	      I-NP	     S-LOC	              -	  I-AM-TMP	  I-AM-LOC	*
   neighborhood	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-LOC	*
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	*))))

              "	        ``	         O	         O	              -	         O	         O	(S1(S(S(ADVP*)
              I	       PRP	      S-NP	         O	              -	      S-A1	         O	(NP*)
            got	       VBD	      S-VP	         O	            got	       B-V	         O	(VP*
           down	        RB	    S-ADVP	         O	              -	       E-V	         O	(ADVP*)))
              ,	         ,	         O	         O	              -	         O	         O	*
              "	        FW	      B-NP	         O	              -	         O	         O	(NP*
         Stokes	       NNP	      E-NP	     S-PER	              -	         O	      S-A0	*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

              "	        LS	         O	         O	              -	         O	(S1(X(X*)
              (	     -LRB-	         O	         O	              -	         O	(PRN*
             It	       PRP	      S-NP	         O	              -	         O	(NP*)
           ’s	        NN	      S-VP	         O	              -	         O	(NP*)
              )	     -RRB-	         O	         O	              -	         O	*)
            the	        DT	      B-NP	         O	              -	      B-A1	(NP(NP*
           only	        JJ	      I-NP	         O	              -	      I-A1	*
       reaction	        NN	      E-NP	         O	              -	      E-A1	*)
              I	       PRP	      S-NP	         O	              -	      S-A0	(SBAR(S(NP*)
           know	       VBP	      S-VP	         O	           know	       S-V	(VP*))))
              .	         .	         O	         O	              -	         O	*
              "	        ''	         O	         O	              -	    B-C-A1	(NP*
        NEWLINE	       NNP	         O	     S-ORG	              -	    E-C-A1	*)))

              A	        DT	      B-NP	         O	              -	      B-A1	(S1(S(S(NP(NP*
        16-year	        JJ	      I-NP	         O	              -	      I-A1	*
              -	         :	      I-NP	         O	              -	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	*
            boy	        NN	      E-NP	         O	              -	      I-A1	*)
            and	        CC	         O	         O	              -	      I-A1	*
              a	        DT	      B-NP	         O	              -	      I-A1	(NP*
        19-year	        JJ	      I-NP	         O	              -	      I-A1	*
              -	         :	      I-NP	         O	              -	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	*
            man	        NN	      E-NP	         O	              -	      I-A1	*))
           were	       VBD	      S-VP	         O	              -	      I-A1	(VP*
           each	        DT	      B-NP	         O	              -	      I-A1	(NP*
           shot	        NN	      E-NP	         O	              -	      I-A1	*)
             in	        IN	      S-PP	         O	              -	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	(NP*
            leg	        NN	      E-NP	         O	              -	      I-A1	*))
           just	        RB	    S-ADVP	         O	              -	      I-A1	(PP(ADVP*)
         before	        IN	      S-PP	         O	              -	      I-A1	*
           1:45	        CD	      B-NP	         O	              -	      I-A1	(NP*
           a.m.	        NN	      E-NP	         O	              -	      E-A1	*))))
              ,	         ,	         O	         O	              -	         O	*
        Chicago	       NNP	      B-NP	     S-LOC	              -	      B-A0	(NP*
         police	        NN	      E-NP	         O	              -	      E-A0	*)
           said	       VBD	      S-VP	         O	           said	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	*))

           They	       PRP	      S-NP	         O	              -	      S-A0	(S1(S(NP*)
           were	       VBD	      B-VP	         O	              -	         O	*
        walking	       VBG	      E-VP	         O	        walking	       S-V	*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP(NP*
            800	        CD	      I-NP	         O	              -	  I-AM-LOC	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
          North	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
       Parkside	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	*))))
           when	       WRB	    S-ADVP	         O	              -	  B-AM-TMP	(WHADVP*)
        someone	        NN	      S-NP	         O	              -	  I-AM-TMP	(NP(NP(NP*)
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	(NP*
            red	        JJ	      I-NP	         O	              -	  I-AM-TMP	*
            van	        NN	      I-NP	         O	              -	  I-AM-TMP	*
           shot	        NN	      E-NP	         O	              -	  I-AM-TMP	*)))
             at	        IN	      S-PP	         O	              -	  I-AM-TMP	(PP*
           them	       PRP	      S-NP	         O	              -	  E-AM-TMP	(NP*)))
