     2017-01-12	        CD	      S-NP	         O	              -	(S1(NP*))

            SPD	       NNP	      B-NP	     S-ORG	              -	         O	         O	         O	         O	(S1(NP(NP*
          Chief	       NNP	      E-NP	         O	              -	         O	         O	         O	         O	*)
              :	         :	         O	         O	              -	         O	         O	         O	         O	*
       Brothers	       NNS	      S-NP	     S-PER	              -	      S-A0	      B-A1	      B-A1	         O	(S(S(NP*)
         killed	       VBN	      S-VP	         O	         killed	       S-V	      E-A1	      E-A1	         O	(VP*
           were	       VBD	      B-VP	         O	              -	         O	         O	         O	         O	*
          lured	       VBN	      E-VP	         O	          lured	         O	       S-V	         O	         O	(VP*
             to	        TO	      S-PP	         O	              -	         O	      B-A2	         O	         O	(PP*
          Grant	       NNP	      B-NP	     B-PER	              -	         O	      I-A2	         O	         O	(NP*
            Ave	       NNP	      E-NP	     E-PER	              -	         O	      I-A2	         O	         O	*))
              ,	         ,	         O	         O	              -	         O	      I-A2	         O	         O	*
           shot	       VBN	      S-VP	         O	           shot	         O	      I-A2	       S-V	         O	(VP*
         during	        IN	      S-PP	         O	              -	         O	      I-A2	  B-AM-TMP	         O	(PP*
        robbery	        NN	      S-NP	         O	              -	         O	      E-A2	  E-AM-TMP	         O	(NP*))))))
              ;	         :	         O	         O	              -	         O	         O	         O	         O	*
              3	        CD	      S-NP	         O	              -	         O	         O	         O	      S-A1	(S(NP*)
       arrested	       VBN	      S-VP	         O	       arrested	         O	         O	         O	         O	(VP*)))))

       Syracuse	       NNP	      B-NP	     S-LOC	              -	      B-A0	         O	         O	         O	(S1(S(NP*
         Police	       NNP	      I-NP	         O	              -	      I-A0	         O	         O	         O	*
          Chief	       NNP	      I-NP	         O	              -	      I-A0	         O	         O	         O	*
          Frank	       NNP	      I-NP	     B-PER	              -	      I-A0	         O	         O	         O	*
         Fowler	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	         O	         O	*)
           says	       VBZ	      S-VP	         O	           says	       S-V	         O	         O	         O	*
            the	        DT	      B-NP	         O	              -	      B-A1	      B-A1	      B-A1	      B-A1	(NP(NP*
            two	        CD	      I-NP	         O	              -	      I-A1	      I-A1	      I-A1	      I-A1	*
       brothers	       NNS	      E-NP	         O	              -	      I-A1	      E-A1	      I-A1	      I-A1	*)
            who	        WP	      S-NP	         O	              -	      I-A1	    S-R-A1	      I-A1	      I-A1	(SBAR(WHNP*)
           were	       VBD	      B-VP	         O	              -	      I-A1	         O	      I-A1	      I-A1	(S(VP*
        fatally	        RB	      I-VP	         O	              -	      I-A1	  S-AM-MNR	      I-A1	      I-A1	(ADVP*)
           shot	       VBN	      E-VP	         O	           shot	      I-A1	       S-V	      I-A1	      I-A1	(VP*
             on	        IN	      S-PP	         O	              -	      I-A1	  B-AM-LOC	      I-A1	      I-A1	(PP*
          Grant	       NNP	      B-NP	     B-LOC	              -	      I-A1	  I-AM-LOC	      I-A1	      I-A1	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	      I-A1	  E-AM-LOC	      I-A1	      I-A1	*))
             on	        IN	      S-PP	         O	              -	      I-A1	  B-AM-TMP	      I-A1	      I-A1	(PP*
        Tuesday	       NNP	      S-NP	         O	              -	      I-A1	  E-AM-TMP	      E-A1	      E-A1	(NP*)))))))
            had	       VBD	      B-VP	         O	              -	      I-A1	         O	         O	         O	*
           been	       VBN	      I-VP	         O	              -	      I-A1	         O	         O	         O	*
          lured	       VBN	      E-VP	         O	          lured	      I-A1	         O	       B-V	         O	*
           down	        RP	    S-ADVP	         O	              -	      I-A1	         O	       E-V	         O	(ADVP*)
          there	        RB	    S-ADVP	         O	              -	      I-A1	         O	  S-AM-LOC	         O	(ADVP*)
             to	        TO	      B-VP	         O	              -	      I-A1	         O	  B-AM-PNC	         O	*
             be	        VB	      I-VP	         O	              -	      I-A1	         O	  I-AM-PNC	         O	*
         robbed	       VBN	      E-VP	         O	         robbed	      I-A1	         O	  E-AM-PNC	       S-V	*
              .	         .	         O	         O	              -	      I-A1	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      E-A1	         O	         O	         O	(NP*)))

         During	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	(S1(S(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	         O	         O	(NP*
           news	        NN	      I-NP	         O	              -	  I-AM-TMP	         O	         O	*
     conference	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	         O	*))
       Thursday	       NNP	      B-NP	         O	              -	  B-AM-TMP	         O	         O	(NP*
        morning	        NN	      I-NP	         O	              -	  E-AM-TMP	         O	         O	*
          Chief	       NNP	      I-NP	         O	              -	      B-A0	         O	         O	*
         Fowler	       NNP	      E-NP	     S-PER	              -	      E-A0	         O	         O	*)
      announced	       VBD	      S-VP	         O	      announced	       S-V	         O	         O	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	         O	(NP(NP*
        arrests	       NNS	      E-NP	         O	              -	      I-A1	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	         O	(PP*
          three	        CD	      B-NP	         O	              -	      I-A1	      B-A0	         O	(NP(NP*
       suspects	       NNS	      E-NP	         O	              -	      I-A1	      E-A0	         O	*)
              ,	         ,	         O	         O	              -	      I-A1	         O	         O	*
            all	        DT	      S-NP	         O	              -	      I-A1	    B-R-A0	    B-R-A0	(SBAR(WHNP(NP*)
             of	        IN	      S-PP	         O	              -	      I-A1	    I-R-A0	    I-R-A0	(WHPP*
           whom	        WP	      S-NP	         O	              -	      I-A1	    E-R-A0	    E-R-A0	(WHNP*)))
            are	       VBP	      B-VP	         O	              -	      I-A1	         O	         O	(S(VP*
         facing	       VBG	      E-VP	         O	         facing	      I-A1	       S-V	         O	(VP(VP*
         murder	        NN	      S-NP	         O	              -	      I-A1	      S-A1	         O	(NP*))
            and	        CC	         O	         O	              -	      I-A1	         O	         O	*
      attempted	       VBD	      S-VP	         O	      attempted	      I-A1	         O	       S-V	(NP*
        robbery	        NN	      B-NP	         O	              -	      I-A1	         O	      B-A1	*
        charges	       NNS	      E-NP	         O	              -	      E-A1	         O	      E-A1	*)))))))))
              .	         .	         O	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	         O	(NP*)))

            The	        DT	      B-NP	         O	              -	      B-A1	         O	         O	         O	         O	         O	(S1(S(S(NP*
       suspects	       NNS	      E-NP	         O	              -	      E-A1	         O	         O	         O	         O	         O	*)
           have	       VBP	      B-VP	         O	              -	         O	         O	         O	         O	         O	         O	(VP*
           been	       VBN	      I-VP	         O	              -	         O	         O	         O	         O	         O	         O	(VP*
          named	       VBN	      E-VP	         O	          named	       S-V	         O	         O	         O	         O	         O	(VP*
             as	        IN	      S-PP	         O	              -	      B-A2	         O	         O	         O	         O	         O	(PP*
        17-year	        JJ	      B-NP	         O	              -	      I-A2	         O	         O	         O	         O	         O	(NP(ADJP*
              -	         :	      I-NP	         O	              -	      I-A2	         O	         O	         O	         O	         O	*
            old	        JJ	      I-NP	         O	              -	      I-A2	      B-A1	      B-A0	         O	         O	         O	*)
     Sheahonnie	       NNP	      I-NP	     B-PER	              -	      I-A2	      I-A1	      I-A0	         O	         O	         O	*
          Davis	       NNP	      I-NP	     E-PER	              -	      E-A2	      I-A1	      I-A0	         O	         O	         O	*
              ,	         ,	      I-NP	         O	              -	         O	      I-A1	      I-A0	         O	         O	         O	*
        19-year	        JJ	      I-NP	         O	              -	         O	      I-A1	      I-A0	         O	         O	         O	(ADJP*
              -	         :	      I-NP	         O	              -	         O	      I-A1	      I-A0	         O	         O	         O	*
            old	        JJ	      I-NP	         O	              -	         O	      I-A1	      I-A0	         O	         O	         O	*)
        Toriano	       NNP	      I-NP	     B-PER	              -	         O	      I-A1	      I-A0	         O	         O	         O	(NX*
         Newson	       NNP	      I-NP	     E-PER	              -	         O	      I-A1	      I-A0	         O	         O	         O	*)))))))
            and	        CC	      I-NP	         O	              -	         O	      I-A1	      I-A0	         O	         O	         O	*
        23-year	        JJ	      I-NP	         O	              -	         O	      I-A1	      I-A0	         O	         O	         O	(ADJP*)
              -	         :	      I-NP	         O	              -	         O	      I-A1	      I-A0	         O	         O	         O	*
            old	        JJ	      I-NP	         O	              -	         O	      I-A1	      I-A0	         O	         O	         O	(S(NP*
         Curtis	       NNP	      I-NP	     B-PER	              -	         O	      I-A1	      I-A0	         O	         O	         O	*
          Paige	       NNP	      I-NP	     I-PER	              -	         O	      I-A1	      I-A0	         O	         O	         O	*
           III.	       NNP	      I-NP	     I-PER	              -	         O	      I-A1	      I-A0	         O	         O	         O	*
        NEWLINE	       NNP	      I-NP	     I-PER	              -	         O	      I-A1	      I-A0	         O	         O	         O	*
         Newson	       NNP	      E-NP	     E-PER	              -	         O	      E-A1	      E-A0	         O	         O	         O	*)
             is	       VBZ	      B-VP	         O	              -	         O	         O	         O	         O	         O	         O	(VP*
        accused	       VBN	      E-VP	         O	        accused	         O	       S-V	         O	         O	         O	         O	(VP*
             of	        IN	      S-PP	         O	              -	         O	      B-A2	         O	         O	         O	         O	(PP*
         firing	       VBG	      S-VP	         O	         firing	         O	      I-A2	       S-V	         O	         O	         O	(S(VP*
            the	        DT	      B-NP	         O	              -	         O	      I-A2	      B-A1	      B-A0	         O	         O	(NP(NP(NP*
          shots	       NNS	      E-NP	         O	              -	         O	      I-A2	      I-A1	      E-A0	         O	         O	*)
           that	       WDT	      S-NP	         O	              -	         O	      I-A2	      I-A1	    S-R-A0	         O	         O	(SBAR(WHNP*)
         killed	       VBD	      S-VP	         O	         killed	         O	      I-A2	      I-A1	       S-V	         O	         O	(S(VP*
        17-year	        JJ	      B-NP	         O	              -	         O	      I-A2	      I-A1	      B-A1	         O	         O	(S(ADJP*))))))
              -	         :	      I-NP	         O	              -	         O	      I-A2	      I-A1	      I-A1	         O	         O	(PP*
            old	        JJ	      I-NP	         O	              -	         O	      I-A2	      I-A1	      I-A1	         O	         O	(NP(NP*
         Daniel	       NNP	      I-NP	     B-PER	              -	         O	      I-A2	      I-A1	      I-A1	         O	         O	*
           Diaz	       NNP	      E-NP	     E-PER	              -	         O	      I-A2	      I-A1	      E-A1	         O	         O	*)
              -	         :	         O	         O	              -	         O	      I-A2	      I-A1	         O	         O	         O	*
        Marrero	       NNP	      B-NP	     S-PER	              -	         O	      I-A2	      I-A1	         O	         O	         O	(VP(NP*)
            and	        CC	      I-NP	         O	              -	         O	      I-A2	      I-A1	         O	         O	         O	*
        19-year	        JJ	      I-NP	         O	              -	         O	      I-A2	      I-A1	         O	         O	         O	(VP(VP*
              -	         :	      I-NP	         O	              -	         O	      I-A2	      I-A1	         O	         O	         O	*
            old	        JJ	      I-NP	         O	              -	         O	      I-A2	      I-A1	         O	         O	         O	(NP(NP*
         Ismael	       NNP	      I-NP	     B-PER	              -	         O	      I-A2	      I-A1	         O	         O	         O	*
           Diaz	       NNP	      E-NP	     E-PER	              -	         O	      I-A2	      I-A1	         O	         O	         O	*)
              -	         :	         O	         O	              -	         O	      I-A2	      I-A1	         O	         O	         O	*
        Marrero	       NNP	      S-NP	     S-PER	              -	         O	      I-A2	      I-A1	         O	         O	         O	(NP*)))
              ,	         ,	         O	         O	              -	         O	      I-A2	      I-A1	         O	         O	         O	*
            and	        CC	         O	         O	              -	         O	      I-A2	      I-A1	         O	         O	         O	*
            has	       VBZ	      B-VP	         O	              -	         O	      I-A2	      I-A1	         O	         O	         O	(VP*
           been	       VBN	      I-VP	         O	              -	         O	      I-A2	      I-A1	         O	         O	         O	(VP*
        charged	       VBN	      E-VP	         O	        charged	         O	      I-A2	      I-A1	         O	       S-V	         O	(VP*
           with	        IN	      S-PP	         O	              -	         O	      I-A2	      I-A1	         O	      B-A2	         O	(PP*
            two	        CD	      B-NP	         O	              -	         O	      I-A2	      I-A1	         O	      I-A2	         O	(NP(NP*
         counts	       NNS	      E-NP	         O	              -	         O	      I-A2	      I-A1	         O	      I-A2	         O	*)
             of	        IN	      S-PP	         O	              -	         O	      I-A2	      I-A1	         O	      I-A2	         O	(PP*
          first	        JJ	      B-NP	         O	              -	         O	      I-A2	      I-A1	         O	      I-A2	         O	(UCP(ADJP*)
              -	         :	      I-NP	         O	              -	         O	      I-A2	      I-A1	         O	      I-A2	         O	*
         degree	        NN	      I-NP	         O	              -	         O	      I-A2	      I-A1	         O	      I-A2	         O	(NP*
         murder	        NN	      I-NP	         O	              -	         O	      I-A2	      I-A1	         O	      I-A2	         O	*)
            and	        CC	      I-NP	         O	              -	         O	      I-A2	      I-A1	         O	      I-A2	         O	*
          first	        JJ	      I-NP	         O	              -	         O	      I-A2	      I-A1	         O	      I-A2	         O	(ADJP*)
