     2017-03-15	        CD	      S-NP	         O	              -	(S1(NP*))

          Teens	       NNS	      S-NP	         O	              -	      B-A0	  B-AM-LOC	(S1(S(S(NP(NP(NP*
              '	       POS	      B-NP	         O	              -	      I-A0	  I-AM-LOC	*)
          house	        NN	      I-NP	         O	              -	      I-A0	  I-AM-LOC	*
          party	        NN	      E-NP	         O	              -	      I-A0	  I-AM-LOC	*)
             in	        IN	      S-PP	         O	              -	      I-A0	  I-AM-LOC	(PP*
          South	       NNP	      B-NP	     B-LOC	              -	      I-A0	  I-AM-LOC	(NP*
      Anchorage	       NNP	      E-NP	     E-LOC	              -	      E-A0	  I-AM-LOC	*)))
         turned	       VBD	      S-VP	         O	         turned	       S-V	  I-AM-LOC	(VP*
           into	        IN	      S-PP	         O	              -	      B-A2	  I-AM-LOC	(PP*
       shootout	        NN	      S-NP	         O	              -	      E-A2	  E-AM-LOC	(NP*))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	       NNS	      S-NP	         O	              -	         O	      S-A0	(NP*)
            say	       VBP	      S-VP	         O	            say	         O	         O	(VP*)))

              "	       SYM	         O	         O	              -	         O	      B-A0	      B-A1	(S1(S(S(S(VP*
            One	        CD	      S-NP	         O	              -	         O	      I-A0	      I-A1	(NP(NP*)
             of	        IN	      S-PP	         O	              -	         O	      I-A0	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	      I-A0	      I-A1	(NP*
     partygoers	       NNS	      E-NP	         O	              -	         O	      I-A0	      I-A1	*)))))
              ,	         ,	         O	         O	              -	         O	      I-A0	      I-A1	*
            and	        CC	         O	         O	              -	         O	      I-A0	      I-A1	*
            one	        CD	      S-NP	         O	              -	         O	      I-A0	      I-A1	(S(NP(NP(NP*)
             of	        IN	      S-PP	         O	              -	         O	      I-A0	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	      I-A0	      I-A1	(NP*
         people	       NNS	      E-NP	         O	              -	         O	      I-A0	      I-A1	*))
           from	        IN	      S-PP	         O	              -	         O	      I-A0	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	      I-A0	      I-A1	(NP*
          newly	        RB	      I-NP	         O	              -	  S-AM-TMP	      I-A0	      I-A1	(ADJP*
        arrived	       VBN	      I-NP	         O	        arrived	       S-V	      I-A0	      I-A1	*)
          group	        NN	      E-NP	         O	              -	      S-A1	      I-A0	      I-A1	*)))
              ,	         ,	         O	         O	              -	         O	      E-A0	      I-A1	*)
            got	       VBD	      S-VP	         O	            got	         O	       S-V	      I-A1	(VP*
           into	        IN	      S-PP	         O	              -	         O	      B-A2	      I-A1	(PP*
