     2017-02-08	        CD	      S-NP	         O	              -	(S1(NP*))

        Madison	       NNP	      B-NP	     B-ORG	              -	      B-A0	(S1(S(NP*
         County	       NNP	      I-NP	     E-ORG	              -	      I-A0	*
       deputies	       NNS	      E-NP	         O	              -	      E-A0	*)
    investigate	       VBP	      S-VP	         O	    investigate	       S-V	(VP*
       apparent	        JJ	      B-NP	         O	              -	      B-A1	(NP(NP*
           case	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
        Russian	        JJ	      B-NP	    S-MISC	              -	      I-A1	(NP*
       roulette	        NN	      E-NP	         O	              -	      E-A1	*))))))

            The	        DT	      B-NP	         O	              -	      B-A0	         O	      B-A1	(S1(S(S(S(NP*
        Madison	       NNP	      I-NP	     B-LOC	              -	      I-A0	         O	      I-A1	*
         County	       NNP	      I-NP	     I-LOC	              -	      I-A0	         O	      I-A1	*
        Sheriff	       NNP	      I-NP	     I-LOC	              -	      I-A0	         O	      I-A1	*
           ’s	       NNP	      I-NP	     I-LOC	              -	      I-A0	         O	      I-A1	*
         Office	       NNP	      E-NP	     E-LOC	              -	      E-A0	         O	      I-A1	*)
             is	       VBZ	      B-VP	         O	              -	         O	         O	      I-A1	(VP*
  investigating	       VBG	      E-VP	         O	  investigating	       S-V	         O	      I-A1	(VP*
            the	        DT	      B-NP	         O	              -	      B-A1	         O	      I-A1	(NP(NP*
        gunshot	        NN	      I-NP	         O	              -	      I-A1	         O	      I-A1	*
          death	        NN	      E-NP	         O	              -	      I-A1	         O	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	         O	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	         O	      I-A1	(NP*
       teenager	        NN	      E-NP	         O	              -	      I-A1	         O	      I-A1	*))
             at	        IN	      S-PP	         O	              -	      I-A1	         O	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	      B-A1	      I-A1	(NP(NP*
       birthday	        NN	      I-NP	         O	              -	      I-A1	      I-A1	      I-A1	*
          party	        NN	      E-NP	         O	              -	      I-A1	      E-A1	      I-A1	*)
        outside	        IN	      S-PP	         O	              -	      I-A1	         O	      I-A1	(PP*
   Danielsville	       NNP	      B-NP	     S-LOC	              -	      I-A1	         O	      I-A1	(NP*
         Sunday	       NNP	      I-NP	         O	              -	      I-A1	         O	      I-A1	*
          night	        NN	      E-NP	         O	              -	      I-A1	         O	      I-A1	*))
           that	       WDT	      S-NP	         O	              -	      I-A1	    S-R-A1	      I-A1	(SBAR(WHNP*)
        appears	       VBZ	      B-VP	         O	        appears	      I-A1	       S-V	      I-A1	(S(VP*
             to	        TO	      I-VP	         O	              -	      I-A1	    B-C-A1	      I-A1	(S(VP*
             be	        VB	      E-VP	         O	              -	      I-A1	    I-C-A1	      I-A1	(VP*
              a	        DT	      B-NP	         O	              -	      I-A1	    I-C-A1	      I-A1	(NP(NP*
           case	        NN	      E-NP	         O	              -	      I-A1	    I-C-A1	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	    I-C-A1	      I-A1	(PP*
        Russian	        JJ	      B-NP	    S-MISC	              -	      I-A1	    I-C-A1	      I-A1	(NP*
       roulette	        NN	      E-NP	         O	              -	      E-A1	    E-C-A1	      E-A1	*)))))))))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
    authorities	       NNS	      S-NP	         O	              -	         O	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      S-A0	         O	       S-V	(NP*)))

            The	        DT	      B-NP	         O	              -	      B-A1	(S1(S(S(NP(NP*
          death	        NN	      E-NP	         O	              -	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
         Rodney	       NNP	      B-NP	     B-PER	              -	      I-A1	(NP*
         Howard	       NNP	      I-NP	     I-PER	              -	      I-A1	*
            Jr.	       NNP	      E-NP	     E-PER	              -	      I-A1	*))
              ,	         ,	         O	         O	              -	      I-A1	*
             19	        CD	      S-NP	         O	              -	      I-A1	(NP*)
              ,	         ,	         O	         O	              -	      I-A1	*
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
   Clarkesville	       NNP	      S-NP	     S-LOC	              -	      E-A1	(NP*)))
        appears	       VBZ	      B-VP	         O	        appears	       S-V	(VP*
             to	        TO	      I-VP	         O	              -	    B-C-A1	(S(VP*
             be	        VB	      E-VP	         O	              -	    I-C-A1	(VP*
     accidental	        JJ	    S-ADJP	         O	              -	    E-C-A1	(ADJP*))))))
              ,	         ,	         O	         O	              -	         O	*
        Sheriff	       NNP	      B-NP	         O	              -	         O	(NP*
           ’s	        NN	      I-NP	         O	              -	         O	*
   Investigator	       NNP	      I-NP	         O	              -	         O	*
             Lt	       NNP	      E-NP	     S-ORG	              -	         O	*)
              .	         .	         O	         O	              -	         O	*))

          Steve	       NNP	      B-NP	     B-PER	              -	      B-A0	(S1(S(NP*
         Kimbel	       NNP	      E-NP	     E-PER	              -	      E-A0	*)
           said	       VBD	      S-VP	         O	           said	       S-V	(VP*
      Wednesday	       NNP	      B-NP	         O	              -	  S-AM-TMP	(NP(NP*)
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	       S-V	(NP*)))))

            The	        DT	      B-NP	         O	              -	      B-A1	      B-A1	(S1(S(NP*
       shooting	        NN	      I-NP	         O	              -	      I-A1	      I-A1	*
          death	        NN	      E-NP	         O	              -	      E-A1	      E-A1	*)
       occurred	       VBD	      S-VP	         O	       occurred	       S-V	         O	(VP*
             at	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	      B-A1	(NP(NP*
           home	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             on	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
       Peaceful	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	(NP*
           Lane	       NNP	      E-NP	     E-LOC	              -	  I-AM-LOC	      E-A1	*))))
              ,	         ,	         O	         O	              -	  I-AM-LOC	         O	*
        located	       VBN	      S-VP	         O	        located	  I-AM-LOC	       S-V	(VP*
          along	        IN	      S-PP	         O	              -	  I-AM-LOC	  B-AM-LOC	(PP*
             an	        DT	      B-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(NP(NP*
        unpaved	        JJ	      I-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*
           road	        NN	      I-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	*)
          north	        NN	      E-NP	         O	              -	  I-AM-LOC	  I-AM-LOC	(ADVP*
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	  I-AM-LOC	(PP*
   Danielsville	       NNP	      S-NP	     S-LOC	              -	  E-AM-LOC	  E-AM-LOC	(NP*)))))))
              .	         .	         O	         O	              -	         O	         O	*))

              A	        DT	      B-NP	         O	              -	      B-A1	      B-A0	(S1(S(NP*
         deputy	        NN	      E-NP	         O	              -	      E-A1	      E-A0	*)
        arrived	       VBD	      S-VP	         O	        arrived	       S-V	         O	(VP*
             at	        IN	      S-PP	         O	              -	      B-A4	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A4	         O	(NP*
          house	        NN	      E-NP	         O	              -	      E-A4	         O	*))
             to	        TO	      B-VP	         O	              -	  B-AM-PNC	         O	(S(VP*
           find	        VB	      E-VP	         O	           find	  I-AM-PNC	       S-V	(VP*
            the	        DT	      B-NP	         O	              -	  I-AM-PNC	      B-A1	(NP(NP*
         victim	        NN	      E-NP	         O	              -	  I-AM-PNC	      I-A1	*)
             on	        IN	      S-PP	         O	              -	  I-AM-PNC	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-PNC	      I-A1	(NP*
        bedroom	        NN	      I-NP	         O	              -	  I-AM-PNC	      I-A1	*
          floor	        NN	      E-NP	         O	              -	  I-AM-PNC	      I-A1	*))
           with	        IN	      S-PP	         O	              -	  I-AM-PNC	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-PNC	      I-A1	(NP(NP*
          small	        JJ	      I-NP	         O	              -	  I-AM-PNC	      I-A1	*
        caliber	        NN	      I-NP	         O	              -	  I-AM-PNC	      I-A1	*
        handgun	        NN	      E-NP	         O	              -	  I-AM-PNC	      I-A1	*)
           next	        JJ	    S-ADVP	         O	              -	  I-AM-PNC	      I-A1	(ADVP*
             to	        TO	      S-PP	         O	              -	  I-AM-PNC	      I-A1	(PP*
            him	       PRP	      S-NP	         O	              -	  E-AM-PNC	      E-A1	(NP*)))))))))
              ,	         ,	         O	         O	              -	         O	         O	*
      according	       VBG	      S-PP	         O	              -	         O	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	         O	         O	(NP*
         report	        NN	      E-NP	         O	              -	         O	         O	*))))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	         O	(NP*)))

         Howard	       NNP	      S-NP	     S-PER	              -	         O	      B-A1	(S1(S(NP*)
            was	       VBD	      S-VP	         O	              -	         O	      I-A1	*
             in	        IN	      S-PP	         O	              -	         O	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	         O	      I-A1	(NP*
        bedroom	        NN	      E-NP	         O	              -	         O	      I-A1	*))
            and	        CC	         O	         O	              -	         O	      I-A1	*
          about	        IN	      B-NP	         O	              -	         O	      I-A1	(S(NP(QP*
              a	        DT	      I-NP	         O	              -	         O	      I-A1	*
          dozen	        NN	      I-NP	         O	              -	         O	      I-A1	*)
         people	       NNS	      E-NP	         O	              -	         O	      I-A1	*)
           were	       VBD	      S-VP	         O	              -	         O	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	         O	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	         O	      I-A1	(NP*
          house	        NN	      E-NP	         O	              -	         O	      I-A1	*))
              ,	         ,	         O	         O	              -	         O	      I-A1	*
           when	       WRB	    S-ADVP	         O	              -	S-R-AM-TMP	      I-A1	(SBAR(WHADVP*)
            the	        DT	      B-NP	         O	              -	      B-A1	      I-A1	(S(NP*
       shooting	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*)
       occurred	       VBD	      S-VP	         O	       occurred	       S-V	      E-A1	(VP*)))))
              ,	         ,	         O	         O	              -	         O	         O	*
            the	        DT	      B-NP	         O	              -	         O	      B-A0	(NP*
         deputy	        NN	      E-NP	         O	              -	         O	      E-A0	*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

              A	        DT	      B-NP	         O	              -	      B-A0	         O	         O	         O	         O	         O	         O	(S1(S(NP*
