     2017-01-03	        CD	      S-NP	         O	              -	(S1(NP*))

            Oak	       NNP	      B-NP	     B-LOC	              -	      B-A1	      B-A0	(S1(NP(NP*
           Hill	       NNP	      I-NP	     E-LOC	              -	      I-A1	      I-A0	*
            man	        NN	      E-NP	         O	              -	      E-A1	      E-A0	*)
   hospitalized	       VBN	      S-VP	         O	   hospitalized	       S-V	         O	(ADJP*
      following	       VBG	      S-PP	         O	      following	  B-AM-TMP	       S-V	(PP*
       accident	        NN	      S-NP	         O	              -	  E-AM-TMP	      S-A2	(NP*)))))

        Success	        NN	      S-NP	         O	              -	(S1(INTJ*
              !	         .	         O	         O	              -	*))

             An	        DT	      B-NP	         O	              -	      B-A1	         O	(S1(S(NP*
          email	        NN	      E-NP	         O	              -	      E-A1	         O	*)
            has	       VBZ	      B-VP	         O	              -	         O	         O	(VP*
           been	       VBN	      I-VP	         O	              -	         O	         O	(VP*
           sent	       VBN	      E-VP	         O	           sent	       S-V	         O	(VP*
           with	        IN	      S-PP	         O	              -	      B-A2	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A2	         O	(NP*
           link	        NN	      E-NP	         O	              -	      I-A2	         O	*))
             to	        TO	      B-VP	         O	              -	      I-A2	         O	(S(VP*
        confirm	        VB	      E-VP	         O	        confirm	      I-A2	       S-V	(VP*
           list	        NN	      B-NP	         O	              -	      I-A2	      B-A1	(NP*
         signup	        NN	      E-NP	         O	              -	      E-A2	      E-A1	*)))))))
              .	         .	         O	         O	              -	         O	         O	*))

