     2017-01-23	        CD	      S-NP	         O	              -	(S1(NP*))

           Teen	       NNP	      S-NP	         O	              -	      S-A1	(S1(S(NP*)
           shot	       VBD	      S-VP	         O	           shot	       S-V	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      S-A3	(ADJP*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP(PP*
          drive	        NN	      S-NP	         O	              -	  E-AM-LOC	(NP*))
              -	         :	         O	         O	              -	         O	*
             by	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
           near	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
        Hayward	       NNP	      S-NP	     S-PER	              -	  E-AM-LOC	(NP*)))))))

           Teen	       NNP	      S-NP	         O	              -	      S-A1	(S1(S(S(NP*)
           shot	       VBD	      S-VP	         O	           shot	       S-V	(VP*
           dead	        JJ	    S-ADJP	         O	              -	      S-A3	(ADJP*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP(PP*
          drive	        NN	      S-NP	         O	              -	  E-AM-LOC	(NP*))
              -	         :	         O	         O	              -	         O	*
             by	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
           near	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
        Hayward	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	(NP*
        NEWLINE	       NNP	      I-NP	     E-LOC	              -	  I-AM-LOC	*
          Photo	       NNP	      E-NP	         O	              -	  I-AM-LOC	*))))))
              :	         :	         O	         O	              -	  I-AM-LOC	*
           Evan	       NNP	      B-NP	     B-PER	              -	  I-AM-LOC	(NP*
     Sernoffsky	       NNP	      E-NP	     E-PER	              -	  E-AM-LOC	*)))

              /	         :	         O	         O	              -	         O	         O	(S1(S(S*
           Evan	       NNP	      B-NP	     B-PER	              -	      B-A1	         O	(NP(NP(NP*
     Sernoffsky	       NNP	      E-NP	     E-PER	              -	      I-A1	         O	*)
              A	       NNP	      B-NP	         O	              -	      I-A1	         O	(SBAR(S(NP*
       teenager	        NN	      E-NP	         O	              -	      E-A1	         O	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	         O	(VP*
             to	        TO	      S-PP	         O	              -	      B-A4	         O	(PP*
          death	        NN	      S-NP	         O	              -	      E-A4	         O	(NP*))
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	(NP*
          drive	        NN	      E-NP	         O	              -	  I-AM-LOC	         O	*))
              -	         :	         O	         O	              -	  I-AM-LOC	         O	*
             by	        IN	      S-PP	         O	              -	  I-AM-LOC	         O	(PP*
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	  B-AM-LOC	(PP*
        Hayward	       NNP	      S-NP	     S-PER	              -	  I-AM-LOC	  E-AM-LOC	(NP*))))))))
              ,	         ,	         O	         O	              -	  I-AM-LOC	         O	*)
       believed	       VBD	      S-VP	         O	       believed	  I-AM-LOC	       S-V	(VP*
             to	        TO	      S-PP	         O	              -	  I-AM-LOC	      B-A2	(PP*)))
            ...	         :	         O	         O	              -	  I-AM-LOC	      I-A2	*
        NEWLINE	       NNP	      S-NP	     S-ORG	              -	  E-AM-LOC	      E-A2	(NP*)))

              A	        DT	      B-NP	         O	              -	      B-A1	      B-A1	(S1(S(S(S(NP*
        16-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	(ADJP*
