     2017-04-02	        CD	      S-NP	         O	              -	(S1(NP*))

     Accidental	        JJ	      B-NP	         O	              -	      B-A0	(S1(S(NP(NP*
       shooting	        NN	      E-NP	         O	              -	      I-A0	*)
             in	        IN	      S-PP	         O	              -	      I-A0	(PP*
         Cabela	       NNP	      B-NP	    S-MISC	              -	      I-A0	(NP*
           ’s	        NN	      I-NP	         O	              -	      I-A0	*
        parking	        NN	      I-NP	         O	              -	      I-A0	*
            lot	        NN	      E-NP	         O	              -	      E-A0	*)))
          sends	       VBZ	      S-VP	         O	          sends	       S-V	(VP*
            one	        CD	      B-NP	         O	              -	      B-A1	(NP(NP*
            man	        NN	      E-NP	         O	              -	      E-A1	*)
             to	        TO	      S-PP	         O	              -	      B-A2	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	(NP*
       hospital	        NN	      E-NP	         O	              -	      E-A2	*))))))

         KANSAS	       NNP	      B-NP	     B-LOC	              -	(S1(NP(NP*
           CITY	       NNP	      E-NP	     E-LOC	              -	*)
              ,	         ,	         O	         O	              -	*
           Kan.	       NNP	      B-NP	     S-LOC	              -	(NP*
            —	        NN	      E-NP	         O	              -	*)))

             An	        DT	      B-NP	         O	              -	      B-A0	(S1(S(NP*
     accidental	        JJ	      I-NP	         O	              -	      I-A0	*
       shooting	        NN	      E-NP	         O	              -	      E-A0	*)
           sent	       VBN	      S-VP	         O	           sent	       S-V	(VP*
            one	        CD	      B-NP	         O	              -	      B-A1	(NP*
         person	        NN	      E-NP	         O	              -	      E-A1	*)
             to	        TO	      S-PP	         O	              -	      B-A2	(PP*
            the	        DT	      B-NP	         O	              -	      I-A2	(NP*
       hospital	        NN	      E-NP	         O	              -	      E-A2	*))
           with	        IN	      S-PP	         O	              -	  B-AM-MNR	(PP*
          minor	        JJ	      B-NP	         O	              -	  I-AM-MNR	(NP(NP*
       injuries	       NNS	      E-NP	         O	              -	  E-AM-MNR	*)
             on	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
         Sunday	       NNP	      B-NP	         O	              -	  E-AM-TMP	(NP*
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	      S-A1	*)))))))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	         O	         O	         O	         O	         O	(S1(S(NP*)
           said	       VBD	      S-VP	         O	           said	       S-V	         O	         O	         O	         O	         O	         O	*
        shortly	        RB	    S-ADVP	         O	              -	  S-AM-TMP	  B-AM-TMP	         O	         O	         O	         O	         O	(PP(ADVP*)
         before	        IN	      S-PP	         O	              -	  B-AM-TMP	  I-AM-TMP	         O	         O	         O	         O	         O	*
          11:30	        CD	      B-NP	         O	              -	  I-AM-TMP	  I-AM-TMP	         O	         O	         O	         O	         O	(NP*
           a.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	  E-AM-TMP	         O	         O	         O	         O	         O	*))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	*
             an	        DT	      B-NP	         O	              -	      B-A1	      B-A1	      B-A0	         O	         O	         O	         O	(NP*
     accidental	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	      I-A0	         O	         O	         O	         O	*
       shooting	        NN	      E-NP	         O	              -	      I-A1	      E-A1	      I-A0	         O	         O	         O	         O	*)
       occurred	       VBD	      S-VP	         O	       occurred	      I-A1	       S-V	      I-A0	         O	         O	         O	         O	(VP*
             in	        IN	      S-PP	         O	              -	      I-A1	  B-AM-LOC	      I-A0	         O	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A0	         O	         O	         O	         O	(NP(NP*
        parking	        NN	      I-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A0	         O	         O	         O	         O	*
            lot	        NN	      E-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A0	         O	         O	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	      I-A0	         O	         O	         O	         O	(PP*
         Cabela	       NNP	      B-NP	     S-ORG	              -	      I-A1	  I-AM-LOC	      I-A0	         O	         O	         O	         O	(NP*
           ’s	        NN	      E-NP	         O	              -	      I-A1	  E-AM-LOC	      I-A0	         O	         O	         O	         O	*))
             in	        IN	      S-PP	         O	              -	      I-A1	  B-AM-LOC	      I-A0	         O	         O	         O	         O	(PP*
           KCK.	       NNP	      B-NP	     S-LOC	              -	      I-A1	  I-AM-LOC	      I-A0	         O	         O	         O	         O	(NP*
        NEWLINE	       NNP	      I-NP	    S-MISC	              -	      I-A1	  I-AM-LOC	      I-A0	         O	         O	         O	         O	*
         Police	       NNP	      E-NP	         O	              -	      I-A1	  E-AM-LOC	      E-A0	         O	         O	         O	         O	*)))))
            did	       VBD	      B-VP	         O	              -	      I-A1	         O	         O	         O	         O	         O	         O	*
            not	        RB	      I-VP	         O	              -	      I-A1	         O	  S-AM-NEG	         O	         O	         O	         O	*
            say	        VB	      E-VP	         O	            say	      I-A1	         O	       S-V	         O	         O	         O	         O	*
        exactly	        RB	    B-ADVP	         O	              -	      I-A1	         O	      B-A1	         O	         O	         O	         O	(SBAR(WHADVP*
            how	       WRB	    E-ADVP	         O	              -	      I-A1	         O	      I-A1	         O	         O	         O	         O	*)
