     2017-04-09	        CD	      S-NP	         O	              -	(S1(NP*))

        Houston	       NNP	      B-NP	     S-LOC	              -	      B-A1	(S1(NP(NP(NP*
          woman	        NN	      E-NP	         O	              -	      E-A1	*)
     identified	       VBD	      S-VP	         O	     identified	       S-V	(VP*
             as	        IN	      S-PP	         O	              -	      B-A2	(PP*
        shooter	        NN	      S-NP	         O	              -	      E-A2	(NP(NP*)
             in	        IN	      S-PP	         O	              -	      B-A1	(PP*
         triple	        JJ	      B-NP	         O	              -	      I-A1	(NP*
         murder	        NN	      E-NP	         O	              -	      I-A1	*))))))
              -	         :	         O	         O	              -	      I-A1	*
        suicide	        NN	      S-NP	         O	              -	      E-A1	(NP*)))

          Image	        NN	      B-NP	         O	              -	      B-A1	(S1(S(NP*
              1	        CD	      E-NP	         O	              -	      I-A1	(QP*
             of	        IN	      S-PP	         O	              -	      I-A1	*
              /	         #	      B-NP	         O	              -	      I-A1	*
             10	        CD	      I-NP	         O	              -	      I-A1	*)
        Caption	       NNP	      I-NP	         O	              -	      I-A1	*
          Close	       NNP	      I-NP	         O	              -	      I-A1	*
        NEWLINE	       NNP	      I-NP	         O	              -	      I-A1	*
          Image	       NNP	      I-NP	         O	              -	      I-A1	*)
              1	        CD	      E-NP	         O	              -	      I-A1	(NP(QP*
             of	        IN	      S-PP	         O	              -	      I-A1	*
             10	        CD	      B-NP	         O	              -	      I-A1	*)
        Dekitta	       NNP	      I-NP	     B-PER	              -	      I-A1	*
         Holmes	       NNP	      E-NP	     E-PER	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	(VP*
     identified	       VBN	      E-VP	         O	     identified	       S-V	(VP*
          among	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
           dead	        JJ	      E-NP	         O	              -	  I-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP(NP*
         triple	        JJ	      I-NP	         O	              -	  I-AM-LOC	*
         murder	        NN	      E-NP	         O	              -	  I-AM-LOC	*)
              -	         :	         O	         O	              -	  I-AM-LOC	*
        suicide	        NN	      S-NP	         O	              -	  E-AM-LOC	(NP*)))))
              .	         .	         O	         O	              -	         O	*))

        Dekitta	       NNP	      B-NP	     B-PER	              -	      B-A1	(S1(S(NP*
         Holmes	       NNP	      E-NP	     E-PER	              -	      E-A1	*)
            was	       VBD	      B-VP	         O	              -	         O	*
     identified	       VBN	      E-VP	         O	     identified	       S-V	*
          among	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
           dead	        JJ	      E-NP	         O	              -	  I-AM-LOC	*))
             in	        IN	      S-PP	         O	              -	  I-AM-LOC	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP*
         triple	        JJ	      I-NP	         O	              -	  I-AM-LOC	*
         murder	        NN	      E-NP	         O	              -	  I-AM-LOC	*))
              -	         :	         O	         O	              -	  I-AM-LOC	*
        suicide	        NN	      S-NP	         O	              -	  E-AM-LOC	(NP*)
              .	         .	         O	         O	              -	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	(NP*)))

          Image	        NN	      B-NP	         O	              -	         O	         O	         O	         O	(S1(S(NP(NP*
              2	        CD	      E-NP	         O	              -	      B-A0	         O	         O	         O	*)
             of	        IN	      S-PP	         O	              -	      I-A0	         O	         O	         O	(PP*
             10	        CD	      B-NP	         O	              -	      I-A0	         O	         O	         O	(NP*
         People	       NNS	      E-NP	         O	              -	      E-A0	         O	         O	         O	*)))
         gather	       VBP	      S-VP	         O	         gather	       S-V	         O	         O	         O	(VP*
         behind	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	         O	         O	         O	(NP*
          crime	        NN	      I-NP	         O	              -	  I-AM-LOC	         O	         O	         O	*
          scene	        NN	      I-NP	         O	              -	  E-AM-LOC	         O	         O	         O	*
           tape	        NN	      E-NP	         O	              -	    B-C-A1	         O	         O	         O	*))
             as	        IN	    S-SBAR	         O	              -	    I-C-A1	         O	         O	         O	(SBAR*
        Houston	       NNP	      B-NP	     B-ORG	              -	    I-C-A1	      B-A0	         O	         O	(S(NP*
         Police	       NNP	      I-NP	     E-ORG	              -	    I-C-A1	      I-A0	         O	         O	*
       officers	       NNS	      E-NP	         O	              -	    I-C-A1	      E-A0	         O	         O	*)
    investigate	       VBP	      S-VP	         O	    investigate	    I-C-A1	       S-V	         O	         O	(VP*
            the	        DT	      B-NP	         O	              -	    I-C-A1	      B-A1	         O	         O	(NP(NP*
          scene	        NN	      E-NP	         O	              -	    I-C-A1	      I-A1	         O	         O	*)
          where	       WRB	    S-ADVP	         O	              -	    I-C-A1	      I-A1	         O	         O	(SBAR(WHADVP*)
            two	        CD	      B-NP	         O	              -	    I-C-A1	      I-A1	      B-A1	      B-A1	(S(NP*
         people	       NNS	      E-NP	         O	              -	    I-C-A1	      I-A1	      E-A1	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	    I-C-A1	      I-A1	         O	         O	(VP*
          found	       VBN	      I-VP	         O	          found	    I-C-A1	      I-A1	       S-V	         O	(VP*
        fatally	        RB	      I-VP	         O	              -	    I-C-A1	      I-A1	    B-C-A1	  S-AM-MNR	(ADVP*)
           shot	       VBN	      E-VP	         O	           shot	    I-C-A1	      I-A1	    I-C-A1	       S-V	(VP*
             on	        IN	      S-PP	         O	              -	    I-C-A1	      I-A1	    I-C-A1	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	    I-C-A1	      I-A1	    I-C-A1	  I-AM-LOC	(NP(NP(NP*
           3800	        CD	      I-NP	         O	              -	    I-C-A1	      I-A1	    I-C-A1	  I-AM-LOC	*
          block	        NN	      E-NP	         O	              -	    I-C-A1	      I-A1	    I-C-A1	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	    I-C-A1	      I-A1	    I-C-A1	  I-AM-LOC	(PP*
          Mount	       NNP	      B-NP	     B-LOC	              -	    I-C-A1	      I-A1	    I-C-A1	  I-AM-LOC	(NP*
       Pleasant	       NNP	      I-NP	     I-LOC	              -	    I-C-A1	      I-A1	    I-C-A1	  I-AM-LOC	*
         Street	       NNP	      E-NP	     E-LOC	              -	    I-C-A1	      I-A1	    I-C-A1	  E-AM-LOC	*)))
         Friday	       NNP	      S-NP	         O	              -	    I-C-A1	      I-A1	    I-C-A1	  B-AM-TMP	(NP(NP*)
              ,	         ,	         O	         O	              -	    I-C-A1	      I-A1	    I-C-A1	  I-AM-TMP	*
