     2017-01-04	        CD	      S-NP	         O	              -	(S1(NP*))

         Update	        NN	      S-NP	         O	              -	         O	         O	(S1(X(NP*)
              :	         :	         O	         O	              -	         O	         O	*
              4	        CD	      B-NP	         O	              -	      B-A1	         O	(S(NP(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	         O	*)
           shot	       VBN	      S-VP	         O	           shot	       S-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	         O	(PP*
          Allen	       NNP	      S-NP	     S-PER	              -	  E-AM-LOC	         O	(NP*))
          after	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	(PP*
       argument	        NN	      S-NP	         O	              -	  I-AM-TMP	         O	(NP(NP*)
             on	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	(PP*
       Facebook	       NNP	      S-NP	         O	              -	  E-AM-TMP	      S-A1	(NP*))))))
      escalates	       VBZ	      S-VP	         O	      escalates	         O	         O	(VP*))))

           2:03	        CD	      B-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(S1(S(NP*
          Video	       NNP	      I-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
        Graphic	       NNP	      E-NP	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*)
              :	         :	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
           Wind	        NN	      B-NP	         O	              -	      B-A1	         O	         O	      B-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(NP*
       turbines	       NNS	      E-NP	         O	              -	      E-A1	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*)
              ,	         ,	         O	         O	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
            how	       WRB	    S-ADVP	         O	              -	      B-A1	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(SBAR(WHADJP*
      they’re	        NN	      S-NP	         O	              -	      E-A1	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*)
          built	       VBN	      S-VP	         O	          built	       S-V	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	(VP*))
            and	        CC	         O	         O	              -	         O	         O	         O	      I-A0	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	         O	*
