     2017-04-06	        CD	      S-NP	         O	              -	(S1(NP*))

       Brooklyn	       NNP	      B-NP	     S-LOC	              -	      B-A1	(S1(NP(NP(NP*
           teen	        NN	      E-NP	         O	              -	      E-A1	*)
         cuffed	       VBN	      S-VP	         O	         cuffed	       S-V	(ADJP*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
        15-year	        JJ	      B-NP	         O	              -	  I-AM-LOC	(ADJP*))))
              -	         :	      I-NP	         O	              -	  I-AM-LOC	*
            old	        JJ	      I-NP	         O	              -	  I-AM-LOC	(NP(NP*
             's	       POS	      E-NP	         O	              -	  I-AM-LOC	*)
          fatal	        JJ	      B-NP	         O	              -	  I-AM-LOC	*
       shooting	        NN	      E-NP	         O	              -	  E-AM-LOC	*)))

         Police	       NNP	      S-NP	         O	              -	      S-A0	      B-A1	(S1(S(S(S(NP*)
       arrested	       VBD	      S-VP	         O	       arrested	       S-V	      I-A1	(VP*
              a	        DT	      B-NP	         O	              -	      B-A1	      I-A1	(NP*
        teenage	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
         gunman	        NN	      E-NP	         O	              -	      E-A1	      I-A1	*)
      Wednesday	       NNP	      B-NP	         O	              -	  B-AM-TMP	      I-A1	(NP*
          night	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*)
            for	        IN	      S-PP	         O	              -	      B-A1	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	(NP(NP*
          fatal	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
       shooting	        NN	      E-NP	         O	              -	      I-A1	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	      I-A1	(NP(NP*
        15-year	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
              -	         :	      I-NP	         O	              -	      I-A1	      I-A1	*
            old	        JJ	      I-NP	         O	              -	      I-A1	      I-A1	*
            boy	        NN	      E-NP	         O	              -	      I-A1	      I-A1	*)
             in	        IN	      S-PP	         O	              -	      I-A1	      I-A1	(PP*
       Brooklyn	       NNP	      S-NP	     S-LOC	              -	      E-A1	      E-A1	(NP*))))))))
              ,	         ,	         O	         O	              -	         O	         O	*
           cops	       NNS	      S-NP	         O	              -	         O	      S-A0	(NP*)
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	         O	       S-V	(NP*)))

           Cops	       NNS	      S-NP	         O	              -	      S-A0	      S-A0	      B-A1	(S1(S(S(NP(NP(NP*)
       arrested	       VBN	      S-VP	         O	       arrested	       S-V	         O	      I-A1	(VP*
          Zidon	       NNP	      B-NP	     B-PER	              -	      B-A1	      B-A0	      I-A1	(NP(NP*
         Clarke	       NNP	      E-NP	     E-PER	              -	      I-A1	      E-A0	      I-A1	*)
              ,	         ,	         O	         O	              -	      I-A1	         O	      I-A1	*
             17	        CD	      S-NP	         O	              -	      I-A1	         O	      I-A1	(NP*)
              ,	         ,	         O	         O	              -	      I-A1	         O	      I-A1	*)
            for	        IN	      S-PP	         O	              -	      I-A1	         O	      I-A1	(PP*
       shooting	       VBG	      S-VP	         O	       shooting	      I-A1	       S-V	      I-A1	(S(VP*
          Rohan	       NNP	      B-NP	     B-PER	              -	      I-A1	      B-A1	      I-A1	(NP*
           Levy	       NNP	      E-NP	     E-PER	              -	      I-A1	      E-A1	      I-A1	*)
             in	        IN	      S-PP	         O	              -	      I-A1	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	(NP(NP*
           back	        NN	      E-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	(NP(NP*
           head	        NN	      E-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	*)
           near	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	(PP*
            his	      PRP$	      B-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	(NP*
           home	        NN	      E-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	*)))))))))))
             on	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	(PP*
             E.	       NNP	      B-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	(NP*
           55th	        JJ	      I-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	*
            St.	       NNP	      E-NP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	*))
           near	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	(PP*
          Lenox	       NNP	      B-NP	     B-LOC	              -	      I-A1	  I-AM-LOC	      I-A1	(NP*
           Road	       NNP	      E-NP	     E-LOC	              -	      I-A1	  I-AM-LOC	      I-A1	*))
             in	        IN	      S-PP	         O	              -	      I-A1	  I-AM-LOC	      I-A1	(PP*
           East	       NNP	      B-NP	     B-LOC	              -	      I-A1	  I-AM-LOC	      I-A1	(NP*
       Flatbush	       NNP	      E-NP	     E-LOC	              -	      I-A1	  E-AM-LOC	      I-A1	*))
         around	        IN	      S-PP	         O	              -	      I-A1	  B-AM-TMP	      I-A1	(PP*
           2:30	        CD	      B-NP	         O	              -	      I-A1	  I-AM-TMP	      I-A1	(NP(NP*
           p.m.	        NN	      I-NP	         O	              -	      I-A1	  I-AM-TMP	      I-A1	*)
           Feb.	       NNP	      I-NP	         O	              -	      I-A1	  I-AM-TMP	      I-A1	(NP*
             20	        CD	      E-NP	         O	              -	      E-A1	  E-AM-TMP	      E-A1	*))))
              ,	         ,	         O	         O	              -	         O	         O	         O	*
