     2017-02-28	        CD	      S-NP	         O	              -	(S1(NP*))

        Several	        JJ	      S-NP	         O	              -	      B-A0	(S1(S(NP(NP(NP*)
             in	        IN	      S-PP	         O	              -	      I-A0	(PP*
        custody	        NN	      S-NP	         O	              -	      I-A0	(NP*)))
          after	        IN	      S-PP	         O	              -	      I-A0	(PP*
      Vicksburg	       NNP	      B-NP	     S-LOC	              -	      I-A0	(NP*
       shooting	        NN	      E-NP	         O	              -	      E-A0	*)))
        injures	       VBZ	      S-VP	         O	        injures	       S-V	(VP*
           teen	        NN	      B-NP	         O	              -	      B-A1	(NP(NP(NP*)
              -	         :	      I-NP	         O	              -	      I-A1	*
  MSNewsNow.com	       NNP	      I-NP	     S-PER	              -	      I-A1	(NP*)
              -	         :	      I-NP	         O	              -	      I-A1	*
        Jackson	       NNP	      E-NP	     S-PER	              -	      I-A1	(NP*))
              ,	         ,	         O	         O	              -	      I-A1	*
             MS	       NNP	      S-NP	         O	              -	      E-A1	(NP*)))))

      Vicksburg	       NNP	      B-NP	     B-ORG	              -	      B-A0	      B-A0	         O	         O	(S1(S(NP*
         Police	       NNP	      E-NP	     E-ORG	              -	      E-A0	      E-A0	         O	         O	*)
       continue	       VBP	      B-VP	         O	       continue	       S-V	         O	         O	         O	(VP*
             to	        TO	      I-VP	         O	              -	      B-A1	         O	         O	         O	(S(VP*
    investigate	        VB	      E-VP	         O	    investigate	      I-A1	       S-V	         O	         O	(VP*
              a	        DT	      B-NP	         O	              -	      I-A1	      B-A1	         O	         O	(NP*
       shooting	       VBG	      E-NP	         O	       shooting	      I-A1	      I-A1	       S-V	         O	*)
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	      B-A1	         O	(NP(NP(NP*
       happened	       VBN	      E-NP	         O	       happened	      I-A1	      I-A1	      E-A1	       S-V	*)
           near	        IN	      S-PP	         O	              -	      I-A1	      I-A1	         O	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	      I-A1	         O	  I-AM-LOC	(NP(NP*
   intersection	        NN	      E-NP	         O	              -	      I-A1	      I-A1	         O	  I-AM-LOC	*)
             of	        IN	      S-PP	         O	              -	      I-A1	      I-A1	         O	  I-AM-LOC	(PP*
         Bowmar	       NNP	      B-NP	     B-LOC	              -	      I-A1	      I-A1	         O	  I-AM-LOC	(NP*
         Avenue	       NNP	      E-NP	     E-LOC	              -	      I-A1	      I-A1	         O	  I-AM-LOC	*)))))
            and	        CC	         O	         O	              -	      I-A1	      I-A1	         O	  I-AM-LOC	*
       Drummond	       NNP	      B-NP	     B-LOC	              -	      I-A1	      I-A1	         O	  I-AM-LOC	(NP*
         Street	       NNP	      E-NP	     E-LOC	              -	      E-A1	      E-A1	         O	  E-AM-LOC	*
              .	         .	         O	         O	              -	         O	         O	         O	         O	*
        NEWLINE	       NNP	         O	     S-LOC	              -	      S-A1	         O	         O	         O	*))))))))

             An	        DT	      B-NP	         O	              -	      B-A1	      B-A0	(S1(S(NP*
       teenager	        NN	      E-NP	         O	              -	      E-A1	      E-A0	*)
            was	       VBD	      B-VP	         O	              -	         O	         O	(VP*
    transported	       VBN	      E-VP	         O	    transported	       S-V	         O	(VP*
           from	        IN	      S-PP	         O	              -	      B-A3	         O	(PP*
            the	        DT	      B-NP	         O	              -	      I-A3	         O	(NP*
          scene	        NN	      E-NP	         O	              -	      I-A3	         O	*))
      suffering	       VBG	      S-VP	         O	      suffering	      I-A3	       S-V	(S(VP*
           from	        IN	      S-PP	         O	              -	      I-A3	      B-A1	(PP*
              a	        DT	      B-NP	         O	              -	      I-A3	      I-A1	(NP*
        gunshot	        NN	      I-NP	         O	              -	      I-A3	      I-A1	*
          wound	        NN	      E-NP	         O	              -	      I-A3	      I-A1	*))
             to	        TO	      S-PP	         O	              -	      I-A3	      I-A1	(PP*
          lower	       JJR	      B-NP	         O	              -	      I-A3	      I-A1	(NP*
            leg	        NN	      E-NP	         O	              -	      E-A3	      E-A1	*
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      S-A1	         O	*))))))))

      Vicksburg	       NNP	      B-NP	     S-LOC	              -	      B-A0	         O	(S1(S(NP*
         Police	       NNP	      I-NP	         O	              -	      I-A0	         O	*
          Chief	       NNP	      I-NP	         O	              -	      I-A0	         O	*
         Walter	       NNP	      I-NP	     B-PER	              -	      I-A0	         O	*
      Armstrong	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	*)
           says	       VBZ	      S-VP	         O	           says	       S-V	         O	*
        several	        JJ	      B-NP	         O	              -	      B-A1	      B-A1	(NP*
         people	       NNS	      E-NP	         O	              -	      I-A1	      E-A1	*)
           have	       VBP	      B-VP	         O	              -	      I-A1	         O	*
           been	       VBN	      I-VP	         O	              -	      I-A1	         O	*
          taken	       VBN	      E-VP	         O	          taken	      I-A1	       S-V	*
           into	        IN	      S-PP	         O	              -	      I-A1	      B-A2	(PP*
        custody	        NN	      S-NP	         O	              -	      I-A1	      E-A2	(NP*))
            for	        IN	      S-PP	         O	              -	      I-A1	  B-AM-PNC	*
    questioning	       VBG	      S-VP	         O	              -	      I-A1	  E-AM-PNC	*
              .	         .	      B-NP	         O	              -	      I-A1	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	      E-A1	      S-A1	(NP*)))

            VPD	       NNP	      S-NP	     S-ORG	              -	      S-A0	         O	(S1(NP(NP*)
            has	       VBZ	      B-VP	         O	              -	         O	         O	(NP*
         issued	       VBN	      E-VP	         O	         issued	       S-V	         O	(VP*
              a	        DT	      B-NP	         O	              -	      B-A1	         O	(ADJP(NP*
         region	        NN	      I-NP	         O	              -	      I-A1	         O	*)
           wide	        JJ	      I-NP	         O	              -	      I-A1	         O	*)
              "	        ``	      I-NP	         O	              -	      I-A1	         O	(S(VP*
             Be	        VB	      E-NP	    B-MISC	              -	      I-A1	         O	*
             On	        IN	      S-PP	    I-MISC	              -	      I-A1	         O	(PP*
            The	        DT	      B-NP	    I-MISC	              -	      I-A1	         O	(NP(NP*
        Lookout	       NNP	      I-NP	    E-MISC	              -	      I-A1	         O	*
              "	        NN	      E-NP	         O	              -	      I-A1	         O	*)
              (	     -LRB-	         O	         O	              -	      I-A1	         O	(PRN*
           BOLO	       NNP	         O	     S-ORG	              -	      I-A1	         O	(NP*)
              )	     -RRB-	         O	         O	              -	      I-A1	         O	*)
             to	        TO	      S-PP	         O	              -	      I-A1	         O	(PP*
            law	        NN	      B-NP	         O	              -	      I-A1	         O	(NP*
    enforcement	        NN	      E-NP	         O	              -	      I-A1	         O	*))
            for	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
              a	        DT	      B-NP	         O	              -	      I-A1	         O	(NP*
          Black	       NNP	      I-NP	    S-MISC	              -	      I-A1	         O	*
             or	        CC	      I-NP	         O	              -	      I-A1	         O	*
           dark	        JJ	      I-NP	         O	              -	      I-A1	         O	*
        colored	       VBN	      I-NP	         O	        colored	      I-A1	       S-V	*
          Tahoe	       NNP	      I-NP	     S-LOC	              -	      I-A1	      B-A1	*
           type	        NN	      I-NP	         O	              -	      I-A1	      I-A1	*
        vehicle	        NN	      E-NP	         O	              -	      I-A1	      E-A1	*))
           with	        IN	      S-PP	         O	              -	      I-A1	         O	(PP*
       multiple	        JJ	      B-NP	         O	              -	      I-A1	         O	(NP*
          black	        JJ	      I-NP	         O	              -	      I-A1	         O	*
              ,	         ,	      I-NP	         O	              -	      I-A1	         O	*
           male	        JJ	      I-NP	         O	              -	      I-A1	         O	*
      occupants	       NNS	      E-NP	         O	              -	      E-A1	         O	*))))))))
              .	         .	         O	         O	              -	         O	         O	*
        NEWLINE	       NNP	         O	     S-ORG	              -	      S-A0	         O	(NP*)))

      Vicksburg	       NNP	      B-NP	     B-ORG	              -	      B-A0	(S1(S(NP*
         Police	       NNP	      E-NP	     E-ORG	              -	      E-A0	*)
           have	       VBP	      B-VP	         O	              -	         O	(VP*
       obtained	       VBN	      E-VP	         O	       obtained	       S-V	(VP*
          video	        NN	      S-NP	         O	              -	      B-A1	(NP(NP*)
             of	        IN	      S-PP	         O	              -	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	      I-A1	(NP*
       incident	        NN	      E-NP	         O	              -	      E-A1	*)))))
              .	         .	         O	         O	              -	         O	*
