     2017-03-19	        CD	      S-NP	         O	              -	(S1(NP*))

              7	        CD	      S-NP	         O	              -	      S-A1	(S1(ADJP(NP*)
        wounded	       VBN	      S-VP	         O	        wounded	       S-V	*
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
           city	        NN	      B-NP	         O	              -	  I-AM-LOC	(NP*
      shootings	       NNS	      E-NP	         O	              -	  E-AM-LOC	*))))

          Seven	        CD	      B-NP	         O	              -	      B-A1	(S1(S(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	(VP*
        wounded	       VBN	      E-VP	         O	        wounded	       S-V	(VP*
             in	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
      shootings	       NNS	      S-NP	         O	              -	  I-AM-TMP	(NP(NP*)
           from	        IN	      S-PP	         O	              -	  I-AM-TMP	(PP*
         Sunday	       NNP	      S-NP	         O	              -	  I-AM-TMP	(NP*))
             to	        TO	      S-PP	         O	              -	  I-AM-TMP	(PP*
          early	        JJ	      B-NP	         O	              -	  I-AM-TMP	(NP*
         Monday	       NNP	      E-NP	         O	              -	  E-AM-TMP	*))
             on	        IN	      S-PP	         O	              -	  B-AM-LOC	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	(NP(NP*
           city	        NN	      E-NP	         O	              -	  I-AM-LOC	*
             's	       POS	      B-NP	         O	              -	  I-AM-LOC	*)
           West	       NNP	      E-NP	     S-LOC	              -	  I-AM-LOC	(ADJP*
            and	        CC	         O	         O	              -	  I-AM-LOC	*
      Northwest	       NNP	      B-NP	     S-LOC	              -	  I-AM-LOC	*)
           side	        NN	      E-NP	         O	              -	  E-AM-LOC	*))))
              ,	         ,	         O	         O	              -	         O	*
      according	       VBG	      S-PP	         O	              -	         O	(PP*
             to	        TO	      S-PP	         O	              -	         O	(PP*
        Chicago	       NNP	      B-NP	     S-LOC	              -	         O	(NP*
         police	        NN	      I-NP	         O	              -	         O	*
              .	         .	      I-NP	         O	              -	         O	*
        NEWLINE	       NNP	      E-NP	     S-ORG	              -	         O	*)))))))

             In	        IN	      S-PP	         O	              -	  B-AM-LOC	      B-A1	(S1(S(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
       Avondale	       NNP	      I-NP	     S-ORG	              -	  I-AM-LOC	      I-A1	*
   neighborhood	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*))
             on	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP*
      Northwest	       NNP	      I-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	*
           Side	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      I-A1	*))
              ,	         ,	         O	         O	              -	         O	      I-A1	*
            two	        CD	      B-NP	         O	              -	      B-A1	      I-A1	(NP*
         people	       NNS	      E-NP	         O	              -	      E-A1	      I-A1	*)
           were	       VBD	      B-VP	         O	              -	         O	      I-A1	(VP*
           shot	       VBN	      E-VP	         O	           shot	       S-V	      I-A1	(VP*
          about	        IN	      S-PP	         O	              -	  B-AM-TMP	      I-A1	(PP*
          12:50	        CD	      B-NP	         O	              -	  I-AM-TMP	      I-A1	(NP*
           a.m.	        NN	      E-NP	         O	              -	  E-AM-TMP	      I-A1	*))
         Monday	       NNP	      S-NP	         O	              -	  S-AM-TMP	      I-A1	(NP*)
             in	        IN	      S-PP	         O	              -	  B-AM-LOC	      I-A1	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-LOC	      I-A1	(NP(NP*
           2200	        CD	      I-NP	         O	              -	  I-AM-LOC	      I-A1	*
          block	        NN	      E-NP	         O	              -	  I-AM-LOC	      I-A1	*)
             of	        IN	      S-PP	         O	              -	  I-AM-LOC	      I-A1	(PP*
           West	       NNP	      B-NP	     B-LOC	              -	  I-AM-LOC	      I-A1	(NP*
       Diversey	       NNP	      I-NP	     I-LOC	              -	  I-AM-LOC	      I-A1	*
         Avenue	       NNP	      E-NP	     E-LOC	              -	  E-AM-LOC	      E-A1	*))))))
              ,	         ,	         O	         O	              -	         O	         O	*
         police	        NN	      S-NP	         O	              -	         O	      S-A0	*
           said	       VBD	      S-VP	         O	           said	         O	       S-V	(VP*)
              .	         .	         O	         O	              -	         O	         O	*))

