     2017-02-08	        CD	      S-NP	         O	              -	(S1(NP*))

         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	(S1(S(NP*)
       identify	       VBP	      S-VP	         O	       identify	       S-V	         O	(VP*
            two	        CD	      B-NP	         O	              -	      B-A1	      B-A1	(NP(NP*
            men	       NNS	      E-NP	         O	              -	      I-A1	      E-A1	*)
       involved	       VBN	      S-VP	         O	       involved	      I-A1	       S-V	(ADJP*
             in	        IN	      S-PP	         O	              -	      I-A1	      B-A2	(PP*
         Nashua	       NNP	      B-NP	     S-LOC	              -	      I-A1	      I-A2	(NP*
       shooting	        NN	      E-NP	         O	              -	      E-A1	      E-A2	*)))))))

     Editorials	       NNS	      B-NP	         O	              -	(S1(S(NP*
        NEWLINE	       NNP	      I-NP	         O	              -	*
           Sen.	       NNP	      I-NP	         O	              -	*
            Lou	       NNP	      I-NP	     B-PER	              -	*
   D'Allesandro	       NNP	      E-NP	     E-PER	              -	*)
             is	       VBZ	      S-VP	         O	              -	(VP*
            all	        DT	    B-ADVP	         O	              -	(ADVP*
             in	        IN	    E-ADVP	         O	              -	*)
              ,	         ,	         O	         O	              -	*
          again	        RB	    S-ADVP	         O	              -	(ADVP*))
              .	         .	         O	         O	              -	*))

            The	        DT	      B-NP	         O	              -	         O	      B-A0	(S1(S(NP*
     Manchester	       NNP	      I-NP	     S-LOC	              -	         O	      I-A0	*
       Democrat	       NNP	      E-NP	    S-MISC	              -	         O	      E-A0	*)
             is	       VBZ	      S-VP	         O	              -	         O	         O	(VP*
            the	        DT	      B-NP	         O	              -	         O	         O	(NP(NP(NP*
          state	        NN	      E-NP	         O	              -	         O	         O	*
             's	       POS	      B-NP	         O	              -	         O	         O	*)
        leading	       VBG	      I-NP	         O	        leading	       S-V	         O	*
      proponent	        NN	      E-NP	         O	              -	      S-A0	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	(PP*
       bringing	       VBG	      S-VP	         O	       bringing	         O	       S-V	(S(VP*
        casinos	       NNS	      S-NP	         O	              -	         O	      S-A1	(NP*)
             to	        TO	      S-PP	         O	              -	         O	      B-A2	(PP*
            New	       NNP	      B-NP	     B-LOC	              -	         O	      I-A2	(NP*
      Hampshire	       NNP	      E-NP	     E-LOC	              -	         O	      E-A2	*)))))))
              .	         .	         O	         O	              -	         O	         O	*))

            His	      PRP$	      B-NP	         O	              -	      B-A0	(S1(S(NP*
         latest	       JJS	      I-NP	         O	              -	      I-A0	*
        attempt	        NN	      E-NP	         O	              -	      E-A0	*)
           gets	       VBZ	      S-VP	         O	           gets	       S-V	*
              a	        DT	      B-NP	         O	              -	      B-A1	(NP*
        hearing	        NN	      E-NP	         O	              -	      E-A1	*)
         before	        IN	      S-PP	         O	              -	  B-AM-TMP	(PP*
            the	        DT	      B-NP	         O	              -	  I-AM-TMP	(NP*
         Senate	       NNP	      I-NP	     S-ORG	              -	  I-AM-TMP	*
           Ways	      NNPS	      E-NP	         O	              -	  I-AM-TMP	*))
            and	        CC	         O	         O	              -	  I-AM-TMP	*
            ...	         :	         O	         O	              -	  I-AM-TMP	*
        NEWLINE	       NNP	      S-NP	     S-ORG	              -	  E-AM-TMP	(NP*)))

           When	       WRB	    S-ADVP	         O	              -	S-R-AM-TMP	         O	         O	         O	         O	         O	         O	(S1(S(SBAR(WHADVP*)
      legendary	        JJ	      B-NP	         O	              -	      B-A0	         O	         O	         O	         O	         O	         O	(S(NP*
   sportscaster	        NN	      I-NP	         O	              -	      I-A0	         O	         O	         O	         O	         O	         O	*
          Brent	       NNP	      I-NP	     B-PER	              -	      I-A0	         O	         O	         O	         O	         O	         O	*
      Musburger	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	         O	         O	         O	         O	         O	*)
        advised	       VBD	      S-VP	         O	        advised	       S-V	         O	         O	         O	         O	         O	         O	(VP*
          Keith	       NNP	      B-NP	     B-PER	              -	      B-A1	         O	         O	         O	         O	         O	         O	(NP*
      Olbermann	       NNP	      E-NP	     E-PER	              -	      E-A1	         O	         O	         O	         O	         O	         O	*)
             to	        TO	      S-PP	         O	              -	      B-A2	         O	         O	         O	         O	         O	         O	(PP*
            “	        NN	      S-NP	         O	              -	      I-A2	      S-A2	         O	         O	         O	         O	         O	(NP*))
          stick	        VB	      S-VP	         O	          stick	      I-A2	       S-V	         O	         O	         O	         O	         O	(VP*
             to	        TO	      S-PP	         O	              -	      I-A2	      B-A2	         O	         O	         O	         O	         O	(PP*
         sports	       NNS	      S-NP	         O	              -	      E-A2	      E-A2	         O	         O	         O	         O	         O	(NP*))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	         O	         O	         O	*
            ”	       VBP	      S-VP	         O	            ”	         O	         O	       S-V	         O	         O	         O	         O	*
              a	        DT	      B-NP	         O	              -	         O	         O	      B-A1	      B-A1	         O	         O	         O	(NP(NP*
         number	        NN	      E-NP	         O	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	*)
             of	        IN	      S-PP	         O	              -	         O	         O	      I-A1	      I-A1	         O	         O	         O	(PP*
  sportswriters	       NNS	      S-NP	         O	              -	         O	         O	      E-A1	      E-A1	      S-A0	         O	         O	(NP*)))
         jumped	       VBD	      S-VP	         O	         jumped	         O	         O	         O	       B-V	         O	         O	         O	*
             in	        RP	     S-PRT	         O	              -	         O	         O	         O	       E-V	         O	         O	         O	(ADVP*)
             to	        TO	      B-VP	         O	              -	         O	         O	         O	         O	         O	         O	         O	*
          argue	        VB	      E-VP	         O	          argue	         O	         O	         O	         O	       S-V	         O	         O	*
           that	        IN	    S-SBAR	         O	              -	         O	         O	         O	         O	      B-A1	         O	         O	*
          times	       NNS	      S-NP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	(NP*)
            are	       VBP	      S-VP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	*
             so	        RB	    B-ADJP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	(ADJP*
     tumultuous	        JJ	    E-ADJP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	*)
           that	        IN	    S-SBAR	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	*
           they	       PRP	      S-NP	         O	              -	         O	         O	         O	         O	      I-A1	      S-A0	         O	(S(NP*)
           have	       VBP	      S-VP	         O	           have	         O	         O	         O	         O	      I-A1	       S-V	         O	(VP*
              a	        DT	      B-NP	         O	              -	         O	         O	         O	         O	      I-A1	      S-A1	         O	(NP(NP(NP*
            ...	         :	      I-NP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	*
        NEWLINE	       NNP	      I-NP	         O	              -	         O	         O	         O	         O	      I-A1	         O	         O	*
