     2017-01-20	        CD	      S-NP	         O	              -	(S1(NP*))

         UPDATE	        NN	      S-NP	         O	              -	         O	         O	(S1(S(NP*)
              :	         :	         O	         O	              -	         O	         O	*
         Police	       NNS	      S-NP	         O	              -	      S-A0	         O	(S(NP*)
            say	       VBP	      S-VP	         O	            say	       S-V	         O	(VP*
            man	        NN	      S-NP	         O	              -	      B-A1	      S-A0	(NP(NP*)
            was	       VBD	      B-VP	         O	              -	      I-A1	         O	*
        showing	       VBG	      E-VP	         O	        showing	      I-A1	       S-V	(VP*
            gun	        NN	      B-NP	         O	              -	      I-A1	      S-A1	(NP(NP*)
             to	        TO	      I-NP	         O	              -	      I-A1	      B-A2	(PP*
      neighbors	       NNS	      E-NP	         O	              -	      I-A1	      E-A2	(NP*))
           when	       WRB	    S-ADVP	         O	              -	      I-A1	  B-AM-TMP	(SBAR(WHADVP*)
             he	       PRP	      S-NP	         O	              -	      I-A1	  I-AM-TMP	(S(NP*)
        fatally	        RB	      B-VP	         O	              -	      I-A1	  I-AM-TMP	(VP(ADVP*)
           shot	       VBD	      E-VP	         O	              -	      I-A1	  I-AM-TMP	*
       roommate	        NN	      S-NP	         O	              -	      E-A1	  E-AM-TMP	(NP*)))))))))))

        Already	        RB	    S-ADVP	         O	              -	(S1(FRAG(ADVP*)
              a	        DT	      B-NP	         O	              -	(NP*
     subscriber	        NN	      E-NP	         O	              -	*)
              ?	         .	         O	         O	              -	*
        NEWLINE	       NNP	      S-NP	     S-ORG	              -	(NP*)))

          Click	        NN	      S-NP	         O	              -	         O	         O	         O	(S1(FRAG(NP(NP*)
             on	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
            the	        DT	      B-NP	         O	              -	      B-A0	         O	         O	(NP*
         button	        NN	      E-NP	         O	              -	      E-A0	         O	         O	*))
          below	        IN	      S-PP	         O	              -	         O	         O	         O	(PP*
             to	        TO	      B-VP	         O	              -	         O	         O	         O	(S(VP*
            set	        VB	      E-VP	         O	            set	       B-V	         O	         O	(VP(VP*
             up	        RP	     S-PRT	         O	              -	       E-V	         O	         O	(ADVP*)
           your	      PRP$	      B-NP	         O	              -	      B-A1	         O	         O	(NP*
        account	        NN	      E-NP	         O	              -	      E-A1	         O	         O	*))
             or	        CC	         O	         O	              -	         O	         O	         O	*
            log	        VB	      S-VP	         O	            log	         O	       B-V	         O	(VP*
             in	        IN	      S-PP	         O	              -	         O	       E-V	         O	(ADVP*)))))))
             if	        IN	    S-SBAR	         O	              -	         O	         O	         O	(SBAR(SBAR*
            you	       PRP	      S-NP	         O	              -	         O	      S-A0	      S-A0	(S(NP*)
        already	        RB	    S-ADVP	         O	              -	         O	  S-AM-TMP	  S-AM-TMP	(ADVP*)
           have	       VBP	      S-VP	         O	           have	         O	         O	       S-V	(VP*
            one	        CD	      S-NP	         O	              -	         O	         O	      S-A1	(NP*))))
              .	         .	         O	         O	              -	         O	         O	         O	*)))

