     2017-01-23	        CD	      S-NP	         O	              -	(S1(NP*))

           What	        WP	      S-NP	         O	              -	    S-R-A1	         O	         O	      B-A1	(S1(S(SBAR(WHNP*)
          began	       VBD	      S-VP	         O	          began	       S-V	         O	         O	      I-A1	(S(VP*
             as	        IN	      S-PP	         O	              -	  B-AM-TMP	         O	         O	      I-A1	(PP*
              a	        DT	      B-NP	         O	              -	  I-AM-TMP	      B-A1	         O	      I-A1	(NP(NP*
      marijuana	        NN	      I-NP	         O	              -	  I-AM-TMP	      I-A1	         O	      I-A1	*
           deal	        NN	      E-NP	         O	              -	  I-AM-TMP	      E-A1	         O	      I-A1	*)
          ended	       VBN	      S-VP	         O	          ended	  I-AM-TMP	       S-V	         O	      I-A1	(VP*
             in	        IN	      S-PP	         O	              -	  I-AM-TMP	  B-AM-LOC	         O	      I-A1	(PP*
          fatal	        JJ	      B-NP	         O	              -	  I-AM-TMP	  I-AM-LOC	         O	      I-A1	(NP*
       shooting	        NN	      E-NP	         O	              -	  I-AM-TMP	  E-AM-LOC	         O	      I-A1	*))
           with	        IN	      S-PP	         O	              -	  I-AM-TMP	         O	         O	      I-A1	(PP*
         stolen	       VBN	      B-NP	         O	         stolen	  I-AM-TMP	         O	       S-V	      I-A1	(NP*
            gun	        NN	      E-NP	         O	              -	  E-AM-TMP	         O	      S-A1	      E-A1	*))))))))
              ,	         ,	         O	         O	              -	         O	         O	         O	         O	*
      detective	        NN	      S-NP	         O	              -	         O	         O	         O	      S-A0	(NP*)
      testifies	       VBZ	      S-VP	         O	      testifies	         O	         O	         O	         O	(VP*)))

       De'Aaron	       NNP	      B-NP	     B-PER	              -	      B-A0	         O	         O	         O	(S1(X(S(NP*
            Fox	       NNP	      E-NP	     E-PER	              -	      E-A0	         O	         O	         O	*
        thought	       VBD	      S-VP	         O	        thought	       S-V	         O	         O	         O	*
            big	        JJ	      B-NP	         O	              -	      B-A1	         O	         O	         O	*
           shot	        NN	      E-NP	         O	              -	      E-A1	         O	         O	         O	*)
            was	       VBD	      S-VP	         O	              -	         O	         O	         O	         O	(VP*
              a	        DT	      B-NP	         O	              -	         O	         O	         O	         O	(NP*
          three	        CD	      I-NP	         O	              -	         O	         O	         O	         O	*)))
              -	         :	      I-NP	         O	              -	         O	         O	         O	         O	(NP*
        pointer	        NN	      I-NP	         O	              -	         O	         O	         O	         O	(NP(NP*
        NEWLINE	       NNP	      I-NP	     B-PER	              -	         O	         O	         O	         O	*
         Isaiah	       NNP	      I-NP	     I-PER	              -	         O	         O	         O	         O	*
        Briscoe	       NNP	      E-NP	     E-PER	              -	         O	         O	         O	         O	*)
              :	         :	         O	         O	              -	         O	         O	         O	         O	(X*
             We	       PRP	      S-NP	         O	              -	         O	      S-A0	      S-A0	      B-A0	(S(NP(NP*)
           made	       VBD	      B-VP	         O	           made	         O	       S-V	         O	      I-A0	(VP*
        winning	       VBG	      E-VP	         O	        winning	         O	         O	       S-V	      I-A0	(S(VP*
          plays	       NNS	      S-NP	         O	              -	         O	         O	         O	      I-A0	(NP*
        NEWLINE	       NNP	      B-NP	         O	              -	         O	         O	         O	      I-A0	*
           Vice	       NNP	      I-NP	         O	              -	         O	         O	         O	      I-A0	*
      President	       NNP	      I-NP	         O	              -	         O	         O	         O	      I-A0	*
          Pence	       NNP	      E-NP	     S-PER	              -	         O	         O	         O	      E-A0	*)))))
         paints	       VBZ	      S-VP	         O	         paints	         O	         O	         O	       S-V	(VP*
           dire	        JJ	      B-NP	         O	              -	         O	         O	         O	      B-A1	(NP(NP*
        picture	        NN	      E-NP	         O	              -	         O	         O	         O	      I-A1	*)
             of	        IN	      S-PP	         O	              -	         O	         O	         O	      I-A1	(PP*
      Obamacare	       NNP	      S-NP	     S-LOC	              -	         O	         O	         O	      I-A1	(NP*))
             in	        IN	      S-PP	         O	              -	         O	         O	         O	      I-A1	(PP*
       Kentucky	       NNP	      B-NP	     B-LOC	              -	         O	         O	         O	      I-A1	(NP*
        NEWLINE	       NNP	      I-NP	     E-LOC	              -	         O	         O	         O	      I-A1	*
           1:35	        NN	      E-NP	         O	              -	         O	         O	         O	      E-A1	*))))))))))

